generation,trial,epoch,propertyType,property
30,-1,-1,m,-1.0
1,1,-1,e,0.003281276984185726
1,1,-1,c,-0.025641025641025664
1,1,-1,s,0.0009765625
1,1,1,tD,26.120653435587883
1,1,1,tE,7.019339848775417
1,1,1,tA,207.6115893870592
1,1,2,tD,24.71713963150978
1,1,2,tE,5.400597854051739
1,1,2,tA,198.56563662737608
1,1,3,tD,24.50638146698475
1,1,3,tE,4.4576729638502
1,1,3,tA,185.3253152668476
1,1,4,tD,24.1271071434021
1,1,4,tE,4.065816754475236
1,1,4,tA,169.68631684035063
1,1,5,tD,23.29214534908533
1,1,5,tE,4.214123550103977
1,1,5,tA,149.91946308501065
1,1,6,tD,23.445656180381775
1,1,6,tE,3.7248015750665218
1,1,6,tA,148.82143644802272
1,1,7,tD,23.371087504550815
1,1,7,tE,3.875077558448538
1,1,7,tA,144.20051850564778
1,1,8,tD,22.969509039074183
1,1,8,tE,4.300185053376481
1,1,8,tA,141.02646767906845
1,1,9,tD,23.098285246640444
1,1,9,tE,5.3672022693790495
1,1,9,tA,131.86039039399475
1,1,10,tD,23.915610287338495
1,1,10,tE,5.545466912910342
1,1,10,tA,124.54699077736586
1,1,11,tD,23.6825487986207
1,1,11,tE,4.942130639916286
1,1,11,tA,123.51909418404102
1,1,12,tD,24.092471454292536
1,1,12,tE,4.80818938696757
1,1,12,tA,122.01097534969449
1,1,13,tD,24.277542874217033
1,1,13,tE,4.925139680504799
1,1,13,tA,117.5633776737377
1,1,14,tD,24.355544798076153
1,1,14,tE,5.68285201699473
1,1,14,tA,113.30853659287095
1,1,15,tD,24.27937837690115
1,1,15,tE,5.721395048312843
1,1,15,tA,108.56775592453778
1,1,16,tD,24.977605190128088
1,1,16,tE,5.857499466976151
1,1,16,tA,109.41795086115599
1,1,17,tD,24.887919813394547
1,1,17,tE,6.073934099636972
1,1,17,tA,105.13266160152853
1,1,18,tD,25.67951249331236
1,1,18,tE,6.469731001183391
1,1,18,tA,99.89893593685701
1,1,19,tD,24.592976585030556
1,1,19,tE,7.196884703822434
1,1,19,tA,96.3684049830772
1,1,20,tD,25.184459626674652
1,1,20,tE,6.957584516145289
1,1,20,tA,97.91853952337988
2,1,-1,e,0.03979473515407199
2,1,-1,c,0.20227920227920235
2,1,-1,s,0.193359375
2,1,1,tD,26.025247052311897
2,1,1,tE,11.933256158605218
2,1,1,tA,206.11186726391315
2,1,2,tD,23.37869516760111
2,1,2,tE,8.582516280002892
2,1,2,tA,188.13687693327665
2,1,3,tD,20.837792232632637
2,1,3,tE,6.556547958869487
2,1,3,tA,153.48695937171578
2,1,4,tD,20.87376331910491
2,1,4,tE,6.074298478197306
2,1,4,tA,134.35522913187742
2,1,5,tD,20.229112580418587
2,1,5,tE,6.348693911684677
2,1,5,tA,125.6220163796097
2,1,6,tD,20.28902242332697
2,1,6,tE,6.6205810541287065
2,1,6,tA,113.20208724029362
2,1,7,tD,20.459655340760946
2,1,7,tE,7.141571641899645
2,1,7,tA,111.6800353853032
2,1,8,tD,20.01193659938872
2,1,8,tE,6.496883628424257
2,1,8,tA,107.37647282867692
2,1,9,tD,19.487965133041143
2,1,9,tE,6.831445449497551
2,1,9,tA,107.06542298570275
2,1,10,tD,20.364559572190046
2,1,10,tE,6.681941310875118
2,1,10,tA,101.59757478581741
2,1,11,tD,20.179633863270283
2,1,11,tE,6.851431572809815
2,1,11,tA,91.36349857784808
2,1,12,tD,21.033853877335787
2,1,12,tE,7.092161634005606
2,1,12,tA,86.3156488048844
2,1,13,tD,21.40452866628766
2,1,13,tE,7.745551974046975
2,1,13,tA,82.12015176471323
2,1,14,tD,21.514833018183708
2,1,14,tE,8.27635749860201
2,1,14,tA,77.3988813078031
2,1,15,tD,22.12159039452672
2,1,15,tE,8.609764515887946
2,1,15,tA,75.39163510128856
2,1,16,tD,21.731367394328117
2,1,16,tE,8.575076632318087
2,1,16,tA,72.74509934987873
2,1,17,tD,21.828620094805956
2,1,17,tE,8.643019121955149
2,1,17,tA,70.38158690207638
2,1,18,tD,21.981704089790583
2,1,18,tE,9.775101817212999
2,1,18,tA,63.288199511007406
2,1,19,tD,22.127757240086794
2,1,19,tE,9.552795784780756
2,1,19,tA,62.592541145160794
2,1,20,tD,21.86165544204414
2,1,20,tE,9.409154226945248
2,1,20,tA,57.16871604337939
3,1,-1,e,0.18880911849604023
3,1,-1,c,0.3043585227836043
3,1,-1,s,0.1826171875
3,1,1,tD,25.980880096554756
3,1,1,tE,18.558910738676786
3,1,1,tA,203.4951497167349
3,1,2,tD,21.689952470362186
3,1,2,tE,14.783369962126017
3,1,2,tA,163.06758765503764
3,1,3,tD,18.280250422656536
3,1,3,tE,10.903195505030453
3,1,3,tA,125.44539657793939
3,1,4,tD,16.371983483433723
3,1,4,tE,9.468065571505576
3,1,4,tA,107.45860090618953
3,1,5,tD,15.107441037893295
3,1,5,tE,8.692474326118827
3,1,5,tA,82.98182371817529
3,1,6,tD,14.398097755387425
3,1,6,tE,7.971247227396816
3,1,6,tA,70.61114048643503
3,1,7,tD,14.895023369695991
3,1,7,tE,7.766067116055638
3,1,7,tA,70.34724009409547
3,1,8,tD,13.976788256084546
3,1,8,tE,7.635740525554866
3,1,8,tA,72.45911221462302
3,1,9,tD,13.56865516724065
3,1,9,tE,7.785937717999332
3,1,9,tA,68.06224331085104
3,1,10,tD,13.697273590834811
3,1,10,tE,7.863904475001618
3,1,10,tA,61.03730472596362
3,1,11,tD,13.720026752911508
3,1,11,tE,7.971916708629578
3,1,11,tA,51.69684830843471
3,1,12,tD,13.435109095647931
3,1,12,tE,7.641271789325401
3,1,12,tA,47.87265361068421
3,1,13,tD,14.114845748525113
3,1,13,tE,7.821351188234985
3,1,13,tA,49.9810133719584
3,1,14,tD,13.352922142017633
3,1,14,tE,7.526640846161172
3,1,14,tA,45.055606139590964
3,1,15,tD,14.032868253998458
3,1,15,tE,7.341760893119499
3,1,15,tA,42.72595526755322
3,1,16,tD,14.12870564730838
3,1,16,tE,7.053798429551534
3,1,16,tA,44.36032040021382
3,1,17,tD,14.577948793768883
3,1,17,tE,7.704718234483153
3,1,17,tA,40.01655739499256
3,1,18,tD,14.185379933565855
3,1,18,tE,7.845240925904363
3,1,18,tA,39.88642825407442
3,1,19,tD,13.801099217496812
3,1,19,tE,8.777623093686998
3,1,19,tA,33.45416866726009
3,1,20,tD,14.026982730254531
3,1,20,tE,8.119135757908225
3,1,20,tA,29.75764419825282
4,1,-1,e,0.31709964720104605
4,1,-1,c,0.596822948086126
4,1,-1,s,0.216796875
4,1,1,tD,25.3964871019125
4,1,1,tE,21.88716409355402
4,1,1,tA,204.70995485782623
4,1,2,tD,19.87821701914072
4,1,2,tE,14.997202906757593
4,1,2,tA,151.11217999458313
4,1,3,tD,14.844057828187943
4,1,3,tE,10.996806204319
4,1,3,tA,101.44884040951729
4,1,4,tD,11.59936166740954
4,1,4,tE,7.917814747430384
4,1,4,tA,74.00315438117832
4,1,5,tD,10.319303129334003
4,1,5,tE,7.296186972875148
4,1,5,tA,51.87759544607252
4,1,6,tD,9.63040247745812
4,1,6,tE,7.344276817515492
4,1,6,tA,48.97987752384506
4,1,7,tD,9.615558873629197
4,1,7,tE,6.691166742239147
4,1,7,tA,47.29837242758367
4,1,8,tD,9.246543674729764
4,1,8,tE,6.479655618779361
4,1,8,tA,47.601278468966484
4,1,9,tD,9.229926062282175
4,1,9,tE,6.303684518672526
4,1,9,tA,45.910980235319585
4,1,10,tD,8.732532464433461
4,1,10,tE,6.363401689566672
4,1,10,tA,42.033404179732315
4,1,11,tD,8.523385891923681
4,1,11,tE,6.3989382612053305
4,1,11,tA,38.49042341730092
4,1,12,tD,8.26222427142784
4,1,12,tE,6.452630650950596
4,1,12,tA,34.91703260329086
4,1,13,tD,8.646657940931618
4,1,13,tE,6.033571410924196
4,1,13,tA,28.86066353379283
4,1,14,tD,8.451559928478673
4,1,14,tE,5.820607976056635
4,1,14,tA,27.451232315856032
4,1,15,tD,8.382809398230165
4,1,15,tE,5.372711740201339
4,1,15,tA,26.41226038595778
4,1,16,tD,8.630299595184624
4,1,16,tE,5.563429401023313
4,1,16,tA,26.268807029584423
4,1,17,tD,7.742034874740057
4,1,17,tE,5.259075992973521
4,1,17,tA,26.650246689503547
4,1,18,tD,7.82250740355812
4,1,18,tE,4.9260109616443515
4,1,18,tA,25.13556608365616
4,1,19,tD,8.203010771481786
4,1,19,tE,4.466788957011886
4,1,19,tA,22.682494990818668
4,1,20,tD,7.652066825539805
4,1,20,tE,4.462937342468649
4,1,20,tA,23.506071563024307
5,1,-1,e,0.37729751067031797
5,1,-1,c,0.7840133368237941
5,1,-1,s,0.5107421875
5,1,1,tD,24.85598348081112
5,1,1,tE,21.896735198795795
5,1,1,tA,203.3730015605688
5,1,2,tD,16.06007680669427
5,1,2,tE,12.123390132561326
5,1,2,tA,137.72639328613877
5,1,3,tD,10.379172650165856
5,1,3,tE,7.364409259520471
5,1,3,tA,77.31562049780041
5,1,4,tD,8.70050079934299
5,1,4,tE,5.738345860969275
5,1,4,tA,60.20024437084794
5,1,5,tD,8.394676321651787
5,1,5,tE,5.246657706331462
5,1,5,tA,50.46656805719249
5,1,6,tD,7.6876224731095135
5,1,6,tE,4.703504045959562
5,1,6,tA,46.320650425506756
5,1,7,tD,7.125788879580796
5,1,7,tE,4.5628819009289145
5,1,7,tA,44.6191718201153
