generation,trial,propertyType,property
50,-1,m,-1.0
1,1,e,-0.06370192307692314
1,1,c,-0.11188600133865402
1,1,s,0.19921875
2,1,e,0.39302884615384615
2,1,c,0.1547074891690231
2,1,s,0.61328125
3,1,e,0.5012019230769231
3,1,c,0.25893108228070594
3,1,s,0.74609375
4,1,e,0.5432692307692308
4,1,c,0.374921136795222
4,1,s,0.77734375
5,1,e,0.5492788461538461
5,1,c,0.4531911690975587
5,1,s,0.859375
6,1,e,0.5793269230769231
6,1,c,0.4587952733502458
6,1,s,0.81640625
7,1,e,0.6334134615384616
7,1,c,0.5448290640781634
7,1,s,0.84375
8,1,e,0.6274038461538461
8,1,c,0.6648427953321469
8,1,s,0.9140625
9,1,e,0.6694711538461539
9,1,c,0.6869052058345898
9,1,s,0.80859375
10,1,e,0.9639423076923077
10,1,c,0.5960816095550389
10,1,s,0.9765625
11,1,e,1.0
11,1,c,0.5177649826480117
11,1,s,1.0
12,1,e,1.0
12,1,c,0.5177649826480117
12,1,s,1.0
13,1,e,1.0
13,1,c,0.5177649826480117
13,1,s,1.0
14,1,e,1.0
14,1,c,0.5177649826480117
14,1,s,1.0
15,1,e,1.0
15,1,c,0.5177649826480117
15,1,s,1.0
16,1,e,1.0
16,1,c,0.5177649826480117
16,1,s,1.0
17,1,e,1.0
17,1,c,0.5177649826480117
17,1,s,1.0
18,1,e,1.0
18,1,c,0.5177649826480117
18,1,s,1.0
19,1,e,1.0
19,1,c,0.5177649826480117
19,1,s,1.0
20,1,e,1.0
20,1,c,0.5177649826480117
20,1,s,1.0
21,1,e,1.0
21,1,c,0.5177649826480117
21,1,s,1.0
22,1,e,1.0
22,1,c,0.5177649826480117
22,1,s,1.0
23,1,e,1.0
23,1,c,0.5177649826480117
23,1,s,1.0
24,1,e,1.0
24,1,c,0.5177649826480117
24,1,s,1.0
25,1,e,1.0
25,1,c,0.5177649826480117
25,1,s,1.0
26,1,e,1.0
26,1,c,0.5177649826480117
26,1,s,1.0
27,1,e,1.0
27,1,c,0.5177649826480117
27,1,s,1.0
28,1,e,1.0
28,1,c,0.5177649826480117
28,1,s,1.0
29,1,e,1.0
29,1,c,0.5177649826480117
29,1,s,1.0
30,1,e,1.0
30,1,c,0.5177649826480117
30,1,s,1.0
31,1,e,1.0
31,1,c,0.5177649826480117
31,1,s,1.0
32,1,e,1.0
32,1,c,0.5177649826480117
32,1,s,1.0
33,1,e,1.0
33,1,c,0.5177649826480117
33,1,s,1.0
34,1,e,1.0
34,1,c,0.5177649826480117
34,1,s,1.0
35,1,e,1.0
35,1,c,0.5177649826480117
35,1,s,1.0
36,1,e,1.0
36,1,c,0.5177649826480117
36,1,s,1.0
37,1,e,1.0
37,1,c,0.5177649826480117
37,1,s,1.0
38,1,e,1.0
38,1,c,0.5177649826480117
38,1,s,1.0
39,1,e,1.0
39,1,c,0.5177649826480117
39,1,s,1.0
40,1,e,1.0
40,1,c,0.5177649826480117
40,1,s,1.0
41,1,e,1.0
41,1,c,0.5177649826480117
41,1,s,1.0
42,1,e,1.0
42,1,c,0.5177649826480117
42,1,s,1.0
43,1,e,1.0
43,1,c,0.5177649826480117
43,1,s,1.0
44,1,e,1.0
44,1,c,0.5177649826480117
44,1,s,1.0
45,1,e,1.0
45,1,c,0.5177649826480117
45,1,s,1.0
46,1,e,1.0
46,1,c,0.5177649826480117
46,1,s,1.0
47,1,e,1.0
47,1,c,0.5177649826480117
47,1,s,1.0
48,1,e,1.0
48,1,c,0.5177649826480117
48,1,s,1.0
49,1,e,1.0
49,1,c,0.5177649826480117
49,1,s,1.0
50,1,e,1.0
50,1,c,0.5177649826480117
50,1,s,1.0
1,2,e,-0.03365384615384621
1,2,c,-0.1340826449238977
1,2,s,0.265625
2,2,e,0.453125
2,2,c,-0.008911510143244062
2,2,s,0.63671875
3,2,e,0.4651442307692308
3,2,c,0.07289485123687943
3,2,s,0.65625
4,2,e,0.5733173076923077
4,2,c,0.0758422380661614
4,2,s,0.67578125
5,2,e,0.5552884615384616
5,2,c,0.13919737066225465
5,2,s,0.69921875
6,2,e,0.53125
6,2,c,0.19092058718500132
6,2,s,0.69921875
7,2,e,0.5973557692307693
7,2,c,0.2578875517753009
7,2,s,0.734375
8,2,e,0.6454326923076923
8,2,c,0.35590923371352295
