n,bottle,trial,generation
6,25,1,201
6,25,2,201
6,25,3,201
6,25,4,201
6,25,5,201
6,25,6,47
6,25,7,201
6,25,8,57
6,25,9,201
6,25,10,201
6,25,11,201
6,25,12,88
6,25,13,201
6,25,14,201
6,25,15,201
6,25,16,68
6,25,17,201
6,25,18,92
6,25,19,201
6,25,20,201
6,25,21,19
6,25,22,77
6,25,23,201
6,25,24,190
6,25,25,81
6,26,1,151
6,26,2,201
6,26,3,201
6,26,4,194
6,26,5,91
6,26,6,90
6,26,7,201
6,26,8,174
6,26,9,67
6,26,10,201
6,26,11,201
6,26,12,134
6,26,13,50
6,26,14,147
6,26,15,17
6,26,16,201
6,26,17,40
6,26,18,201
6,26,19,127
6,26,20,99
6,26,21,31
6,26,22,201
6,26,23,19
6,26,24,185
6,26,25,124
6,27,1,53
6,27,2,38
6,27,3,100
6,27,4,14
6,27,5,140
6,27,6,27
6,27,7,79
6,27,8,94
6,27,9,169
6,27,10,122
6,27,11,38
6,27,12,180
6,27,13,27
6,27,14,33
6,27,15,43
6,27,16,54
6,27,17,61
6,27,18,70
6,27,19,98
6,27,20,36
6,27,21,37
6,27,22,108
6,27,23,175
6,27,24,26
6,27,25,58
6,28,1,70
6,28,2,26
6,28,3,64
6,28,4,32
6,28,5,40
6,28,6,33
6,28,7,30
6,28,8,23
6,28,9,26
6,28,10,18
6,28,11,56
6,28,12,16
6,28,13,40
6,28,14,18
6,28,15,57
6,28,16,13
6,28,17,87
6,28,18,8
6,28,19,21
6,28,20,15
6,28,21,30
6,28,22,167
6,28,23,33
6,28,24,28
6,28,25,81
6,29,1,51
6,29,2,47
6,29,3,17
6,29,4,15
6,29,5,39
6,29,6,29
6,29,7,20
6,29,8,17
6,29,9,30
6,29,10,22
6,29,11,18
6,29,12,22
6,29,13,31
6,29,14,15
6,29,15,48
6,29,16,20
6,29,17,52
6,29,18,53
6,29,19,41
6,29,20,16
6,29,21,18
6,29,22,55
6,29,23,101
6,29,24,26
6,29,25,28
6,30,1,39
6,30,2,17
6,30,3,13
6,30,4,42
6,30,5,28
6,30,6,25
6,30,7,18
6,30,8,16
6,30,9,57
6,30,10,47
6,30,11,44
6,30,12,15
6,30,13,38
6,30,14,14
6,30,15,15
6,30,16,13
6,30,17,49
6,30,18,17
6,30,19,23
