generation,trial,propertyType,property
250,-1,m,-1.0
1,20,e,-0.0008204824192160955
1,20,c,-0.013513513513513525
1,20,s,1.52587890625e-5
2,20,e,0.0902118128077764
2,20,c,0.18050212070074842
2,20,s,0.00146484375
3,20,e,0.160938314084337
3,20,c,0.09675214498873076
3,20,s,0.0012969970703125
4,20,e,0.20170269200740112
4,20,c,0.18291492073974674
4,20,s,0.0026092529296875
5,20,e,0.2431087880237069
5,20,c,0.3053774053650995
5,20,s,0.0058746337890625
6,20,e,0.25262760640679116
6,20,c,0.32755409078181014
6,20,s,0.0101470947265625
7,20,e,0.2171956002585207
7,20,c,0.27063640502345365
7,20,s,0.0082244873046875
8,20,e,0.2305036111921747
8,20,c,0.36755135481656315
8,20,s,0.008575439453125
9,20,e,0.21854015245388414
9,20,c,0.3334590125368472
9,20,s,0.015380859375
10,20,e,0.2689303017755728
10,20,c,0.3687345001478607
10,20,s,0.0211181640625
11,20,e,0.2805117854583624
11,20,c,0.5132306963658821
11,20,s,0.034271240234375
12,20,e,0.341031913251937
12,20,c,0.7401081703804322
12,20,s,0.0886993408203125
13,20,e,0.4305515872591456
13,20,c,0.8028943568038838
13,20,s,0.1907196044921875
14,20,e,0.4633708840277894
14,20,c,0.6808223847302841
14,20,s,0.231719970703125
15,20,e,0.5081841975391639
15,20,c,0.7208862377508276
15,20,s,0.2501678466796875
16,20,e,0.5634636275712651
16,20,c,0.6872424174043437
16,20,s,0.2543182373046875
17,20,e,0.5137457543472581
17,20,c,0.6517044735246544
17,20,s,0.2267608642578125
18,20,e,0.6523568624874522
18,20,c,0.8098039929199503
18,20,s,0.2820587158203125
19,20,e,0.6200876097987297
19,20,c,0.803501658629419
19,20,s,0.3492889404296875
20,20,e,0.7572624917302401
20,20,c,0.8536977194138384
20,20,s,0.438201904296875
21,20,e,0.6469328166993383
21,20,c,0.789609493298079
21,20,s,0.4420928955078125
22,20,e,0.6375362303340143
22,20,c,0.7933065262414525
22,20,s,0.365814208984375
23,20,e,0.6371695342807333
23,20,c,0.7848956453397657
23,20,s,0.3662872314453125
24,20,e,0.6246407524603014
24,20,c,0.7914082720327945
24,20,s,0.3645172119140625
25,20,e,0.6039988204610286
25,20,c,0.7784145360476151
25,20,s,0.32733154296875
26,20,e,0.7210665354709677
26,20,c,0.8143688200521192
26,20,s,0.3983306884765625
27,20,e,0.6401031027069808
27,20,c,0.7388713929463265
27,20,s,0.4193572998046875
28,20,e,0.6262756056978456
28,20,c,0.6999110317953059
28,20,s,0.3629608154296875
29,20,e,0.6093006342313821
29,20,c,0.7276594938324923
29,20,s,0.338592529296875
30,20,e,0.6467189106682577
30,20,c,0.7842353120892209
30,20,s,0.35845947265625
31,20,e,0.5479554403179255
31,20,c,0.756507153256006
31,20,s,0.2891693115234375
32,20,e,0.7284768515476865
32,20,c,0.811829075851485
32,20,s,0.3417510986328125
33,20,e,0.681249455685546
33,20,c,0.8524881774510021
33,20,s,0.44879150390625
34,20,e,0.6078338500182584
34,20,c,0.7979609250156722
34,20,s,0.370086669921875
35,20,e,0.6214627199985332
35,20,c,0.7481030118106419
35,20,s,0.3260955810546875
36,20,e,0.6346026619077668
36,20,c,0.7559572369860257
36,20,s,0.360321044921875
37,20,e,0.630018961241755
37,20,c,0.7440443855508367
37,20,s,0.36187744140625
38,20,e,0.5188336620865311
38,20,c,0.734632172156012
38,20,s,0.2570648193359375
39,20,e,0.5228978766770616
39,20,c,0.7065453067995285
39,20,s,0.1993560791015625
40,20,e,0.637841810378415
40,20,c,0.7964575042559896
40,20,s,0.2712554931640625
41,20,e,0.5145708204671402
41,20,c,0.7139278595112545
41,20,s,0.270294189453125
42,20,e,0.5842889075971783
42,20,c,0.7699100807264794
42,20,s,0.237152099609375
43,20,e,0.7111504630301623
43,20,c,0.8322863406116456
43,20,s,0.3683624267578125
44,20,e,0.7426863236123228
44,20,c,0.8763905117243177
44,20,s,0.495391845703125
45,20,e,0.6940685385481586
45,20,c,0.8204972331779725
45,20,s,0.47698974609375
46,20,e,0.5777494946470015
46,20,c,0.7250855200599113
46,20,s,0.3494415283203125
47,20,e,0.5495597355510295
47,20,c,0.7812260730352114
47,20,s,0.2581939697265625
48,20,e,0.6154427931238379
48,20,c,0.7587491237708119
48,20,s,0.282501220703125
49,20,e,0.6079866400404588
49,20,c,0.7483214983796558
49,20,s,0.3308868408203125
50,20,e,0.6783770032681786
50,20,c,0.8058170224789599
50,20,s,0.357818603515625
51,20,e,0.6682164667918526
51,20,c,0.7697402894062891
51,20,s,0.4288177490234375
52,20,e,0.6444117813330319
52,20,c,0.7842427483726888
52,20,s,0.4004669189453125
53,20,e,0.5988345177106554
53,20,c,0.7451535923250489
53,20,s,0.3305206298828125
54,20,e,0.6130134317708517
54,20,c,0.7818525070495962
54,20,s,0.315673828125
55,20,e,0.6443201073197116
55,20,c,0.778930908913526
55,20,s,0.345458984375
56,20,e,0.6091784022136219
56,20,c,0.7743681688930154
56,20,s,0.3533782958984375
57,20,e,0.5875433350700466
57,20,c,0.7956487514686904
57,20,s,0.3118438720703125
58,20,e,0.690325183004249
58,20,c,0.8520789466033485
58,20,s,0.354461669921875
59,20,e,0.5213394184506175
59,20,c,0.7838393815581565
59,20,s,0.28662109375
60,20,e,0.49906263321380057
60,20,c,0.6998802481048251
60,20,s,0.187469482421875
61,20,e,0.6321733005547806
61,20,c,0.7924930947021234
61,20,s,0.2581787109375
62,20,e,0.6732890955289056
62,20,c,0.7953610157515256
62,20,s,0.3895721435546875
63,20,e,0.685970667371538
63,20,c,0.7987641897925347
63,20,s,0.430267333984375
64,20,e,0.6759476419151924
64,20,c,0.7819187894913042
64,20,s,0.4277801513671875
65,20,e,0.6769102190550549
65,20,c,0.7725651743361437
65,20,s,0.43707275390625
66,20,e,0.6901112769731685
66,20,c,0.8067370896626017
66,20,s,0.446319580078125
67,20,e,0.6221197170939949
67,20,c,0.7652748084463605
67,20,s,0.3967437744140625
68,20,e,0.6325552756102816
68,20,c,0.7671678553082768
68,20,s,0.3504180908203125
69,20,e,0.7912277136653868
69,20,c,0.8736207845485441
69,20,s,0.4724273681640625
70,20,e,0.7507536367845035
70,20,c,0.8759147097741439
70,20,s,0.5762176513671875
71,20,e,0.568902952361599
71,20,c,0.7409113301894246
71,20,s,0.3570404052734375
72,20,e,0.5751215062651549
72,20,c,0.7044183496666047
72,20,s,0.2569122314453125
73,20,e,0.7147563075540915
73,20,c,0.835400431436209
73,20,s,0.350006103515625
74,20,e,0.6705999911381787
74,20,c,0.7903844948832155
74,20,s,0.4393157958984375
75,20,e,0.6457868915328353
75,20,c,0.7852985869702526
75,20,s,0.4044036865234375
76,20,e,0.6189416846322268
76,20,c,0.7893015199561442
76,20,s,0.368133544921875
77,20,e,0.6616006588305757
77,20,c,0.7914423665202512
77,20,s,0.3788604736328125
78,20,e,0.6964215048900447
78,20,c,0.8460448333135203
78,20,s,0.427398681640625
79,20,e,0.6307065163416569
79,20,c,0.7942126899450102
79,20,s,0.3908233642578125
80,20,e,0.6185597095767258
80,20,c,0.7612926125250996
80,20,s,0.353485107421875
81,20,e,0.7233736648061935
81,20,c,0.8399543533019664
81,20,s,0.4073333740234375
82,20,e,0.6873152195669014
82,20,c,0.8085461054907228
82,20,s,0.460601806640625
83,20,e,0.6539153207138961
83,20,c,0.8193676500358639
83,20,s,0.42095947265625
84,20,e,0.6103854433890049
84,20,c,0.796006518645911
84,20,s,0.3413238525390625
85,20,e,0.5286886185184563
85,20,c,0.7129969293305022
85,20,s,0.2463836669921875
86,20,e,0.5206824213551559
86,20,c,0.6339826999683025
86,20,s,0.1999359130859375
87,20,e,0.6438311792486704
87,20,c,0.7266564725012427
87,20,s,0.2927093505859375
88,20,e,0.5714087087256854
88,20,c,0.6926250601688189
88,20,s,0.307586669921875
89,20,e,0.6570475161690041
89,20,c,0.7588905556046589
89,20,s,0.3226470947265625
90,20,e,0.6228072721938966
90,20,c,0.7662152909949295
90,20,s,0.3605499267578125
91,20,e,0.5783606547358031
91,20,c,0.7433919908801596
91,20,s,0.317352294921875
92,20,e,0.6548473398493185
92,20,c,0.8240682041883084
92,20,s,0.3415069580078125
93,20,e,0.5479707193201455
93,20,c,0.7156136856025751
93,20,s,0.289398193359375
94,20,e,0.6210960239452523
94,20,c,0.7643038783704184
94,20,s,0.2895050048828125
95,20,e,0.6090103331892014
95,20,c,0.755747375952197
95,20,s,0.326446533203125
96,20,e,0.632310811574761
96,20,c,0.7868980078205164
96,20,s,0.3288116455078125
97,20,e,0.6502636391833068
97,20,c,0.7553971110592532
97,20,s,0.3593597412109375
98,20,e,0.5018281326156276
98,20,c,0.6013778195766334
98,20,s,0.2813262939453125
99,20,e,0.6472842337503992
99,20,c,0.7706607849468025
99,20,s,0.2796630859375
100,20,e,0.7173537379314981
100,20,c,0.8219571260750224
100,20,s,0.4422607421875
101,20,e,0.7159786277316946
101,20,c,0.8059026208547405
101,20,s,0.5011138916015625
102,20,e,0.6717459163046816
102,20,c,0.775502012692315
102,20,s,0.4508056640625
103,20,e,0.5361142135973953
103,20,c,0.7082523354545314
103,20,s,0.28973388671875
104,20,e,0.6740377666376876
104,20,c,0.8009518688456212
104,20,s,0.288818359375
105,20,e,0.5065493443016198
105,20,c,0.7524893563898057
105,20,s,0.263641357421875
106,20,e,0.6190639166499871
106,20,c,0.7502440942187771
106,20,s,0.2553863525390625
107,20,e,0.5968940844287105
107,20,c,0.7298882026433726
107,20,s,0.3424835205078125
108,20,e,0.6836024220274319
108,20,c,0.8091506726268375
108,20,s,0.371246337890625
109,20,e,0.6979188471076085
109,20,c,0.8125250983531906
109,20,s,0.4420166015625
110,20,e,0.5956106482422272
110,20,c,0.7679679096752836
110,20,s,0.3691253662109375
111,20,e,0.424821961426631
111,20,c,0.6499442768784968
111,20,s,0.1775054931640625
112,20,e,0.5324778110690259
112,20,c,0.7210065213681621
112,20,s,0.172515869140625
113,20,e,0.5653887818509901
113,20,c,0.7083105906559987
113,20,s,0.2357940673828125
114,20,e,0.5842583495927383
114,20,c,0.7475800329966473
114,20,s,0.270233154296875
115,20,e,0.5077105484703427
115,20,c,0.6604697527321614
115,20,s,0.2145233154296875
116,20,e,0.49533455667211107
116,20,c,0.6325435071292945
116,20,s,0.1716156005859375
117,20,e,0.6054656046741523
117,20,c,0.7260906283881743
117,20,s,0.247283935546875
118,20,e,0.6913183181485516
118,20,c,0.8370121691733864
118,20,s,0.369842529296875
119,20,e,0.6990036562652313
119,20,c,0.8172676919475143
119,20,s,0.452667236328125
120,20,e,0.6710430822025598
120,20,c,0.7879523690204698
120,20,s,0.437652587890625
121,20,e,0.6566655411135032
121,20,c,0.8050572178445338
121,20,s,0.3905792236328125
122,20,e,0.6313329554326784
122,20,c,0.7736778151348912
122,20,s,0.36016845703125
123,20,e,0.5784064917424633
123,20,c,0.7176059723111624
123,20,s,0.31036376953125
124,20,e,0.6821203588120881
124,20,c,0.7986743135210038
124,20,s,0.364227294921875
125,20,e,0.672677935440104
125,20,c,0.7850307759225391
125,20,s,0.4118499755859375
126,20,e,0.6238920813515194
126,20,c,0.7638497985835948
126,20,s,0.3694915771484375
