generation,trial,propertyType,property
50,-1,m,-1.0
1,6,e,0.0009990009990009955
1,6,c,-0.025641025641025682
1,6,s,0.0025425386270291413
2,6,e,0.26873126873126874
2,6,c,0.660551296759343
2,6,s,0.03383532172892627
3,6,e,0.6163836163836164
3,6,c,0.5969493580133807
3,6,s,0.21768042245257185
4,6,e,0.5524475524475524
4,6,c,0.7700869469600692
4,6,s,0.722276549970663
5,6,e,0.7282717282717283
5,6,c,0.8134841233825539
5,6,s,0.7926853119499315
6,6,e,0.7722277722277723
6,6,c,0.8547467677337715
6,6,s,0.94523762957168
7,6,e,0.8721278721278721
7,6,c,0.8811314103356582
7,6,s,0.9022100528065715
8,6,e,0.8721278721278721
8,6,c,0.9203568581392533
8,6,s,0.8122433013886172
9,6,e,0.968031968031968
9,6,c,1.0
9,6,s,0.7809505182867201
10,6,e,1.0
10,6,c,1.0
10,6,s,0.9687072168981029
11,6,e,1.0
11,6,c,1.0
11,6,s,1.0
12,6,e,1.0
12,6,c,1.0
12,6,s,1.0
13,6,e,1.0
13,6,c,1.0
13,6,s,1.0
14,6,e,1.0
14,6,c,1.0
14,6,s,1.0
15,6,e,1.0
15,6,c,1.0
15,6,s,1.0
16,6,e,1.0
16,6,c,1.0
16,6,s,1.0
17,6,e,1.0
17,6,c,1.0
17,6,s,1.0
18,6,e,0.936063936063936
18,6,c,0.9505802100194852
18,6,s,0.9374144337962057
19,6,e,0.9760239760239761
19,6,c,0.9706047876464887
19,6,s,0.9608840211226286
20,6,e,0.988011988011988
20,6,c,0.976508611589886
20,6,s,0.9882652063367886
21,6,e,1.0
21,6,c,1.0
21,6,s,0.9882652063367886
22,6,e,1.0
22,6,c,1.0
22,6,s,1.0
23,6,e,1.0
23,6,c,1.0
23,6,s,1.0
24,6,e,1.0
24,6,c,1.0
24,6,s,1.0
25,6,e,1.0
25,6,c,1.0
25,6,s,1.0
26,6,e,1.0
26,6,c,1.0
26,6,s,1.0
27,6,e,1.0
27,6,c,1.0
27,6,s,1.0
28,6,e,1.0
28,6,c,1.0
28,6,s,1.0
29,6,e,1.0
29,6,c,1.0
29,6,s,1.0
30,6,e,1.0
30,6,c,1.0
30,6,s,1.0
31,6,e,1.0
31,6,c,1.0
31,6,s,1.0
32,6,e,1.0
32,6,c,1.0
32,6,s,1.0
33,6,e,1.0
33,6,c,1.0
33,6,s,1.0
34,6,e,1.0
34,6,c,1.0
34,6,s,1.0
35,6,e,0.7442557442557443
35,6,c,0.8811314103356582
35,6,s,0.749657735184823
36,6,e,0.8921078921078921
36,6,c,0.9004552476468112
36,6,s,0.8552708781537258
37,6,e,0.972027972027972
37,6,c,0.9600042699027005
37,6,s,0.9217680422452572
38,6,e,0.9920079920079921
38,6,c,0.9829868021531474
38,6,s,0.9804420105613143
39,6,e,1.0
39,6,c,1.0
39,6,s,0.9921768042245257
40,6,e,1.0
40,6,c,1.0
40,6,s,1.0
41,6,e,1.0
41,6,c,1.0
41,6,s,1.0
42,6,e,1.0
42,6,c,1.0
42,6,s,1.0
43,6,e,1.0
43,6,c,1.0
43,6,s,1.0
44,6,e,1.0
44,6,c,1.0
44,6,s,1.0
45,6,e,1.0
45,6,c,1.0
45,6,s,1.0
46,6,e,1.0
46,6,c,1.0
46,6,s,1.0
47,6,e,1.0
47,6,c,1.0
47,6,s,1.0
48,6,e,1.0
48,6,c,1.0
48,6,s,1.0
49,6,e,1.0
49,6,c,1.0
49,6,s,1.0
50,6,e,0.8081918081918081
50,6,c,0.9203568581392533
50,6,s,0.8122433013886172
