generation,trial,propertyType,property
50,-1,m,-1.0
1,1,e,-0.009716518080737252
1,1,c,-0.03321033210332104
1,1,s,0.00390625
2,1,e,0.11850145246919763
2,1,c,0.2619926199261992
2,1,s,0.12109375
3,1,e,0.15055594510668138
3,1,c,0.40959409594095936
3,1,s,0.421875
4,1,e,0.12651507562856856
4,1,c,0.2619926199261992
4,1,s,0.66015625
5,1,e,0.08244014825202844
5,1,c,0.2619926199261992
5,1,s,0.6328125
6,1,e,0.07442652509265751
6,1,c,0.5571955719557196
6,1,s,0.58984375
7,1,e,0.07041971351297205
7,1,c,0.40959409594095936
7,1,s,0.9375
8,1,e,0.07041971351297205
8,1,c,0.40959409594095936
8,1,s,1.0
9,1,e,0.07041971351297205
9,1,c,0.11439114391143909
9,1,s,0.69921875
10,1,e,0.07843333667234298
10,1,c,0.11439114391143909
10,1,s,0.4140625
11,1,e,0.07041971351297205
11,1,c,0.11439114391143909
11,1,s,0.4921875
12,1,e,0.08244014825202844
12,1,c,-0.03321033210332104
12,1,s,0.51953125
13,1,e,0.09446058299108484
13,1,c,-0.03321033210332104
13,1,s,0.46484375
14,1,e,0.11449464088951217
14,1,c,-0.03321033210332104
14,1,s,0.6875
15,1,e,0.10247420615045577
15,1,c,-0.03321033210332104
15,1,s,0.5390625
16,1,e,0.21466493038164883
16,1,c,-0.03321033210332104
16,1,s,0.515625
17,1,e,0.17860362616447964
17,1,c,-0.03321033210332104
17,1,s,0.79296875
18,1,e,0.24271261143944708
18,1,c,0.11439114391143909
18,1,s,0.6484375
19,1,e,0.2306921767003907
19,1,c,-0.03321033210332104
19,1,s,0.62890625
20,1,e,0.2306921767003907
20,1,c,-0.03321033210332104
20,1,s,0.90234375
21,1,e,0.2627466693378744
21,1,c,0.11439114391143909
21,1,s,0.79296875
22,1,e,0.23469898828007615
22,1,c,0.11439114391143909
22,1,s,0.7578125
23,1,e,0.2306921767003907
23,1,c,-0.03321033210332104
23,1,s,0.54296875
24,1,e,0.24271261143944708
24,1,c,0.11439114391143909
24,1,s,0.69921875
25,1,e,0.2306921767003907
25,1,c,-0.03321033210332104
25,1,s,0.703125
26,1,e,0.2306921767003907
26,1,c,-0.03321033210332104
26,1,s,0.62890625
27,1,e,0.2306921767003907
27,1,c,-0.03321033210332104
27,1,s,0.8671875
28,1,e,0.23870579985976162
28,1,c,0.11439114391143909
28,1,s,0.7265625
29,1,e,0.2306921767003907
29,1,c,-0.03321033210332104
29,1,s,0.828125
30,1,e,0.2306921767003907
30,1,c,0.11439114391143909
30,1,s,0.93359375
31,1,e,0.2306921767003907
31,1,c,0.11439114391143909
31,1,s,0.87109375
32,1,e,0.23870579985976162
32,1,c,0.40959409594095936
32,1,s,0.8046875
33,1,e,0.2306921767003907
33,1,c,0.11439114391143909
33,1,s,0.7578125
34,1,e,0.2306921767003907
34,1,c,0.2619926199261992
34,1,s,0.90234375
35,1,e,0.2306921767003907
35,1,c,0.2619926199261992
35,1,s,0.8984375
36,1,e,0.2306921767003907
36,1,c,0.11439114391143909
36,1,s,0.875
37,1,e,0.2306921767003907
37,1,c,0.2619926199261992
37,1,s,0.9140625
38,1,e,0.2306921767003907
38,1,c,0.40959409594095936
38,1,s,0.9296875
39,1,e,0.2306921767003907
39,1,c,0.40959409594095936
39,1,s,0.97265625
40,1,e,0.2306921767003907
40,1,c,0.2619926199261992
40,1,s,0.8046875
41,1,e,0.2306921767003907
41,1,c,0.2619926199261992
41,1,s,0.97265625
42,1,e,0.2306921767003907
42,1,c,0.2619926199261992
42,1,s,1.0
43,1,e,0.2306921767003907
43,1,c,0.11439114391143909
43,1,s,0.83203125
44,1,e,0.2306921767003907
44,1,c,0.11439114391143909
44,1,s,0.9609375
45,1,e,0.2306921767003907
45,1,c,0.11439114391143909
45,1,s,0.984375
46,1,e,0.250726234598818
46,1,c,0.40959409594095936
46,1,s,0.9140625
47,1,e,0.2306921767003907
47,1,c,0.2619926199261992
47,1,s,0.91015625
48,1,e,0.2306921767003907
48,1,c,0.40959409594095936
48,1,s,0.9453125
49,1,e,0.23469898828007615
49,1,c,0.7047970479704797
49,1,s,0.98828125
50,1,e,0.2306921767003907
50,1,c,0.5571955719557196
50,1,s,0.99609375
