generation,trial,propertyType,property
50,-1,m,-1.0
1,10,e,-0.011438892233594214
1,10,c,-0.052631578947368474
1,10,s,0.0
2,10,e,0.28155729480232794
2,10,c,0.6992481203007519
2,10,s,0.03515625
3,10,e,0.8274132048966486
3,10,c,0.9182609859850231
3,10,s,0.16015625
4,10,e,0.9277543648404576
4,10,c,0.9492796892305243
4,10,s,0.89453125
5,10,e,1.0
5,10,c,1.0
5,10,s,0.9296875
6,10,e,1.0
6,10,c,1.0
6,10,s,1.0
7,10,e,1.0
7,10,c,1.0
7,10,s,1.0
8,10,e,1.0
8,10,c,1.0
8,10,s,1.0
9,10,e,1.0
9,10,c,1.0
9,10,s,1.0
10,10,e,1.0
10,10,c,1.0
10,10,s,1.0
11,10,e,1.0
11,10,c,1.0
11,10,s,1.0
12,10,e,1.0
12,10,c,1.0
12,10,s,1.0
13,10,e,1.0
13,10,c,1.0
13,10,s,1.0
14,10,e,1.0
14,10,c,1.0
14,10,s,1.0
15,10,e,1.0
15,10,c,1.0
15,10,s,1.0
16,10,e,0.7431266305438491
16,10,c,0.8780032895550176
16,10,s,0.75
17,10,e,0.8153722657033915
17,10,c,0.9150223560457208
17,10,s,0.9296875
18,10,e,0.9598635360224764
18,10,c,0.9447986828555287
18,10,s,0.859375
19,10,e,1.0
19,10,c,1.0
19,10,s,0.9609375
20,10,e,1.0
20,10,c,1.0
20,10,s,1.0
21,10,e,1.0
21,10,c,1.0
21,10,s,1.0
22,10,e,1.0
22,10,c,1.0
22,10,s,1.0
23,10,e,1.0
23,10,c,1.0
23,10,s,1.0
24,10,e,1.0
24,10,c,1.0
24,10,s,1.0
25,10,e,1.0
25,10,c,1.0
25,10,s,1.0
26,10,e,1.0
26,10,c,1.0
26,10,s,1.0
27,10,e,1.0
27,10,c,1.0
27,10,s,1.0
28,10,e,1.0
28,10,c,1.0
28,10,s,1.0
29,10,e,1.0
29,10,c,1.0
29,10,s,1.0
30,10,e,1.0
30,10,c,1.0
30,10,s,1.0
31,10,e,1.0
31,10,c,1.0
31,10,s,1.0
32,10,e,1.0
32,10,c,1.0
32,10,s,1.0
33,10,e,1.0
33,10,c,1.0
33,10,s,1.0
34,10,e,1.0
34,10,c,1.0
34,10,s,1.0
35,10,e,1.0
35,10,c,1.0
35,10,s,1.0
36,10,e,1.0
36,10,c,1.0
36,10,s,1.0
37,10,e,1.0
37,10,c,1.0
37,10,s,1.0
38,10,e,1.0
38,10,c,1.0
38,10,s,1.0
39,10,e,1.0
39,10,c,1.0
39,10,s,1.0
40,10,e,1.0
40,10,c,1.0
40,10,s,1.0
41,10,e,1.0
41,10,c,1.0
41,10,s,1.0
42,10,e,1.0
42,10,c,1.0
42,10,s,1.0
43,10,e,0.7431266305438491
43,10,c,0.8780032895550176
43,10,s,0.75
44,10,e,0.7431266305438491
44,10,c,0.8780032895550176
44,10,s,0.890625
45,10,e,0.8113586193056391
45,10,c,0.9023328100698129
45,10,s,0.875
46,10,e,0.7993176801123821
46,10,c,0.8953064270488503
46,10,s,0.56640625
47,10,e,0.8354404976921533
47,10,c,0.8763451443593092
47,10,s,0.953125
48,10,e,0.7431266305438491
48,10,c,0.7685094191987688
48,10,s,0.640625
49,10,e,0.8033313265101345
49,10,c,0.798635721306033
49,10,s,0.8515625
50,10,e,0.9558498896247241
50,10,c,0.9551662311349202
50,10,s,0.69140625
50,-1,m,-1.0
1,11,e,-0.019623710297390254
1,11,c,-0.014492753623188453
1,11,s,0.0035169988276670576
2,11,e,0.19482095893182277
2,11,c,0.18123379521221097
2,11,s,0.05431809300508011
3,11,e,0.36071211814687437
3,11,c,0.4433307416678707
3,11,s,0.312231340367331
4,11,e,0.5104187740238721
4,11,c,0.7468260896528944
4,11,s,0.48026572880031265
5,11,e,0.36071211814687437
5,11,c,0.7101449275362318
5,11,s,0.4294646346228996
6,11,e,0.7127250657495449
6,11,c,0.7284067336459181
6,11,s,0.48417350527549824
7,11,e,0.7815092049362735
7,11,c,0.8728706468402356
7,11,s,0.6170379054318094
8,11,e,0.9028929799716772
8,11,c,0.9387300951044708
8,11,s,0.8319656115670183
9,11,e,0.9433542383168116
9,11,c,0.9831717282167001
9,11,s,0.9296600234466589
10,11,e,0.9959538741654865
10,11,c,1.0
10,11,s,0.9413833528722158
11,11,e,1.0
11,11,c,1.0
11,11,s,0.9960922235248144
12,11,e,1.0
12,11,c,1.0
12,11,s,1.0
13,11,e,1.0
13,11,c,1.0
13,11,s,1.0
14,11,e,1.0
14,11,c,1.0
14,11,s,1.0
15,11,e,1.0
15,11,c,1.0
15,11,s,1.0
16,11,e,1.0
16,11,c,1.0
16,11,s,1.0
17,11,e,0.7329556949221121
17,11,c,0.8655951884400142
17,11,s,0.7420867526377491
18,11,e,1.0
18,11,c,1.0
18,11,s,0.7420867526377491
19,11,e,1.0
19,11,c,1.0
19,11,s,1.0
20,11,e,1.0
20,11,c,1.0
20,11,s,1.0
21,11,e,1.0
21,11,c,1.0
21,11,s,1.0
22,11,e,1.0
22,11,c,1.0
22,11,s,1.0
23,11,e,1.0
23,11,c,1.0
23,11,s,1.0
24,11,e,1.0
24,11,c,1.0
24,11,s,1.0
25,11,e,1.0
25,11,c,1.0
25,11,s,1.0
26,11,e,1.0
26,11,c,1.0
26,11,s,1.0
27,11,e,1.0
27,11,c,1.0
27,11,s,1.0
28,11,e,1.0
28,11,c,1.0
28,11,s,1.0
29,11,e,1.0
29,11,c,1.0
29,11,s,1.0
30,11,e,0.8705239732955695
30,11,c,0.9212225444638267
30,11,s,0.8710433763188745
31,11,e,0.8705239732955695
31,11,c,0.9116697310807481
31,11,s,0.9726455646737007
32,11,e,0.8826623507991098
32,11,c,0.9313146197853684
32,11,s,0.9609222352481438
33,11,e,0.9352619866477847
33,11,c,0.9511173816497082
33,11,s,0.9452911293474013
34,11,e,0.9433542383168116
34,11,c,0.9604390060994102
34,11,s,0.9843688940992575
35,11,e,0.9919077483309731
35,11,c,0.9904471866169215
35,11,s,0.9531066822977726
36,11,e,1.0
36,11,c,1.0
36,11,s,0.9921844470496287
37,11,e,1.0
37,11,c,1.0
37,11,s,1.0
38,11,e,1.0
38,11,c,1.0
38,11,s,1.0
39,11,e,1.0
39,11,c,1.0
39,11,s,1.0
40,11,e,1.0
40,11,c,1.0
40,11,s,1.0
41,11,e,1.0
41,11,c,1.0
41,11,s,1.0
42,11,e,1.0
42,11,c,1.0
42,11,s,1.0
43,11,e,1.0
43,11,c,1.0
43,11,s,1.0
44,11,e,0.8705239732955695
44,11,c,0.9043942726805266
44,11,s,0.8671355998436889
45,11,e,0.9797693708274328
45,11,c,1.0
45,11,s,0.8866744822196171
46,11,e,1.0
46,11,c,1.0
46,11,s,0.980461117624072
47,11,e,1.0
47,11,c,1.0
47,11,s,1.0
48,11,e,1.0
48,11,c,1.0
48,11,s,1.0
49,11,e,1.0
49,11,c,1.0
49,11,s,1.0
50,11,e,1.0
50,11,c,1.0
50,11,s,1.0
50,-1,m,-1.0
1,12,e,-0.009387301907741997
1,12,c,-0.033210332103321014
1,12,s,0.0019646365422396855
2,12,e,0.11173917432118703
2,12,c,0.5169046704185876
2,12,s,0.068762278978389
3,12,e,0.5922075300292723
3,12,c,0.7234397111384084
3,12,s,0.04518664047151277
4,12,e,0.9676996063389522
4,12,c,0.950215488322212
4,12,s,0.44597249508840864
5,12,e,1.0
5,12,c,1.0
5,12,s,0.9685658153241651
6,12,e,1.0
6,12,c,1.0
6,12,s,1.0
7,12,e,1.0
7,12,c,1.0
7,12,s,1.0
8,12,e,1.0
8,12,c,1.0
8,12,s,1.0
9,12,e,1.0
9,12,c,1.0
9,12,s,1.0
10,12,e,1.0
10,12,c,1.0
10,12,s,1.0
11,12,e,1.0
11,12,c,1.0
11,12,s,1.0
12,12,e,1.0
12,12,c,1.0
12,12,s,1.0
13,12,e,1.0
13,12,c,1.0
13,12,s,1.0
14,12,e,1.0
14,12,c,1.0
14,12,s,1.0
15,12,e,1.0
15,12,c,1.0
15,12,s,1.0
16,12,e,1.0
16,12,c,1.0
16,12,s,1.0
17,12,e,1.0
17,12,c,1.0
17,12,s,1.0
18,12,e,1.0
18,12,c,1.0
18,12,s,1.0
19,12,e,1.0
19,12,c,1.0
19,12,s,1.0
20,12,e,1.0
20,12,c,1.0
20,12,s,1.0
21,12,e,1.0
21,12,c,1.0
21,12,s,1.0
22,12,e,1.0
22,12,c,1.0
22,12,s,1.0
23,12,e,1.0
23,12,c,1.0
23,12,s,1.0
24,12,e,1.0
24,12,c,1.0
24,12,s,1.0
25,12,e,1.0
25,12,c,1.0
25,12,s,1.0
26,12,e,1.0
26,12,c,1.0
26,12,s,1.0
27,12,e,1.0
27,12,c,1.0
27,12,s,1.0
28,12,e,1.0
28,12,c,1.0
28,12,s,1.0
29,12,e,1.0
29,12,c,1.0
29,12,s,1.0
30,12,e,1.0
30,12,c,1.0
30,12,s,1.0
31,12,e,1.0
31,12,c,1.0
31,12,s,1.0
32,12,e,1.0
32,12,c,1.0
32,12,s,1.0
33,12,e,1.0
33,12,c,1.0
33,12,s,1.0
34,12,e,1.0
34,12,c,1.0
34,12,s,1.0
35,12,e,1.0
35,12,c,1.0
35,12,s,1.0
36,12,e,1.0
