generation,trial,propertyType,property
50,-1,m,-1.0
1,23,e,-0.0006544467633903856
1,23,c,-0.016949152542372913
1,23,s,0.0
2,23,e,0.06860847206917432
2,23,c,0.07426947091045938
2,23,s,0.0046539306640625
3,23,e,0.1500439479711005
3,23,c,0.07443435220953785
3,23,s,0.0019073486328125
4,23,e,0.1609030296226889
4,23,c,0.09990324737474847
4,23,s,0.0029296875
5,23,e,0.20026147324595667
5,23,c,0.13031735642838246
5,23,s,0.003448486328125
6,23,e,0.20087239204492086
6,23,c,0.18900774459992395
6,23,s,0.0033416748046875
7,23,e,0.18475940872224042
7,23,c,0.21591378002188888
7,23,s,0.0035247802734375
8,23,e,0.20696630706458863
8,23,c,0.23667457042419165
8,23,s,0.006195068359375
9,23,e,0.20740922319383764
9,23,c,0.2324143594975231
9,23,s,0.004791259765625
10,23,e,0.22477459005439468
10,23,c,0.22614751257372004
10,23,s,0.0040740966796875
11,23,e,0.20354516179038917
11,23,c,0.3063611399777238
11,23,s,0.00579833984375
12,23,e,0.1879820053867765
12,23,c,0.2954319011594463
12,23,s,0.0112152099609375
13,23,e,0.27309826705246193
13,23,c,0.4485904082414997
13,23,s,0.0104827880859375
14,23,e,0.2606355235535925
14,23,c,0.4709414791448158
14,23,s,0.02813720703125
15,23,e,0.25680200809009224
15,23,c,0.3434439509732152
15,23,s,0.02362060546875
16,23,e,0.30297219632181066
16,23,c,0.528517636235398
16,23,s,0.02862548828125
17,23,e,0.3411851671970206
17,23,c,0.5818869606131466
17,23,s,0.0578765869140625
18,23,e,0.3513875111397225
18,23,c,0.5595563387588234
18,23,s,0.0753631591796875
19,23,e,0.4448580873812431
19,23,c,0.7180722844168289
19,23,s,0.0775604248046875
20,23,e,0.5729219406141108
20,23,c,0.7323025493867006
20,23,s,0.181671142578125
21,23,e,0.5473091699675373
21,23,c,0.6926845753652662
21,23,s,0.2688751220703125
22,23,e,0.6243460305169213
22,23,c,0.7735865033584566
22,23,s,0.294097900390625
23,23,e,0.675525752900146
23,23,c,0.8309505040273945
23,23,s,0.3912353515625
24,23,e,0.6131051246159803
24,23,c,0.8068131049773788
24,23,s,0.38287353515625
25,23,e,0.67230315623561
25,23,c,0.8151391661815626
25,23,s,0.3896636962890625
26,23,e,0.5653618204769291
26,23,c,0.7590189455828116
26,23,s,0.32122802734375
27,23,e,0.5889585590869207
27,23,c,0.759647905307359
27,23,s,0.286651611328125
28,23,e,0.5557398493932431
28,23,c,0.7293920795077705
28,23,s,0.2787628173828125
29,23,e,0.5411694360379472
29,23,c,0.7341675038426559
29,23,s,0.25103759765625
30,23,e,0.5145181034331345
30,23,c,0.6656889748855852
30,23,s,0.20556640625
31,23,e,0.5412763468277659
31,23,c,0.6886106190410876
31,23,s,0.2068023681640625
32,23,e,0.69942795090962
32,23,c,0.775358586724431
32,23,s,0.346771240234375
33,23,e,0.5913716883428293
33,23,c,0.7567239623748763
33,23,s,0.3680877685546875
34,23,e,0.6017725808951946
34,23,c,0.7546777748214747
34,23,s,0.2960662841796875
35,23,e,0.5676222200330965
35,23,c,0.718011401663307
35,23,s,0.2745513916015625
36,23,e,0.5385730311423494
36,23,c,0.7384249267124678
36,23,s,0.240814208984375
37,23,e,0.5604897430551896
37,23,c,0.7633357489261619
37,23,s,0.23236083984375
38,23,e,0.6247431277362481
38,23,c,0.7569767275502863
38,23,s,0.29608154296875
39,23,e,0.564338531488664
39,23,c,0.7409959851738318
39,23,s,0.2862091064453125
40,23,e,0.48629365492098914
40,23,c,0.6844601393227937
40,23,s,0.199737548828125
41,23,e,0.6260260572140728
41,23,c,0.7929642042407807
41,23,s,0.23760986328125
42,23,e,0.6331127152820574
42,23,c,0.7866503617046641
42,23,s,0.350677490234375
43,23,e,0.7039792959619031
43,23,c,0.7911265745000191
43,23,s,0.40753173828125
44,23,e,0.6161444456408272
44,23,c,0.7268383989097689
44,23,s,0.3882293701171875
45,23,e,0.6704551268687433
45,23,c,0.7812591505579055
45,23,s,0.3856048583984375
46,23,e,0.7212682979725896
46,23,c,0.8216183460753939
46,23,s,0.46417236328125
47,23,e,0.6284544594399555
47,23,c,0.7575535912331021
47,23,s,0.41009521484375
48,23,e,0.6652317711375996
48,23,c,0.7809755504609217
48,23,s,0.3675994873046875
49,23,e,0.6770530498975565
49,23,c,0.7665078360099871
49,23,s,0.4139556884765625
50,23,e,0.4960072638245197
50,23,c,0.6732406426625832
50,23,s,0.2553253173828125
