generation,trial,propertyType,property
250,-1,m,-1.0
1,10,e,-0.0005056221826075134
1,10,c,-0.005025125628140715
1,10,s,-7.629400352020534e-7
2,10,e,0.08344904596273671
2,10,c,0.05151224977686665
2,10,s,0.0022880571655709576
3,10,e,0.16714402899918884
3,10,c,0.014696747446664481
3,10,s,0.002837373990916436
4,10,e,0.17728702384062053
4,10,c,0.03888564548145369
4,10,s,0.0022880571655709576
5,10,e,0.19511364278632956
5,10,c,0.11866422545140085
5,10,s,0.0019065871479699312
6,10,e,0.17727174824597983
6,10,c,0.05200322726192728
6,10,s,0.001631928735297192
7,10,e,0.20259868416027763
7,10,c,0.14161225050659504
7,10,s,0.002104951557122465
8,10,e,0.20143773896758366
8,10,c,0.16910523183313572
8,10,s,0.0037529020331589
9,10,e,0.24781444429678035
9,10,c,0.2706012198336145
9,10,s,0.0033561732148538323
10,10,e,0.209594906505723
10,10,c,0.34921559007061065
10,10,s,0.004988864890186226
11,10,e,0.2705292535275167
11,10,c,0.4335942479202334
11,10,s,0.01162644319644409
12,10,e,0.256170194565249
12,10,c,0.4135916371944019
12,10,s,0.016524518222441272
13,10,e,0.3672543187924948
13,10,c,0.7123873276370221
13,10,s,0.07199025878163054
14,10,e,0.5718250822208881
14,10,c,0.8652247807111775
14,10,s,0.2474664668781028
15,10,e,0.6384572260436668
15,10,c,0.8372996713844889
15,10,s,0.3675227108174979
16,10,e,0.708648583417731
16,10,c,0.8741764099182137
16,10,s,0.43713335962933325
17,10,e,0.6492876226439305
17,10,c,0.7776515781803577
17,10,s,0.4488978949721489
18,10,e,0.5049790800731395
18,10,c,0.6842624716535616
18,10,s,0.25965824864063164
19,10,e,0.6214402136139154
19,10,c,0.7281197906343647
19,10,s,0.2543939623977374
20,10,e,0.6157576924075712
20,10,c,0.7621508138051105
20,10,s,0.3257288556891294
21,10,e,0.6132983216704169
21,10,c,0.7700090331747116
21,10,s,0.33621165177280565
22,10,e,0.6164756453556846
22,10,c,0.8219302064297805
22,10,s,0.32496591565392735
23,10,e,0.5180549890855877
23,10,c,0.7276755012980061
23,10,s,0.24616946881825932
24,10,e,0.6007723340650343
24,10,c,0.7545055581802449
24,10,s,0.24636783322741185
25,10,e,0.6949158238357324
25,10,c,0.821080787033191
25,10,s,0.37533521677796694
26,10,e,0.7004303135010288
26,10,c,0.8140478725631703
26,10,s,0.45996052548257865
27,10,e,0.7292248093987679
27,10,c,0.8184570303916849
27,10,s,0.48135336406964424
28,10,e,0.5596198821029605
28,10,c,0.8002624536277321
28,10,s,0.34732005868534754
29,10,e,0.5880630393239633
29,10,c,0.7868747915630362
29,10,s,0.2745050617256636
30,10,e,0.6157729680022119
30,10,c,0.7785286538634878
30,10,s,0.3159479644378391
31,10,e,0.5636679146827488
31,10,c,0.7389301534732644
31,10,s,0.2848505286030034
32,10,e,0.6068978475159592
32,10,c,0.745684837449043
32,10,s,0.2847437169980751
33,10,e,0.5660661830413404
33,10,c,0.6945848383366388
33,10,s,0.2938074446162755
