generation,trial,propertyType,property
250,-1,m,-1.0
1,16,e,4.583070443320577e-6
1,16,c,0.04761904761904763
1,16,s,1.52587890625e-5
2,16,e,0.08923696460189158
2,16,c,0.12519764733390482
2,16,s,0.0048980712890625
3,16,e,0.18800213265544627
3,16,c,0.06127282810819067
3,16,s,0.0016632080078125
4,16,e,0.15161255333548226
4,16,c,0.010035682917320017
4,16,s,0.0015869140625
5,16,e,0.1864744425076728
5,16,c,0.03380650066724869
5,16,s,0.0023040771484375
6,16,e,0.1989862248179375
6,16,c,0.004430280923523808
6,16,s,0.003692626953125
7,16,e,0.1859091971529966
7,16,c,0.0836878172970455
7,16,s,0.002471923828125
8,16,e,0.20494421639425403
8,16,c,0.2043777309730523
8,16,s,0.0059661865234375
9,16,e,0.18234967910868444
9,16,c,0.13695011718243355
9,16,s,0.003326416015625
10,16,e,0.2008347298967434
10,16,c,0.08080098023334707
10,16,s,0.0030670166015625
11,16,e,0.19339487887708662
11,16,c,0.08609817973696401
11,16,s,0.0015716552734375
12,16,e,0.2025915735666829
12,16,c,0.08019636875653988
12,16,s,0.0017242431640625
13,16,e,0.19693912001992106
13,16,c,0.07902315197936323
13,16,s,0.0024871826171875
14,16,e,0.17992065177372463
14,16,c,0.17097585579948146
14,16,s,0.00311279296875
15,16,e,0.16774496129597008
15,16,c,0.20129899804039073
15,16,s,0.0024566650390625
16,16,e,0.19567113719726908
16,16,c,0.08894187347710675
16,16,s,0.0020294189453125
17,16,e,0.17379461428115303
17,16,c,0.21065344497459357
17,16,s,0.0026397705078125
18,16,e,0.15173476854730414
18,16,c,0.10524655948142776
18,16,s,0.00445556640625
19,16,e,0.15821217477386365
19,16,c,0.13877485252058536
19,16,s,0.0022735595703125
20,16,e,0.15578314743890384
20,16,c,-0.02972106739190729
20,16,s,0.0020751953125
21,16,e,0.18723828758155953
21,16,c,0.07894784506455753
21,16,s,0.0027313232421875
22,16,e,0.19806961072927343
22,16,c,0.12125259818756871
22,16,s,0.002044677734375
23,16,e,0.23053302636945963
23,16,c,0.09727805846916193
23,16,s,0.002044677734375
24,16,e,0.27547767051695504
24,16,c,0.26858119045568696
24,16,s,0.004638671875
25,16,e,0.20408870991150088
25,16,c,0.2743622144178232
25,16,s,0.0147857666015625
26,16,e,0.24388503826099972
26,16,c,0.3141968844223591
26,16,s,0.01336669921875
27,16,e,0.2821078457582919
27,16,c,0.34184958117490444
27,16,s,0.0221405029296875
28,16,e,0.2447558216452306
28,16,c,0.3458677074671657
28,16,s,0.0145721435546875
29,16,e,0.22943308946306273
29,16,c,0.3636965898452852
29,16,s,0.01507568359375
30,16,e,0.27072655415737956
30,16,c,0.3919238326293214
30,16,s,0.01812744140625
31,16,e,0.33899902686137584
31,16,c,0.48300760372011564
31,16,s,0.0257568359375
32,16,e,0.34177942293032354
32,16,c,0.5245038289388313
32,16,s,0.0406646728515625
33,16,e,0.32894682568902645
33,16,c,0.5544350050116311
33,16,s,0.0518341064453125
34,16,e,0.45733390570790866
34,16,c,0.6313765114234735
34,16,s,0.1107025146484375
35,16,e,0.48779604725451164
35,16,c,0.697186646750553
35,16,s,0.1683502197265625
36,16,e,0.6349737160910076
36,16,c,0.7632422047907885
36,16,s,0.25823974609375
37,16,e,0.7137414201102076
37,16,c,0.8528157350051537
37,16,s,0.4454193115234375
38,16,e,0.6572779922485003
38,16,c,0.8345196551886681
38,16,s,0.451446533203125
39,16,e,0.6850361222335442
