generation,trial,propertyType,property
50,-1,m,-1.0
1,11,e,-0.00016345535453771926
1,11,c,-0.016949152542372913
1,11,s,1.52587890625e-5
2,11,e,0.12918014154928179
2,11,c,0.5172229311718328
2,11,s,0.0001983642578125
3,11,e,0.5713497898758503
3,11,c,0.8283051016364114
3,11,s,0.01300048828125
4,11,e,0.9548741011865025
4,11,c,0.9777960437468611
4,11,s,0.4365997314453125
5,11,e,0.9688823778323987
5,11,c,0.9747423973061599
5,11,s,0.922821044921875
6,11,e,0.9172488172401098
6,11,c,0.9505958453320317
6,11,s,0.887359619140625
7,11,e,0.9394145854115332
7,11,c,0.9621750774630901
7,11,s,0.8601531982421875
8,11,e,0.99141477483643
8,11,c,0.9941822559761745
8,11,s,0.92950439453125
9,11,e,0.9639939933976258
9,11,c,0.9782615786158856
9,11,s,0.9539642333984375
10,11,e,0.9869388478383412
10,11,c,0.9928227765360028
10,11,s,0.9501190185546875
11,11,e,0.9918119560717553
11,11,c,0.9928899974969776
11,11,s,0.9788360595703125
12,11,e,0.9608470959177408
12,11,c,0.970273079753204
12,11,s,0.9518890380859375
13,11,e,0.9511772604577056
13,11,c,0.9770763725459551
13,11,s,0.9123992919921875
14,11,e,0.8333671955796784
14,11,c,0.9320375930406354
14,11,s,0.780487060546875
15,11,e,0.9808589196975923
15,11,c,0.989449259659522
15,11,s,0.8065338134765625
16,11,e,0.9831503499013922
16,11,c,0.9894550161723856
16,11,s,0.9640045166015625
17,11,e,0.976856554941622
17,11,c,0.9820145586625147
17,11,s,0.9598388671875
18,11,e,0.9947297105312605
18,11,c,0.9973893999154763
18,11,s,0.9710693359375
19,11,e,0.9986862466831548
19,11,c,0.9988218863998699
19,11,s,0.993408203125
20,11,e,0.995478244397835
20,11,c,0.9969621094007459
20,11,s,0.9941864013671875
21,11,e,0.9752678300003208
21,11,c,0.9853411647428213
21,11,s,0.9708709716796875
22,11,e,0.9972044551513642
22,11,c,0.9985396699451512
22,11,s,0.97271728515625
23,11,e,0.988130391544317
23,11,c,0.9936687150643483
23,11,s,0.985321044921875
24,11,e,0.995203272773379
24,11,c,0.996534675413889
24,11,s,0.9834442138671875
25,11,e,0.9954171395924004
25,11,c,0.995751360777283
25,11,s,0.9906005859375
26,11,e,0.8410205724603698
26,11,c,0.9184266280583306
26,11,s,0.8289031982421875
27,11,e,0.9790716041386285
27,11,c,0.9853187730337575
27,11,s,0.815338134765625
28,11,e,0.8506904079204048
28,11,c,0.9581521117943528
28,11,s,0.8199615478515625
29,11,e,0.6486626449520556
29,11,c,0.8349057259000597
29,11,s,0.5110626220703125
30,11,e,0.9759705352628194
30,11,c,0.9879200921645707
30,11,s,0.5941162109375
31,11,e,0.9567072453495424
31,11,c,0.9778446414561132
31,11,s,0.9333038330078125
32,11,e,0.9916591940581687
32,11,c,0.9932314554613421
32,11,s,0.9476776123046875
33,11,e,0.7283738636415714
33,11,c,0.8619648353483247
33,11,s,0.693511962890625
34,11,e,0.8198935859813355
34,11,c,0.920433367105023
34,11,s,0.5635528564453125
35,11,e,0.9127270616379448
35,11,c,0.9438511345825271
35,11,s,0.7384185791015625
36,11,e,0.9732360952196183
36,11,c,0.981020192907772
36,11,s,0.8853759765625
37,11,e,0.9901162977209436
37,11,c,0.9925889342750557
37,11,s,0.9634246826171875
38,11,e,0.9912772890242021
38,11,c,0.9949135878711745
38,11,s,0.9813995361328125
39,11,e,0.9723806279435331
39,11,c,0.9814254285939589
39,11,s,0.96368408203125
40,11,e,0.9930798807845246
40,11,c,0.9946053473293006
40,11,s,0.9654083251953125
41,11,e,0.9285226538428049
41,11,c,0.9556726269859774
41,11,s,0.920562744140625
42,11,e,0.9716779226810345
42,11,c,0.9815119934320515
42,11,s,0.9002838134765625
43,11,e,0.9928660139655033
43,11,c,0.9941464889254555
43,11,s,0.9636077880859375
44,11,e,0.9976627411921242
44,11,c,0.9980856435090539
44,11,s,0.990570068359375
45,11,e,0.9858084089377999
45,11,c,0.9902255742440492
45,11,s,0.9831390380859375
46,11,e,0.9936603764361539
46,11,c,0.9949003402015512
46,11,s,0.97943115234375
47,11,e,0.9951727203706617
47,11,c,0.9971238007162412
47,11,s,0.9888916015625
48,11,e,0.9901315739223022
48,11,c,0.9945056403479041
48,11,s,0.9852752685546875
49,11,e,0.9854417801051919
49,11,c,0.9886489427079439
49,11,s,0.9757843017578125
50,11,e,0.9588459135397556
50,11,c,0.971499925134656
50,11,s,0.94464111328125
