generation,trial,propertyType,property
50,-1,m,-1.0
1,22,e,-4.717010153877076e-5
1,22,c,0.03871829105473959
1,22,s,9.5367431640625e-7
2,22,e,0.2899397333987832
2,22,c,0.1576984130500439
2,22,s,4.76837158203125e-6
3,22,e,0.48358516237508564
3,22,c,0.6755419936034676
3,22,s,0.006546974182128906
4,22,e,0.8300846138139908
4,22,c,0.9158973750221596
4,22,s,0.16228103637695312
5,22,e,0.9644340296082292
5,22,c,0.9762045442703552
5,22,s,0.7950010299682617
6,22,e,0.9956225764214071
6,22,c,0.9966683053444767
6,22,s,0.9609384536743164
7,22,e,0.9994181241266198
7,22,c,0.9994707921142707
7,22,s,0.9950437545776367
8,22,e,0.9995125597191848
8,22,c,0.9996307092867112
8,22,s,0.998931884765625
9,22,e,0.9994829889780786
9,22,c,0.999480087317242
9,22,s,0.9989957809448242
10,22,e,0.999614626470745
10,22,c,0.9995905893591411
10,22,s,0.9990978240966797
11,22,e,0.999731001645421
11,22,c,0.9997778603591608
11,22,s,0.9993457794189453
12,22,e,0.9995697934116484
12,22,c,0.9995945703497731
12,22,s,0.9993009567260742
13,22,e,0.9996174881553681
13,22,c,0.9996576965575129
13,22,s,0.9991874694824219
14,22,e,0.9994381559189821
14,22,c,0.9994324517053554
14,22,s,0.9990558624267578
15,22,e,0.9996022258373778
15,22,c,0.9995162286789864
15,22,s,0.9990415573120117
16,22,e,0.9992073133593788
16,22,c,0.9990978408097302
16,22,s,0.9988136291503906
17,22,e,0.9988648650994715
17,22,c,0.9990024872404235
17,22,s,0.9980745315551758
18,22,e,0.9995841018347643
18,22,c,0.9996832851623297
18,22,s,0.9984521865844727
19,22,e,0.9997281399607978
19,22,c,0.9997569372589771
19,22,s,0.9993124008178711
20,22,e,0.9995936407835083
20,22,c,0.9996726065332422
20,22,s,0.9993219375610352
21,22,e,0.999668044583711
21,22,c,0.9996654111969933
21,22,s,0.9992618560791016
22,22,e,0.9996327504733584
22,22,c,0.9996504571921161
22,22,s,0.9993009567260742
23,22,e,0.999614626470745
23,22,c,0.9995430574705881
23,22,s,0.9992475509643555
24,22,e,0.9994009540188807
24,22,c,0.9996597655651985
24,22,s,0.9990158081054688
25,22,e,0.9995965024681315
25,22,c,0.9995863610882597
25,22,s,0.998997688293457
26,22,e,0.9994515104472236
26,22,c,0.999579229843047
26,22,s,0.9990482330322266
27,22,e,0.9996689984785854
27,22,c,0.9996206128514139
27,22,s,0.9991207122802734
28,22,e,0.9995707473065228
28,22,c,0.9996953640865179
28,22,s,0.9992399215698242
29,22,e,0.9993561209597842
29,22,c,0.99937701850963
29,22,s,0.9989290237426758
30,22,e,0.9996337043682328
30,22,c,0.9996496420562365
30,22,s,0.9989900588989258
31,22,e,0.9992244834671179
31,22,c,0.9991564584345514
31,22,s,0.9988584518432617
32,22,e,0.9990995232385723
32,22,c,0.9993935310759043
32,22,s,0.9983282089233398
33,22,e,0.9994047695983783
33,22,c,0.9992162989322938
33,22,s,0.9985103607177734
34,22,e,0.9995087441396873
34,22,c,0.9995979948999569
34,22,s,0.9989156723022461
35,22,e,0.9994324325497357
35,22,c,0.9995713313502317
35,22,s,0.9989414215087891
36,22,e,0.9994829889780786
36,22,c,0.9994486430013647
36,22,s,0.9989156723022461
37,22,e,0.9990985693436979
37,22,c,0.9989736936888262
37,22,s,0.9985818862915039
38,22,e,0.9989392688996741
38,22,c,0.9990376863680807
38,22,s,0.9980430603027344
39,22,e,0.9997004770094403
39,22,c,0.9996546615125501
39,22,s,0.9986400604248047
40,22,e,0.9996890302709477
40,22,c,0.9996469610661626
40,22,s,0.9993896484375
41,22,e,0.9995049285601897
41,22,c,0.9996870624407779
41,22,s,0.9991941452026367
42,22,e,0.9996833069017013
42,22,c,0.9996565005253568
42,22,s,0.9991884231567383
43,22,e,0.9997271860659234
43,22,c,0.999687724826928
43,22,s,0.9994106292724609
44,22,e,0.9992664548415912
44,22,c,0.9993066164321548
44,22,s,0.9989938735961914
45,22,e,0.9993151034801853
45,22,c,0.9995144420214958
45,22,s,0.9985837936401367
46,22,e,0.9998712241919568
46,22,c,0.9998606231927026
46,22,s,0.9991865158081055
47,22,e,0.9991577108259103
47,22,c,0.999220619771532
47,22,s,0.9990291595458984
48,22,e,0.999452464342098
48,22,c,0.9994006193502036
48,22,s,0.9986104965209961
49,22,e,0.9990775836564613
49,22,c,0.9994811867761418
49,22,s,0.998530387878418
50,22,e,0.9991281400848041
50,22,c,0.9994617991906198
50,22,s,0.9982070922851562
