bottle,trial,propertyType,property
90,9,s1,0.9755859375
90,9,s0,0.185546875
90,9,e1,0.981292768178014
90,9,e0,0.4771821001329198
90,9,c1,0.9859325710580094
90,9,c0,0.5353000975386681
90,8,s1,0.91015625
90,8,s0,0.1064453125
90,8,e1,0.9182789346723773
90,8,e0,0.38856889676561807
90,8,c1,0.8992595479477743
90,8,c0,0.31433024483645267
90,7,s1,0.9462890625
90,7,s0,0.9814453125
90,7,e1,0.9872003150691675
90,7,e0,0.9921232708117954
90,7,c1,0.9814200199087402
90,7,c0,0.9893323345332772
90,6,s1,0.9345703125
90,6,s0,0.0517578125
90,6,e1,0.9734160389898094
90,6,e0,0.35509279771574853
90,6,c1,0.9780429881483301
90,6,c0,0.20365347787752477
90,5,s1,0.966796875
90,5,s0,0.787109375
90,5,e1,0.9724314478412839
90,5,e0,0.9744006301383351
90,5,c1,0.9709375725216498
90,5,c0,0.9650297737241595
90,4,s1,0.9228515625
90,4,s0,0.12890625
90,4,e1,0.9360015753458376
90,4,e0,0.43976763648894795
90,4,c1,0.9466563394502467
90,4,c0,0.2889866758168215
90,3,s1,0.9619140625
90,3,s0,0.384765625
90,3,e1,0.9881849062176931
90,3,e0,0.6908383793629695
90,3,c1,1.0
90,3,c0,0.7189544106814479
90,2,s1,0.962890625
90,2,s0,0.115234375
90,2,e1,0.9822773593265397
90,2,e0,0.4919509673608034
90,2,c1,0.9771324830437269
90,2,c0,0.500980316790121
90,25,s1,0.9658203125
90,25,s0,0.19921875
90,25,e1,0.981292768178014
90,25,e0,0.5057352434401614
90,25,c1,0.9806548386595094
90,25,c0,0.47814632805097024
90,24,s1,0.9599609375
90,24,s0,0.9853515625
90,24,e1,0.9734160389898094
90,24,e0,0.9891694973662187
90,24,c1,0.960408100016265
90,24,c0,0.9911999119857177
90,23,s1,0.9609375
90,23,s0,0.8310546875
90,23,e1,0.9803081770294885
90,23,e0,0.9625855363560282
90,23,c1,0.9654850135143089
90,23,c0,0.9724415103777403
90,22,s1,0.9765625
90,22,s0,0.193359375
90,22,e1,0.981292768178014
90,22,e0,0.4840742381725988
90,22,c1,0.982644446723845
90,22,c0,0.45481327668147337
90,21,s1,0.9580078125
90,21,s0,0.4384765625
90,21,e1,0.9832619504750653
90,21,e0,0.7075764288879043
90,21,c1,0.9847106608253825
90,21,c0,0.6183526510085846
90,20,s1,0.9423828125
90,20,s0,0.1328125
90,20,e1,0.9684930832471816
90,20,e0,0.4377984541918968
90,20,c1,0.9672618222895462
90,20,c0,0.4784952223715993
90,1,s1,0.9755859375
90,1,s0,0.4931640625
90,1,e1,0.9911386796632699
90,1,e0,0.7371141633436715
90,1,c1,0.9855984342151278
90,1,c0,0.6263454725699245
90,19,s1,0.96484375
90,19,s0,0.9521484375
90,19,e1,0.9832619504750653
90,19,e0,0.9862157239206419
90,19,c1,0.968164699314638
90,19,c0,0.9893323345332772
90,18,s1,0.9638671875
90,18,s0,0.97265625
90,18,e1,0.9822773593265397
90,18,e0,0.9872003150691675
90,18,c1,0.9776848650038592
90,18,c0,0.9851539202268894
90,17,s1,0.9912109375
90,17,s0,0.107421875
90,17,e1,0.993107861960321
90,17,e0,0.48702801161817555
90,17,c1,0.9916431713872245
90,17,c0,0.35157150922993946
90,16,s1,0.9794921875
90,16,s0,0.9130859375
90,16,e1,0.9901540885147443
90,16,e0,0.9419091222369911
90,16,c1,0.9911999119857177
90,16,c0,0.9249929108813055
90,15,s1,0.9638671875
90,15,s0,0.8759765625
90,15,e1,0.9753852212868607
90,15,e0,0.9488012602766701
90,15,c1,0.9805322465189948
90,15,c0,0.9343480340970989
90,14,s1,0.947265625
90,14,s0,0.1708984375
90,14,e1,0.9842465416235908
90,14,e0,0.4958893319549057
90,14,c1,0.9821079020626566
90,14,c0,0.4796670644621228
90,13,s1,0.9541015625
90,13,s0,0.7138671875
90,13,e1,0.9803081770294885
90,13,e0,0.9734160389898094
90,13,c1,0.9853985429792992
90,13,c0,0.9799105656007705
90,12,s1,0.9658203125
90,12,s0,0.1240234375
90,12,e1,0.9911386796632699
90,12,e0,0.5303500221533008
90,12,c1,0.9834540384892555
90,12,c0,0.5578953328846394
90,11,s1,0.892578125
90,11,s0,0.048828125
90,11,e1,0.9665239009501304
90,11,e0,0.3521390242701718
90,11,c1,0.9773499658283856
90,11,c0,0.2564490115884763
