bottle,trial,propertyType,property
180,1,e0,0.49712253315879174
180,1,c0,0.6397560863739947
180,1,s0,0.6376953125
180,1,e1,1.0
180,1,c1,1.0
180,1,s1,1.0
180,2,e0,0.4941586188159163
180,2,c0,0.30635838150289024
180,2,s0,0.6767578125
180,2,e1,0.4941586188159163
180,2,c1,0.1907514450867053
180,2,s1,0.77734375
180,3,e0,0.5040383332921679
180,3,c0,0.6465586541630108
180,3,s0,0.46484375
180,3,e1,1.0
180,3,c1,1.0
180,3,s1,1.0
180,4,e0,0.4793390471015388
180,4,c0,0.8985357559229095
180,4,s0,0.5283203125
180,4,e1,1.0
180,4,c1,1.0
180,4,s1,0.921875
180,5,e0,0.710524365845827
180,5,c0,0.7877247434070412
180,5,s0,0.6220703125
180,5,e1,1.0
180,5,c1,1.0
180,5,s1,1.0
180,6,e0,0.4951465902635414
180,6,c0,0.5375722543352601
180,6,s0,0.701171875
180,6,e1,0.5010744189492924
180,6,c1,0.49953418740171024
180,6,s1,0.4345703125
180,7,e0,0.505026304739793
180,7,c0,0.4561382688601904
180,7,s0,0.5869140625
180,7,e1,1.0
180,7,c1,1.0
180,7,s1,1.0
180,8,e0,1.0
180,8,c0,1.0
180,8,s0,1.0
180,8,e1,1.0
180,8,c1,1.0
180,8,s1,1.0
180,9,e0,0.6156791068738113
180,9,c0,0.8215532435607403
180,9,s0,0.4755859375
180,9,e1,1.0
180,9,c1,1.0
180,9,s1,1.0
180,10,e0,0.49909847605404206
180,10,c0,0.8820354756952504
180,10,s0,0.6611328125
180,10,e1,0.5030503618445428
180,10,c1,0.7687861271676301
180,10,s1,0.7431640625
180,11,e0,1.0
180,11,c0,1.0
180,11,s0,1.0
180,11,e1,1.0
180,11,c1,1.0
180,11,s1,1.0
180,12,e0,0.4941586188159163
180,12,c0,0.7263481203455799
180,12,s0,0.5263671875
180,12,e1,1.0
180,12,c1,1.0
180,12,s1,1.0
180,13,e0,0.4941586188159163
180,13,c0,0.37605185926924245
180,13,s0,0.8095703125
180,13,e1,0.49218267592066595
180,13,c1,0.37952731109702503
180,13,s1,0.705078125
180,14,e0,0.49218267592066595
180,14,c0,0.8843930635838152
180,14,s0,0.818359375
180,14,e1,1.0
180,14,c1,1.0
180,14,s1,1.0
180,15,e0,0.4941586188159163
180,15,c0,0.35482659238974423
180,15,s0,0.7158203125
180,15,e1,1.0
180,15,c1,1.0
180,15,s1,1.0
180,16,e0,0.4941586188159163
180,16,c0,0.5228187914751538
180,16,s0,0.931640625
180,16,e1,1.0
180,16,c1,1.0
180,16,s1,1.0
180,17,e0,0.49712253315879174
180,17,c0,0.7078745013727223
180,17,s0,0.8046875
180,17,e1,0.49218267592066595
180,17,c1,0.5311175170606537
180,17,s1,0.6982421875
180,18,e0,0.49218267592066595
180,18,c0,0.5375722543352601
180,18,s0,0.44921875
180,18,e1,1.0
180,18,c1,1.0
180,18,s1,1.0
180,19,e0,0.4872428186825401
180,19,c0,0.7928511588133916
180,19,s0,0.5966796875
180,19,e1,0.6650776792550696
180,19,c1,0.7183704433797555
180,19,s1,0.5673828125
180,20,e0,0.4951465902635414
180,20,c0,0.47347619383176354
180,20,s0,0.18359375
180,20,e1,1.0
180,20,c1,1.0
180,20,s1,1.0
180,21,e0,0.5208338479017957
180,21,c0,0.3476359093463179
180,21,s0,0.62890625
180,21,e1,1.0
180,21,c1,1.0
180,21,s1,1.0
180,22,e0,0.9772766567046213
180,22,c0,0.686466376331768
180,22,s0,0.875
180,22,e1,0.9920962284189987
180,22,c1,0.9914741026002608
180,22,s1,0.7490234375
180,23,e0,0.4951465902635414
180,23,c0,0.7687861271676301
180,23,s0,0.7568359375
180,23,e1,0.4941586188159163
180,23,c1,0.46583935401974874
180,23,s1,0.8525390625
180,24,e0,1.0
180,24,c0,1.0
180,24,s0,1.0
180,24,e1,1.0
180,24,c1,1.0
180,24,s1,1.0
180,25,e0,0.5000864475016672
180,25,c0,0.5375722543352601
180,25,s0,0.6494140625
180,25,e1,1.0
180,25,c1,1.0
180,25,s1,1.0
