bottle,trial,propertyType,property
140,1,e0,0.932851112153455
140,1,c0,0.9188305120409056
140,1,s0,0.9081178828014271
140,1,e1,1.0
140,1,c1,1.0
140,1,s1,1.0
140,2,e0,0.8123781074875948
140,2,c0,0.9250370684763964
140,2,s0,0.6256292458824104
140,2,e1,1.0
140,2,c1,1.0
140,2,s1,1.0
140,3,e0,0.9032266028093909
140,3,c0,0.9051220301799386
140,3,s0,0.7781144616587654
140,3,e1,1.0
140,3,c1,1.0
140,3,s1,1.0
140,4,e0,0.7659663761818944
140,4,c0,0.7187229432864789
140,4,s0,0.5073554567225453
140,4,e1,0.9980250327103958
140,4,c1,0.9957857707138432
140,4,s1,0.9824055520258052
140,5,e0,0.9417384649566741
140,5,c0,0.9658507962637412
140,5,s0,0.7331508723913787
140,5,e1,0.9348260794430592
140,5,c1,0.9430825272532026
140,5,s1,0.9569913493964127
140,6,e0,0.9911126471967808
140,6,c0,0.9854151481440091
140,6,s0,0.9706759200430086
140,6,e1,1.0
140,6,c1,1.0
140,6,s1,1.0
140,7,e0,1.0
140,7,c0,1.0
140,7,s0,0.942329309417917
140,7,e1,0.9990125163551978
140,7,c1,1.0
140,7,s1,0.9990225306681003
140,8,e0,0.9298886612190486
140,8,c0,0.9319591237864099
140,8,s0,0.7028493231024876
140,8,e1,1.0
140,8,c1,1.0
140,8,s1,1.0
140,9,e0,0.8390401658972523
140,9,c0,0.8107245615097148
140,9,s0,0.6657054884902986
140,9,e1,1.0
140,9,c1,1.0
140,9,s1,0.9921802453448023
140,10,e0,0.7156047102969857
140,10,c0,0.7857006776084045
140,10,s0,0.28156004105371196
140,10,e1,1.0
140,10,c1,1.0
140,10,s1,0.9990225306681003
140,11,e0,0.7975658528155627
140,11,c0,0.8253468053582512
140,11,s0,0.3998338302135771
140,11,e1,1.0
140,11,c1,1.0
140,11,s1,1.0
140,12,e0,0.5210704322709655
140,12,c0,0.8218727287062786
140,12,s0,0.32163628366160013
140,12,e1,1.0
140,12,c1,1.0
140,12,s1,0.9980450613362005
140,13,e0,0.8844644135581504
140,13,c0,0.9491406621358258
140,13,s0,0.7947314403010606
140,13,e1,1.0
140,13,c1,1.0
140,13,s1,1.0
140,14,e0,0.85187745327968
140,14,c0,0.9605858058139418
140,14,s0,0.8611993548702409
140,14,e1,1.0
140,14,c1,1.0
140,14,s1,0.9960901226724012
140,15,e0,0.7511541215098625
140,15,c0,0.8064927997217709
140,15,s0,0.7507453203655735
140,15,e1,0.6533932406744513
140,15,c1,0.6752459664673456
140,15,s1,0.6070573285763159
140,16,e0,0.9289011775742464
140,16,c0,0.9615452696293044
140,16,s0,0.6969845071110894
140,16,e1,1.0
140,16,c1,1.0
140,16,s1,1.0
140,17,e0,0.7590539906682795
140,17,c0,0.7239650022682529
140,17,s0,0.20336249450173502
140,17,e1,0.9940750981311872
140,17,c1,0.9898570892751585
140,17,s1,0.993157714676702
140,18,e0,0.9170513738366208
140,18,c0,0.9349290089485871
140,18,s0,0.8641317628659401
140,18,e1,0.8192904930012097
140,18,c1,0.8867200488233763
140,18,s1,0.8396950295684473
140,19,e0,0.970375490655936
140,19,c0,0.9632186111453341
140,19,s0,0.9276672694394213
140,19,e1,1.0
140,19,c1,1.0
140,19,s1,0.9736083280387078
140,20,e0,0.9002641518749845
140,20,c0,0.8768387096892287
140,20,s0,0.7849567469820634
140,20,e1,0.9960500654207914
140,20,c1,1.0
140,20,s1,0.9687209813792093
140,21,e0,0.9456883995358827
140,21,c0,0.9384140092475519
140,21,s0,0.8524021308831435
140,21,e1,0.9802503271039573
140,21,c1,0.9858119930956494
140,21,s1,0.9784956746982063
140,22,e0,0.7353543831930284
140,22,c0,0.8569417701515796
140,22,s0,0.6080347979082156
140,22,e1,0.9940750981311872
140,22,c1,0.9909445318158774
140,22,s1,0.9706759200430086
140,23,e0,0.7531290887994667
140,23,c0,0.7447780504275061
140,23,s0,0.7800694003225649
140,23,e1,0.9990125163551978
140,23,c1,1.0
140,23,s1,0.9980450613362005
140,24,e0,0.9308761448638507
140,24,c0,0.9691529363218715
140,24,s0,0.5005131713992473
140,24,e1,0.9990125163551978
140,24,c1,0.9976693559730189
140,24,s1,1.0
140,25,e0,0.9664255560767275
140,25,c0,0.9818064419176977
140,25,s0,0.7820243389863643
140,25,e1,0.993087614486385
140,25,c1,0.9909445318158774
140,25,s1,0.993157714676702
