reflection,trial,propertyType,property
425,1,e0,0.6677708014040639
425,1,c0,0.8264521571355089
425,1,s0,0.5380859375
425,1,e1,1.0
425,1,c1,1.0
425,1,s1,1.0
425,2,e0,0.9940673357393582
425,2,c0,0.9893624691814883
425,2,s0,0.994140625
425,2,e1,0.9990112226232264
425,2,c1,1.0
425,2,s1,0.9990234375
425,3,e0,0.49671231522222775
425,3,c0,0.6597877262899021
425,3,s0,0.37890625
425,3,e1,0.995056113116132
425,3,c1,0.9976956909337756
425,3,s1,0.9951171875
425,4,e0,0.846739506600089
425,4,c0,0.8511533675962404
425,4,s0,0.732421875
425,4,e1,0.9030998170761853
425,4,c1,0.9086722267776046
425,4,s1,0.9013671875
425,5,e0,0.45716122015128297
425,5,c0,0.442094957249457
425,5,s0,0.37890625
425,5,e1,1.0
425,5,c1,1.0
425,5,s1,0.9951171875
425,6,e0,0.5095664211202848
425,6,c0,0.6411666661878043
425,6,s0,0.361328125
425,6,e1,1.0
425,6,c1,1.0
425,6,s1,0.998046875
425,7,e0,0.4957235378454541
425,7,c0,0.8950584550474997
425,7,s0,0.439453125
425,7,e1,1.0
425,7,c1,1.0
425,7,s1,1.0
425,8,e0,0.49275720571513326
425,8,c0,0.7475818951642171
425,8,s0,0.212890625
425,8,e1,1.0
425,8,c1,1.0
425,8,s1,1.0
425,9,e0,0.9960448904929056
425,9,c0,1.0
425,9,s0,0.99609375
425,9,e1,0.9990112226232264
425,9,c1,0.9976956909337756
425,9,s1,0.9853515625
425,10,e0,0.5787808374944381
425,10,c0,0.7048766731715396
425,10,s0,0.51171875
425,10,e1,0.9861571167251694
425,10,c1,0.9899716984358912
425,10,s1,0.986328125
425,11,e0,0.9990112226232264
425,11,c0,1.0
425,11,s0,0.998046875
425,11,e1,1.0
425,11,c1,1.0
425,11,s1,1.0
425,12,e0,0.7211647797498393
425,12,c0,0.5951271325795836
425,12,s0,0.62109375
425,12,e1,1.0
425,12,c1,1.0
425,12,s1,0.984375
425,13,e0,0.5382409650467197
425,13,c0,0.7908353974936333
425,13,s0,0.2373046875
425,13,e1,0.9990112226232264
425,13,c1,1.0
425,13,s1,0.9951171875
425,14,e0,1.0
425,14,c0,1.0
425,14,s0,1.0
425,14,e1,0.9940673357393582
425,14,c1,0.9882766186240698
425,14,s1,0.994140625
425,15,e0,0.5768032827408909
425,15,c0,0.8575665780729204
425,15,s0,0.517578125
425,15,e1,1.0
425,15,c1,1.0
425,15,s1,0.994140625
425,16,e0,0.6035002719137786
425,16,c0,0.7766469518283093
425,16,s0,0.5048828125
425,16,e1,1.0
425,16,c1,1.0
425,16,s1,0.9482421875
425,17,e0,1.0
425,17,c0,1.0
425,17,s0,0.9853515625
425,17,e1,1.0
425,17,c1,1.0
425,17,s1,0.998046875
425,18,e0,0.9525386859148662
425,18,c0,0.9621942625437219
425,18,s0,0.94921875
425,18,e1,0.9742917882038858
425,18,c1,0.9711025966016243
425,18,s1,0.974609375
425,19,e0,0.5866910565086271
425,19,c0,0.6352013522666324
425,19,s0,0.5029296875
425,19,e1,0.9990112226232264
425,19,c1,0.9976956909337756
425,19,s1,0.9990234375
425,20,e0,1.0
425,20,c0,1.0
425,20,s0,1.0
425,20,e1,0.9980224452464528
425,20,c1,0.9953913818675515
425,20,s1,0.9677734375
425,21,e0,0.5313195234093044
425,21,c0,0.8853493791535688
425,21,s0,0.37109375
425,21,e1,1.0
425,21,c1,1.0
425,21,s1,1.0
425,22,e0,1.0
425,22,c0,1.0
425,22,s0,1.0
425,22,e1,1.0
425,22,c1,1.0
425,22,s1,0.994140625
425,23,e0,0.5204429722647946
425,23,c0,0.6655942436682387
425,23,s0,0.4580078125
425,23,e1,1.0
425,23,c1,1.0
425,23,s1,0.9990234375
425,24,e0,1.0
425,24,c0,1.0
425,24,s0,1.0
425,24,e1,0.9901122262322638
425,24,c1,0.981472505728207
425,24,s1,0.990234375
425,25,e0,0.9733030108271122
425,25,c0,0.9853630803034426
425,25,s0,0.97265625
425,25,e1,1.0
425,25,c1,1.0
425,25,s1,0.994140625
