bottle,trial,propertyType,property
90,1,e0,0.3182381211911014
90,1,c0,0.24896671803370796
90,1,s0,0.03608574637433468
90,1,e1,0.9583808155378288
90,1,c1,0.9679022256985562
90,1,s1,0.8222569461399483
90,2,e0,0.3222018530446415
90,2,c0,0.03621752694469189
90,2,s0,0.062454221397529174
90,2,e1,0.8236139325174652
90,2,c1,0.8629542977904471
90,2,s1,0.6132623663264808
90,3,e0,0.31328345637417626
90,3,c0,0.20015194290727048
90,3,s0,0.05073489916499829
90,3,e1,0.7492939602635882
90,3,c1,0.8369966951175197
90,3,s1,0.548806094047561
90,4,e0,0.31130159044740624
90,4,c0,0.23814669479114997
90,4,s0,0.0751501538161043
90,4,e1,0.5867809542684437
90,4,c1,0.6042729501167368
90,4,s1,0.43258948190829627
90,5,e0,0.35292077490957735
90,5,c0,0.20323960245876466
90,5,s0,0.035109136188290445
90,5,e1,0.8028043402863796
90,5,c1,0.9127925844268748
90,5,s1,0.6845549099077104
90,6,e0,0.3519298419461923
90,6,c0,0.4820152229885139
90,6,s0,0.07319693344401582
90,6,e1,0.6660555913392459
90,6,c1,0.8350175805918159
90,6,s1,0.49899897455930464
90,7,e0,0.4708417975523956
90,7,c0,0.5664603769529003
90,7,s0,0.16988134186239562
90,7,e1,0.5322796412822672
90,7,c1,0.7177994823186151
90,7,s1,0.3681332096293764
90,8,e0,0.3499479760194223
90,8,c0,0.38531402615792104
90,8,s0,0.04194540749060013
90,8,e1,0.8503691225288609
90,8,c1,0.8971341938495957
90,8,s1,0.6640460960007813
90,9,e0,0.2805826685824704
90,9,c0,0.1583465982586374
90,9,s0,0.04878167879290981
90,9,e1,0.8751424466134866
90,9,c1,0.8594521285360504
90,9,s1,0.7851457590702671
90,10,e0,0.29643759599663083
90,10,c0,0.2254988173450693
90,10,s0,0.04096879730455589
90,10,e1,0.8473963236387059
90,10,c1,0.884761927455862
90,10,s1,0.8359294887445676
90,11,e0,0.3955308923351335
90,11,c0,0.4189111899867957
90,11,s0,0.06440744176961766
90,11,e1,0.7473120943368181
90,11,c1,0.7634023037226413
90,11,s1,0.6806484691635334
90,12,e0,0.30931972452063616
90,12,c0,0.1600431039272082
90,12,s0,0.061477611211484935
90,12,e1,0.8464053906753208
90,12,c1,0.8409380375132176
90,12,s1,0.7187362664192588
90,13,e0,0.3440023782391121
90,13,c0,0.39379455265078467
90,13,s0,0.06831388251379462
90,13,e1,0.7205569043254224
90,13,c1,0.775728699188561
90,13,s1,0.512671517163924
90,14,e0,0.2914829311797057
90,14,c0,0.2672222645921303
90,14,s0,0.03413252600224621
90,14,e1,0.887033642174107
90,14,c1,0.9413514930559855
90,14,s1,0.7763562673958689
90,15,e0,0.304365059703711
90,15,c0,0.3791868340732869
90,15,s0,0.03413252600224621
90,15,e1,0.7849675469454491
90,15,c1,0.8367419035466337
90,15,s1,0.4794667708384198
90,16,e0,0.3311202497151068
90,16,c0,0.29113423063496097
90,16,s0,0.09468235753698911
90,16,e1,0.854332854382401
90,16,c1,0.9048005196445551
90,16,s1,0.7851457590702671
90,17,e0,0.3876034286280533
90,17,c0,0.36979135546394665
90,17,s0,0.09370574735094486
90,17,e1,0.670019323192786
90,17,c1,0.6521918765108067
90,17,s1,0.5849406709311978
90,18,e0,0.3985036912252886
90,18,c0,0.427247335631205
90,18,s0,0.1015186288392988
90,18,e1,0.8632512510528663
90,18,c1,0.9348566473800304
90,18,s1,0.7607305044191611
90,19,e0,0.3539117078729624
90,19,c0,0.28085579380553233
90,19,s0,0.06343083158357342
90,19,e1,0.30139226081355597
90,19,c1,0.29660491145379253
90,19,s1,0.06929049269983886
90,20,e0,0.3469751771292672
90,20,c0,0.3460006826777403
90,20,s0,0.04682845842082133
90,20,e1,0.6601099935589357
90,20,c1,0.7405988092524767
90,20,s1,0.5624786366521803
90,21,e0,0.2924738641430907
90,21,c0,0.18353915814382754
90,21,s0,0.03315591581620196
90,21,e1,0.4252588812366843
90,21,c1,0.4348359229004475
90,21,s1,0.11226134088578543
90,22,e0,0.32715651786156663
90,22,c0,0.38647931469363217
90,22,s0,0.10249523902534304
90,22,e1,0.9603626814645989
90,22,c1,0.9724582298333907
90,22,s1,0.870110845256116
90,23,e0,0.40742208789575385
90,23,c0,0.44209046513009514
90,23,s0,0.06831388251379462
90,23,e1,0.6561462617053956
90,23,c1,0.7775012054053407
90,23,s1,0.5048586356755701
90,24,e0,0.3103106574840212
90,24,c0,0.08955519307178339
90,24,s0,0.057571170467307975
90,24,e1,0.4787692612594758
90,24,c1,0.7534889488391953
90,24,s1,0.4101274476292787
90,25,e0,0.3519298419461923
90,25,c0,0.4467126233471007
90,25,s0,0.035109136188290445
90,25,e1,0.7562304910072833
90,25,c1,0.8140777986521414
90,25,s1,0.5419698227452513
