bottle,trial,propertyType,property
100,1,e0,0.9199545420856289
100,1,c0,0.7052201890755534
100,1,s0,0.7880859375
100,1,e1,1.0
100,1,c1,1.0
100,1,s1,1.0
100,2,e0,0.8072979716876251
100,2,c0,0.9806075926020383
100,2,s0,0.8291015625
100,2,e1,1.0
100,2,c1,1.0
100,2,s1,1.0
100,3,e0,0.9288484818538923
100,3,c0,0.9342099054220099
100,3,s0,0.6552734375
100,3,e1,1.0
100,3,c1,1.0
100,3,s1,1.0
100,4,e0,0.9318131284433134
100,4,c0,0.9343040521409745
100,4,s0,0.892578125
100,4,e1,1.0
100,4,c1,1.0
100,4,s1,1.0
100,5,e0,0.9436717148009981
100,5,c0,0.9924883860577502
100,5,s0,0.5283203125
100,5,e1,1.0
100,5,c1,1.0
100,5,s1,1.0
100,6,e0,0.9950589223509647
100,6,c0,0.990970330870533
100,6,s0,0.98828125
100,6,e1,1.0
100,6,c1,1.0
100,6,s1,1.0
100,7,e0,1.0
100,7,c0,1.0
100,7,s0,0.9892578125
100,7,e1,1.0
100,7,c1,1.0
100,7,s1,1.0
100,8,e0,0.864614472416434
100,8,c0,0.9307989672243555
100,8,s0,0.59375
100,8,e1,0.8488030239395212
100,8,c1,0.730480496722463
100,8,s1,0.8037109375
100,9,e0,0.9990117844701929
100,9,c0,1.0
100,9,s0,0.943359375
100,9,e1,0.9990117844701929
100,9,c1,0.9976759959844917
100,9,s1,0.9931640625
100,10,e0,0.9851767670528943
100,10,c0,0.9953519919689835
100,10,s0,0.9306640625
100,10,e1,1.0
100,10,c1,1.0
100,10,s1,1.0
100,11,e0,0.8596733947673988
100,11,c0,0.8987630907845833
100,11,s0,0.873046875
100,11,e1,1.0
100,11,c1,1.0
100,11,s1,0.99609375
100,12,e0,0.48612792450033354
100,12,c0,0.8549623688787549
100,12,s0,0.544921875
100,12,e1,1.0
100,12,c1,1.0
100,12,s1,1.0
100,13,e0,0.8557205326481706
100,13,c0,0.8776382297793388
100,13,s0,0.6904296875
100,13,e1,1.0
100,13,c1,1.0
100,13,s1,1.0
100,14,e0,0.9861649825827012
100,14,c0,0.9976759959844917
100,14,s0,0.9208984375
100,14,e1,0.9990117844701929
100,14,c1,1.0
100,14,s1,0.9990234375
100,15,e0,0.7806161523828347
100,15,c0,0.8490133274169492
100,15,s0,0.4228515625
100,15,e1,1.0
100,15,c1,1.0
100,15,s1,1.0
100,16,e0,0.669936013044445
100,16,c0,0.7840195081224325
100,16,s0,0.400390625
100,16,e1,1.0
100,16,c1,1.0
100,16,s1,0.998046875
100,17,e0,0.8922845072510315
100,17,c0,0.9881192065442882
100,17,s0,0.748046875
100,17,e1,0.9960471378807718
100,17,c1,0.9976759959844917
100,17,s1,0.99609375
100,18,e0,1.0
100,18,c0,1.0
100,18,s0,0.994140625
100,18,e1,0.8685673345356623
100,18,c1,0.9380553341083081
100,18,s1,0.8701171875
100,19,e0,0.9347777750327346
100,19,c0,0.9760445161613931
100,19,s0,0.767578125
100,19,e1,1.0
100,19,c1,1.0
100,19,s1,1.0
100,20,e0,0.42584677718210345
100,20,c0,0.7720797720797722
100,20,s0,0.5078125
100,20,e1,1.0
100,20,c1,1.0
100,20,s1,1.0
100,21,e0,1.0
100,21,c0,1.0
100,21,s0,0.890625
100,21,e1,1.0
100,21,c1,1.0
100,21,s1,1.0
100,22,e0,0.9239074042048571
100,22,c0,0.9867675127857812
100,22,s0,0.6552734375
100,22,e1,1.0
100,22,c1,1.0
100,22,s1,0.99609375
100,23,e0,0.9970353534105788
100,23,c0,1.0
100,23,s0,0.939453125
100,23,e1,1.0
100,23,c1,1.0
100,23,s1,1.0
100,24,e0,0.7954393853299404
100,24,c0,0.8445368438265379
100,24,s0,0.779296875
100,24,e1,1.0
100,24,c1,1.0
100,24,s1,1.0
100,25,e0,0.8567087481779776
100,25,c0,0.8949348574575866
100,25,s0,0.7490234375
100,25,e1,1.0
100,25,c1,1.0
100,25,s1,1.0
10,1,e0,0.15903763109191857
10,1,c0,-0.03448275862068969
10,1,s0,0.029296875
10,1,e1,0.15607649599012954
10,1,c1,0.15764327541594333
10,1,s1,0.0361328125
10,2,e0,0.09882788402220852
10,2,c0,-0.03448275862068969
10,2,s0,0.048828125
10,2,e1,0.1175817396668723
10,2,c1,-0.03448275862068969
10,2,s1,0.0205078125
10,3,e0,0.08698334361505243
10,3,c0,-0.03448275862068969
10,3,s0,0.04296875
10,3,e1,0.0919185687847008
10,3,c1,-0.03448275862068969
10,3,s1,0.02734375
10,4,e0,0.11462060456508329
10,4,c0,0.1514193319585373
10,4,s0,0.0390625
10,4,e1,0.16002467612584825
10,4,c1,0.06392421671927535
10,4,s1,0.025390625
10,5,e0,0.15903763109191857
10,5,c0,0.14421094948894944
10,5,s0,0.01953125
10,5,e1,0.08599629858112276
10,5,c1,-0.03448275862068969
10,5,s1,0.05859375
10,6,e0,0.14916718075262184
10,6,c0,0.20475608373510562
10,6,s0,0.0361328125
10,6,e1,0.18766193707587908
10,6,c1,0.12731501492902317
10,6,s1,0.029296875
10,7,e0,0.14423195558297347
10,7,c0,0.1258009535262899
10,7,s0,0.033203125
10,7,e1,0.19259716224552745
10,7,c1,0.19928140459325627
10,7,s1,0.0283203125
10,8,e0,0.1768044417026527
10,8,c0,-0.03448275862068969
10,8,s0,0.0380859375
10,8,e1,0.061320172732880936
10,8,c1,-0.03448275862068969
10,8,s1,0.0322265625
10,9,e0,0.15706354102405923
10,9,c0,-0.03448275862068969
10,9,s0,0.0341796875
10,9,e1,0.1136335595311536
10,9,c1,0.20738825124451452
10,9,s1,0.041015625
10,10,e0,0.11067242442936459
10,10,c0,-0.03448275862068969
10,10,s0,0.0380859375
10,10,e1,0.20345465761875386
10,10,c1,0.10233756022238889
10,10,s1,0.033203125
10,11,e0,0.1392967304133251
10,11,c0,-0.03448275862068969
10,11,s0,0.044921875
10,11,e1,0.18272671190623072
10,11,c1,0.08846041667577222
10,11,s1,0.0439453125
10,12,e0,0.12449105490438002
10,12,c0,-0.03448275862068969
10,12,s0,0.0673828125
10,12,e1,0.1067242442936459
10,12,c1,-0.03448275862068969
10,12,s1,0.0322265625
10,13,e0,0.15805058605798888
10,13,c0,-0.03448275862068969
10,13,s0,0.0166015625
10,13,e1,0.16693399136335596
10,13,c1,0.14220979798702565
10,13,s1,0.0205078125
10,14,e0,0.14818013571869215
10,14,c0,0.017562268231587217
10,14,s0,0.0419921875
10,14,e1,0.13041332510795806
10,14,c1,0.08045977011494247
10,14,s1,0.0263671875
10,15,e0,0.1402837754472548
10,15,c0,-0.03448275862068969
10,15,s0,0.02734375
10,15,e1,0.17384330660086367
10,15,c1,0.18601617650925814
10,15,s1,0.0361328125
10,16,e0,0.08797038864898211
10,16,c0,-0.03448275862068969
10,16,s0,0.0537109375
10,16,e1,0.13633559531153608
10,16,c1,0.12386808905034236
10,16,s1,0.0537109375
10,17,e0,0.12843923504009871
10,17,c0,0.24123818980463912
10,17,s0,0.048828125
10,17,e1,0.12054287476866132
10,17,c1,0.1298326789133591
10,17,s1,0.033203125
10,18,e0,0.12449105490438002
10,18,c0,0.031168905377881924
10,18,s0,0.03125
10,18,e1,0.1432449105490438
10,18,c1,-0.03448275862068969
10,18,s1,0.021484375
10,19,e0,0.121529919802591
10,19,c0,-0.03448275862068969
10,19,s0,0.0244140625
10,19,e1,0.12449105490438002
10,19,c1,-0.03448275862068969
10,19,s1,0.0224609375
10,20,e0,0.09586674892041949
10,20,c0,-0.03448275862068969
10,20,s0,0.0859375
10,20,e1,0.18075262183837137
10,20,c1,0.12259696843451352
10,20,s1,0.02734375
10,21,e0,0.08895743368291179
10,21,c0,-0.03448275862068969
10,21,s0,0.056640625
10,21,e1,0.121529919802591
10,21,c1,-0.03448275862068969
10,21,s1,0.0380859375
10,22,e0,0.20345465761875386
10,22,c0,0.19802392647977518
10,22,s0,0.0244140625
10,22,e1,0.1392967304133251
10,22,c1,0.027504725220851605
10,22,s1,0.0361328125
10,23,e0,0.1541024059222702
10,23,c0,-0.03448275862068969
10,23,s0,0.033203125
10,23,e1,0.13534855027760642
10,23,c1,-0.03448275862068969
10,23,s1,0.04296875
10,24,e0,0.1689080814312153
10,24,c0,0.1675345120313501
10,24,s0,0.0146484375
10,24,e1,0.23898827884022208
10,24,c1,0.05191701015290053
10,24,s1,0.017578125
10,25,e0,0.1610117211597779
10,25,c0,-0.03448275862068969
10,25,s0,0.0126953125
10,25,e1,0.12350400987045033
10,25,c1,-0.03682679715357306
10,25,s1,0.033203125
110,1,e0,0.9990111492917357
110,1,c0,1.0
110,1,s0,0.9130859375
110,1,e1,1.0
110,1,c1,1.0
110,1,s1,1.0
110,2,e0,0.7122444438950829
110,2,c0,0.7924036533571195
110,2,s0,0.466796875
110,2,e1,1.0
110,2,c1,1.0
110,2,s1,1.0
110,3,e0,1.0
110,3,c0,1.0
110,3,s0,0.982421875
110,3,e1,1.0
110,3,c1,1.0
110,3,s1,1.0
110,4,e0,0.9970334478752071
110,4,c0,0.9957736955582954
110,4,s0,0.9052734375
110,4,e1,1.0
110,4,c1,1.0
110,4,s1,1.0
110,5,e0,0.9337470025462906
110,5,c0,0.9383316840927807
110,5,s0,0.8369140625
110,5,e1,1.0
110,5,c1,1.0
110,5,s1,1.0
110,6,e0,0.49370843736866826
110,6,c0,0.6561604584527221
110,6,s0,0.9677734375
110,6,e1,1.0
110,6,c1,1.0
110,6,s1,1.0
110,7,e0,0.9525351660033127
110,7,c0,0.9798653290271712
110,7,s0,0.8193359375
110,7,e1,1.0
110,7,c1,1.0
110,7,s1,1.0
110,8,e0,0.7606981286000346
110,8,c0,0.7490320167827593
110,8,s0,0.681640625
110,8,e1,1.0
110,8,c1,1.0
110,8,s1,0.9990234375
110,9,e0,1.0
110,9,c0,1.0
110,9,s0,1.0
110,9,e1,1.0
110,9,c1,1.0
110,9,s1,1.0
110,10,e0,0.7982744555140787
110,10,c0,0.9727246817972451
110,10,s0,0.65625
110,10,e1,1.0
110,10,c1,1.0
110,10,s1,1.0
110,11,e0,0.9060591827148896
110,11,c0,0.8950936376336921
110,11,s0,0.6787109375
110,11,e1,1.0
110,11,c1,1.0
110,11,s1,1.0
110,12,e0,0.7646535314330919
110,12,c0,0.8324903444267001
110,12,s0,0.814453125
110,12,e1,1.0
110,12,c1,1.0
110,12,s1,1.0
110,13,e0,0.9950557464586784
110,13,c0,0.9924453395595139
110,13,s0,0.9609375
110,13,e1,1.0
110,13,c1,1.0
110,13,s1,1.0
110,14,e0,0.8684828558008455
110,14,c0,0.9276016979982923
110,14,s0,0.6337890625
110,14,e1,1.0
110,14,c1,1.0
110,14,s1,1.0
110,15,e0,0.950557464586784
110,15,c0,0.9880511217680377
110,15,s0,0.6845703125
110,15,e1,0.9772564337099207
110,15,c1,0.9683512715975118
110,15,s1,0.8134765625
110,16,e0,1.0
110,16,c0,1.0
110,16,s0,0.9853515625
110,16,e1,1.0
110,16,c1,1.0
110,16,s1,1.0
110,17,e0,1.0
110,17,c0,1.0
110,17,s0,0.8251953125
110,17,e1,1.0
110,17,c1,1.0
110,17,s1,1.0
110,18,e0,0.7745420385157351
110,18,c0,0.8156006695843523
110,18,s0,0.7294921875
110,18,e1,1.0
110,18,c1,1.0
110,18,s1,1.0
110,19,e0,0.898148377048775
110,19,c0,0.985373357737545
110,19,s0,0.4375
110,19,e1,1.0
110,19,c1,1.0
110,19,s1,1.0
110,20,e0,0.659835356357074
110,20,c0,0.8648780768761322
110,20,s0,0.4951171875
110,20,e1,1.0
110,20,c1,1.0
110,20,s1,1.0
110,21,e0,0.9822006872512422
110,21,c0,0.9957736955582954
110,21,s0,0.826171875
110,21,e1,1.0
110,21,c1,1.0
110,21,s1,0.9990234375
110,22,e0,0.7883859484314356
110,22,c0,0.8005935984005509
110,22,s0,0.806640625
110,22,e1,1.0
110,22,c1,1.0
110,22,s1,1.0
110,23,e0,1.0
110,23,c0,1.0
110,23,s0,0.8935546875
110,23,e1,1.0
110,23,c1,1.0
110,23,s1,1.0
110,24,e0,0.8160737682628365
110,24,c0,0.7826819120142375
110,24,s0,0.27734375
110,24,e1,1.0
110,24,c1,1.0
110,24,s1,1.0
110,25,e0,0.8388173345529158
110,25,c0,0.7261951219328897
110,25,s0,0.6845703125
110,25,e1,1.0
110,25,c1,1.0
110,25,s1,1.0
120,1,e0,0.8733112287821052
120,1,c0,0.9703732889063165
120,1,s0,0.2099201097877763
120,1,e1,1.0
120,1,c1,1.0
120,1,s1,1.0
120,2,e0,0.6248824664720146
120,2,c0,0.6447306712602567
120,2,s0,0.4902710385727589
120,2,e1,1.0
120,2,c1,1.0
120,2,s1,1.0
120,3,e0,0.869352204681546
120,3,c0,0.9305437201660584
120,3,s0,0.846101063569083
120,3,e1,1.0
120,3,c1,1.0
120,3,s1,1.0
120,4,e0,0.9455634186173109
120,4,c0,0.9867675127857812
120,4,s0,0.8676665196294663
120,4,e1,1.0
120,4,c1,1.0
120,4,s1,1.0
120,5,e0,0.7822536744692433
120,5,c0,0.9881192065442883
120,5,s0,0.8039503994510611
120,5,e1,1.0
120,5,c1,1.0
120,5,s1,0.9813752879478508
120,6,e0,1.0
120,6,c0,1.0
120,6,s0,0.9568690878792334
120,6,e1,1.0
120,6,c1,1.0
120,6,s1,1.0
120,7,e0,0.6377492947988321
120,7,c0,0.8752659640677736
120,7,s0,0.650051463020144
120,7,e1,0.889147325184342
120,7,c1,0.9327622520241267
120,7,s1,0.9666715679066804
120,8,e0,0.995051219874301
120,8,c0,0.994088209391625
120,8,s0,0.7118070871930599
120,8,e1,1.0
120,8,c1,1.0
120,8,s1,1.0
120,9,e0,0.7090117286088979
120,9,c0,0.7386496984246795
120,9,s0,0.33441160613635246
120,9,e1,1.0
120,9,c1,1.0
120,9,s1,1.0
120,10,e0,0.9623892710446875
120,10,c0,0.9749742671574095
120,10,s0,0.6069205508993776
120,10,e1,1.0
120,10,c1,1.0
120,10,s1,1.0
120,11,e0,0.8228336714999752
120,11,c0,0.8534443477075496
120,11,s0,0.6049600548938882
120,11,e1,0.9990102439748602
120,11,c1,1.0
120,11,s1,0.9990197519972553
120,12,e0,0.8376800118770723
120,12,c0,0.8984269206487082
120,12,s0,0.8059108954565505
120,12,e1,1.0
120,12,c1,1.0
120,12,s1,1.0
120,13,e0,0.859454644430148
120,13,c0,0.917021739274182
120,13,s0,0.8372788315443808
120,13,e1,1.0
120,13,c1,1.0
120,13,s1,1.0
120,14,e0,0.7971000148463404
120,14,c0,0.4987446810996863
120,14,s0,0.8588442876047641
120,14,e1,1.0
120,14,c1,1.0
120,14,s1,1.0
120,15,e0,0.8436185480279111
120,15,c0,0.8004968724051018
120,15,s0,0.7147478312012939
120,15,e1,1.0
120,15,c1,1.0
120,15,s1,1.0
120,16,e0,1.0
120,16,c0,1.0
120,16,s0,0.9892172719698084
120,16,e1,0.9980204879497204
120,16,c1,1.0
120,16,s1,0.9980395039945106
120,17,e0,0.6902063641312417
120,17,c0,0.7865325997144743
120,17,s0,0.8196343674949762
120,17,e1,1.0
120,17,c1,1.0
120,17,s1,0.9990197519972553
120,18,e0,1.0
120,18,c0,1.0
120,18,s0,0.9784345439396167
120,18,e1,1.0
120,18,c1,1.0
120,18,s1,1.0
120,19,e0,0.6743702677290048
120,19,c0,0.7516458798408056
120,19,s0,0.49615252658922704
120,19,e1,1.0
120,19,c1,1.0
120,19,s1,1.0
120,20,e0,1.0
120,20,c0,1.0
120,20,s0,0.9990197519972553
120,20,e1,1.0
120,20,c1,1.0
120,20,s1,1.0
120,21,e0,0.738704409363092
120,21,c0,0.8373042637548755
120,21,s0,0.6088810469048669
120,21,e1,1.0
120,21,c1,1.0
120,21,s1,1.0
120,22,e0,0.990102439748602
120,22,c0,0.9854567004284993
120,22,s0,0.9255011517914032
120,22,e1,1.0
120,22,c1,1.0
120,22,s1,1.0
120,23,e0,0.8475775721284703
120,23,c0,0.978163893583935
120,23,s0,0.7510170073028476
120,23,e1,1.0
120,23,c1,1.0
120,23,s1,1.0
120,24,e0,0.8119463552234374
120,24,c0,0.7941772966732338
120,24,s0,0.8519825515855511
120,24,e1,1.0
120,24,c1,1.0
120,24,s1,1.0
120,25,e0,0.7466224575642104
120,25,c0,0.7406886747077001
120,25,s0,0.4775278145370779
120,25,e1,1.0
120,25,c1,1.0
120,25,s1,1.0
130,1,e0,0.9308009786718731
