reflection,trial,propertyType,property
275,1,e0,0.9881510738089361
275,1,c0,1.0
275,1,s0,0.7685094745067396
275,1,e1,1.0
275,1,c1,1.0
275,1,s1,1.0
275,2,e0,0.993088126388546
275,2,c0,0.9908662424655824
275,2,s0,0.8700918148075796
275,2,e1,1.0
275,2,c1,1.0
275,2,s1,1.0
275,3,e0,0.993088126388546
275,3,c0,0.9900510031608847
275,3,s0,0.7939050595819496
275,3,e1,1.0
275,3,c1,1.0
275,3,s1,1.0
275,4,e0,0.8528758331276228
275,4,c0,0.904926499355339
275,4,s0,0.6757179136550108
275,4,e1,0.99506294742039
275,4,c1,1.0
275,4,s1,0.9863254541902715
275,5,e0,0.9861762527770921
275,5,c0,0.9940200619494536
275,5,s0,0.7860910334049619
275,5,e1,1.0
275,5,c1,1.0
275,5,s1,0.9970697401836296
275,6,e0,0.8953344853122686
275,6,c0,0.9544996731619446
275,6,s0,0.824184411017777
275,6,e1,1.0
275,6,c1,1.0
275,6,s1,0.9970697401836296
275,7,e0,0.7798074549493952
275,7,c0,0.7933821632964159
275,7,s0,0.7558116819691346
275,7,e1,0.999012589484078
275,7,c1,0.9976492063128432
275,7,s1,0.9990232467278766
275,8,e0,0.8538632436435448
275,8,c0,0.9218536984608285
275,8,s0,0.7899980464934557
275,8,e1,0.9901258948407801
275,8,c1,0.9897693984043386
275,8,s1,0.9902324672787653
275,9,e0,0.7531473710195014
275,9,c0,0.8147887096166424
275,9,s0,0.6796249267435046
275,9,e1,1.0
275,9,c1,1.0
275,9,s1,1.0
275,10,e0,0.9605035793631203
275,10,c0,0.9976492063128432
275,10,s0,0.6288337565930846
275,10,e1,1.0
275,10,c1,1.0
275,10,s1,1.0
275,11,e0,0.9397679585287584
275,11,c0,0.9229348985877927
275,11,s0,0.48329751904668883
275,11,e1,1.0
275,11,c1,1.0
275,11,s1,0.9990232467278766
275,12,e0,0.9605035793631203
275,12,c0,0.955130656433566
275,12,s0,0.8925571400664192
275,12,e1,1.0
275,12,c1,1.0
275,12,s1,0.9960929869115062
275,13,e0,0.9911133053567021
275,13,c0,0.983731588607753
275,13,s0,0.8505567493651104
275,13,e1,0.8538632436435448
275,13,c1,0.9234197695542667
275,13,s1,0.845672983004493
275,14,e0,0.9822266107134041
275,14,c0,0.9746830111736294
275,14,s0,0.9775346747411604
275,14,e1,1.0
275,14,c1,1.0
275,14,s1,0.998046493455753
275,15,e0,0.99506294742039
275,15,c0,0.9900510031608847
275,15,s0,0.9228364915022466
275,15,e1,1.0
275,15,c1,1.0
275,15,s1,1.0
275,16,e0,0.9111330535670205
275,16,c0,0.9592314693336379
275,16,s0,0.6581363547567884
275,16,e1,1.0
275,16,c1,1.0
275,16,s1,1.0
275,17,e0,0.9042211799555665
275,17,c0,0.9755383644394792
275,17,s0,0.5868333658917757
275,17,e1,0.8736114539619847
275,17,c1,0.9139136276954113
275,17,s1,0.8720453213518266
275,18,e0,0.6889656874845718
275,18,c0,0.7259896429888625
275,18,s0,0.49990232467278767
275,18,e1,1.0
275,18,c1,1.0
275,18,s1,1.0
275,19,e0,0.6573685509750679
275,19,c0,0.693862351306387
275,19,s0,0.6972064856417269
275,19,e1,0.99506294742039
275,19,c1,0.9976492063128432
275,19,s1,0.9951162336393827
275,20,e0,0.833127622809183
275,20,c0,0.9283859630907414
275,20,s0,0.5839031060754053
275,20,e1,1.0
275,20,c1,1.0
275,20,s1,1.0
275,21,e0,0.9259442113058504
275,21,c0,0.9766659800709977
275,21,s0,0.6981832389138504
275,21,e1,1.0
275,21,c1,1.0
275,21,s1,0.9658136354756789
275,22,e0,0.7699333497901752
275,22,c0,0.6970090903029693
275,22,s0,0.642508302402813
275,22,e1,0.999012589484078
275,22,c1,0.9976492063128432
275,22,s1,0.9990232467278766
275,23,e0,1.0
275,23,c0,1.0
275,23,s0,0.9990232467278766
275,23,e1,1.0
275,23,c1,1.0
275,23,s1,0.9951162336393827
275,24,e0,0.994075536904468
275,24,c0,0.9933985427677285
275,24,s0,0.9775346747411604
275,24,e1,0.997037768452234
275,24,c1,1.0
275,24,s1,0.9970697401836296
275,25,e0,0.5112317946186127
275,25,c0,0.8356118082008965
275,25,s0,0.5311584293807384
275,25,e1,0.999012589484078
275,25,c1,1.0
275,25,s1,0.9990232467278766
