reflection,trial,propertyType,property
400,1,e0,0.8362919132149902
400,1,c0,0.8372173534766847
400,1,s0,0.6494140625
400,1,e1,1.0
400,1,c1,1.0
400,1,s1,0.9990234375
400,2,e0,1.0
400,2,c0,1.0
400,2,s0,0.9921875
400,2,e1,1.0
400,2,c1,1.0
400,2,s1,1.0
400,3,e0,0.9043392504930966
400,3,c0,0.9240584123988933
400,3,s0,0.6328125
400,3,e1,1.0
400,3,c1,1.0
400,3,s1,1.0
400,4,e0,1.0
400,4,c0,1.0
400,4,s0,0.9931640625
400,4,e1,1.0
400,4,c1,1.0
400,4,s1,1.0
400,5,e0,0.9930966469428008
400,5,c0,0.9886463268550247
400,5,s0,0.86328125
400,5,e1,1.0
400,5,c1,1.0
400,5,s1,1.0
400,6,e0,0.9990138067061144
400,6,c0,1.0
400,6,s0,0.9189453125
400,6,e1,1.0
400,6,c1,1.0
400,6,s1,1.0
400,7,e0,0.9358974358974359
400,7,c0,0.9429355611041002
400,7,s0,0.5498046875
400,7,e1,0.9990138067061144
400,7,c1,0.9976759959844917
400,7,s1,0.9990234375
400,8,e0,0.9812623274161736
400,8,c0,1.0
400,8,s0,0.8310546875
400,8,e1,1.0
400,8,c1,1.0
400,8,s1,1.0
400,9,e0,1.0
400,9,c0,1.0
400,9,s0,0.9619140625
400,9,e1,1.0
400,9,c1,1.0
400,9,s1,1.0
400,10,e0,0.9773175542406312
400,10,c0,0.9829406631044805
400,10,s0,0.865234375
400,10,e1,1.0
400,10,c1,1.0
400,10,s1,1.0
400,11,e0,0.9990138067061144
400,11,c0,1.0
400,11,s0,0.9345703125
400,11,e1,1.0
400,11,c1,1.0
400,11,s1,1.0
400,12,e0,0.772189349112426
400,12,c0,0.7890027272653778
400,12,s0,0.5029296875
400,12,e1,0.9990138067061144
400,12,c1,1.0
400,12,s1,0.9990234375
400,13,e0,0.6548323471400395
400,13,c0,0.8455529257649755
400,13,s0,0.3134765625
400,13,e1,1.0
400,13,c1,1.0
400,13,s1,1.0
400,14,e0,1.0
400,14,c0,1.0
400,14,s0,0.978515625
400,14,e1,0.6775147928994083
400,14,c1,0.9059924772447575
400,14,s1,0.6513671875
400,15,e0,0.9930966469428008
400,15,c0,0.9957977770650858
400,15,s0,0.9697265625
400,15,e1,1.0
400,15,c1,1.0
400,15,s1,1.0
400,16,e0,0.9694280078895463
400,16,c0,0.9633234014269714
400,16,s0,0.9189453125
400,16,e1,1.0
400,16,c1,1.0
400,16,s1,1.0
400,17,e0,0.7504930966469427
400,17,c0,0.8848473919568145
400,17,s0,0.5517578125
400,17,e1,0.9901380670611439
400,17,c1,0.9957977770650858
400,17,s1,0.9140625
400,18,e0,0.7435897435897436
400,18,c0,0.8148574701842835
400,18,s0,0.78515625
400,18,e1,1.0
400,18,c1,1.0
400,18,s1,1.0
400,19,e0,0.7869822485207101
400,19,c0,0.9240997161366263
400,19,s0,0.4755859375
400,19,e1,0.9990138067061144
400,19,c1,1.0
400,19,s1,0.9990234375
400,20,e0,0.9773175542406312
400,20,c0,0.9865765954493751
400,20,s0,0.8603515625
400,20,e1,1.0
400,20,c1,1.0
400,20,s1,1.0
400,21,e0,0.9990138067061144
400,21,c0,1.0
400,21,s0,0.9306640625
400,21,e1,1.0
400,21,c1,1.0
400,21,s1,0.9970703125
400,22,e0,0.8954635108481263
400,22,c0,0.7558613427682798
400,22,s0,0.3544921875
400,22,e1,1.0
400,22,c1,1.0
400,22,s1,1.0
400,23,e0,0.9723865877712031
400,23,c0,1.0
400,23,s0,0.580078125
400,23,e1,0.9970414201183432
400,23,c1,0.9940882093916249
400,23,s1,0.9970703125
400,24,e0,1.0
400,24,c0,1.0
400,24,s0,0.998046875
400,24,e1,0.995069033530572
400,24,c1,0.990970330870533
400,24,s1,0.9951171875
400,25,e0,0.6775147928994083
400,25,c0,0.8748549376398119
400,25,s0,0.505859375
400,25,e1,1.0
400,25,c1,1.0
400,25,s1,1.0
