reflection,trial,propertyType,property
680,9,s1,0.98602294921875
680,9,s0,0.9250640869140625
680,9,e1,0.9920411507640533
680,9,e0,0.9727016054037684
680,9,c1,0.9947876440974551
680,9,c0,0.9777870351202412
680,8,s1,0.700958251953125
680,8,s0,0.36639404296875
680,8,e1,0.9896122505173824
680,8,e0,0.5301834774442623
680,8,c1,0.987289956043199
680,8,c0,0.9147655195291614
680,7,s1,0.9904632568359375
680,7,s0,0.872467041015625
680,7,e1,0.9939201113322327
680,7,e0,0.9080836931810153
680,7,c1,0.9961432195865779
680,7,c0,0.9747224796774997
680,6,s1,0.9724884033203125
680,6,s0,0.7899322509765625
680,6,e1,0.9992972992997052
680,6,e0,0.5431528881953538
680,6,c1,0.9993597710226592
680,6,c0,0.8771044367303459
680,5,s1,0.9927215576171875
680,5,s0,0.794830322265625
680,5,e1,0.9975252714467882
680,5,e0,0.8632788854861371
680,5,c1,0.9975628123842377
680,5,c0,0.951022444622946
680,4,s1,0.9953765869140625
680,4,s0,0.63958740234375
680,4,e1,0.9991750904822627
680,4,e0,0.6681572323369114
680,4,c1,0.9993137429195172
680,4,c0,0.9188137580553616
680,3,s1,0.702789306640625
680,3,s0,0.6786956787109375
680,3,e1,0.9783384871083064
680,3,e0,0.6509716173840515
680,3,c1,0.990456073609103
680,3,c0,0.9040472554856247
680,2,s1,0.82122802734375
680,2,s0,0.4047698974609375
680,2,e1,0.9939964918431343
680,2,e0,0.6995037940109278
680,2,c1,0.9940037373030195
680,2,c0,0.8910746628024999
680,25,s1,0.980224609375
680,25,s0,0.7888031005859375
680,25,e1,0.9959365568200349
680,25,e0,0.9033022731985751
680,25,c1,0.9968314018808142
680,25,c0,0.9471005144734901
680,24,s1,0.93408203125
680,24,s0,0.7264404296875
680,24,e1,0.9930952018144954
680,24,e0,0.6441890280159895
680,24,c1,0.9949755380152098
680,24,c0,0.8029114481360538
680,23,s1,0.9798126220703125
680,23,s0,0.535919189453125
680,23,e1,0.9959212807178546
680,23,e0,0.6301961184188165
680,23,c1,0.9985236085757618
680,23,c0,0.9091194894361051
680,22,s1,0.9424285888671875
680,22,s0,0.8942718505859375
680,22,e1,0.4930931013504456
680,22,e0,0.4971565445304107
680,22,c1,0.04273504273504272
680,22,c0,0.1794871794871795
680,21,s1,0.8544158935546875
680,21,s0,0.9458160400390625
680,21,e1,0.8647759434998085
680,21,e0,0.985151628680729
680,21,c1,0.9412113314987504
680,21,c0,0.9898452952025963
680,20,s1,0.9888916015625
680,20,s0,0.38995361328125
680,20,e1,0.9938131786169705
680,20,e0,0.4140698247716509
680,20,c1,0.9955447186876407
680,20,c0,0.8823643129677997
680,1,s1,0.585723876953125
680,1,s0,0.5322418212890625
680,1,e1,0.7556129173192426
680,1,e0,0.7945517017768781
680,1,c1,0.8621668377665727
680,1,c0,0.8860657068261497
680,19,s1,0.995941162109375
680,19,s0,0.84661865234375
680,19,e1,0.9987626357233941
680,19,e0,0.9922244639902171
680,19,c1,0.9989982950349025
680,19,c0,0.9944135586064219
680,18,s1,0.986328125
680,18,s0,0.9181976318359375
680,18,e1,0.991307897859398
680,18,e0,0.9981210394318206
680,18,c1,0.9959890929852243
680,18,c0,0.997501618759148
680,17,s1,0.9935150146484375
680,17,s0,0.714263916015625
680,17,e1,0.9936756936973475
680,17,e0,0.8522189875075855
680,17,c1,0.9946346966983971
680,17,c0,0.9164792546927376
680,16,s1,0.9862823486328125
680,16,s0,0.547027587890625
680,16,e1,0.9965476009072477
680,16,e0,0.9494208256809609
680,16,c1,0.9977249482810118
680,16,c0,0.9954679363131305
680,15,s1,0.9820709228515625
680,15,s0,0.9751129150390625
680,15,e1,0.9903607795242182
680,15,e0,0.9981821438405419
680,15,c1,0.9929344542288957
680,15,c0,0.998701418990267
680,14,s1,0.97479248046875
680,14,s0,0.9112701416015625
680,14,e1,0.9962726310680019
680,14,e0,0.9752985427744227
680,14,c1,0.9974443178741959
680,14,c0,0.9798175106923233
680,13,s1,0.8638458251953125
680,13,s0,0.424468994140625
680,13,e1,0.8859638972239121
680,13,e0,0.9294396840291025
680,13,c1,0.9170452688662843
680,13,c0,0.9576142242246145
680,12,s1,0.421630859375
680,12,s0,0.89654541015625
680,12,e1,0.9827991089449598
680,12,e0,0.9951116473022976
680,12,c1,0.987442938631507
680,12,c0,0.9965462213344657
680,11,s1,0.9959716796875
680,11,s0,0.8809967041015625
680,11,e1,0.9973572343228047
680,11,e0,0.9894747655977596
680,11,c1,0.9972060285971652
680,11,c0,0.9893325570251883
680,10,s1,0.9957427978515625
680,10,s0,0.9564666748046875
680,10,e1,0.9981210394318206
680,10,e0,0.9947755730543306
680,10,c1,0.9988656623815526
680,10,c0,0.9948579525751609
640,9,s1,0.5879974365234375
640,9,s0,0.8974761962890625
640,9,e1,0.8473401367142007
640,9,e0,0.9829393629524524
640,9,c1,0.9320827627948073
640,9,c0,0.9847913297241288
640,8,s1,0.9771728515625
640,8,s0,0.9032440185546875
640,8,e1,0.9938600034976597
640,8,e0,0.9870174203308725
640,8,c1,0.9941497448438004
640,8,c0,0.9918637058199318
640,7,s1,0.7266998291015625
640,7,s0,0.313995361328125
640,7,e1,0.7545376025146493
640,7,e0,0.4050618314448771
640,7,c1,0.8668938265031022
640,7,c0,0.795201600226999
640,6,s1,0.6035614013671875
640,6,s0,0.9606170654296875
640,6,e1,0.6637511865695976
640,6,e0,0.9974034840661745
640,6,c1,0.8445741069039104
640,6,c0,0.9985472013846506
640,5,s1,0.9692840576171875
640,5,s0,0.4750823974609375
640,5,e1,0.9714383247279195
640,5,e0,0.7382406466241093
640,5,c1,0.9758578453363402
640,5,c0,0.8473557710636972
640,4,s1,0.8705291748046875
640,4,s0,0.320709228515625
640,4,e1,0.9926533872695879
640,4,e0,0.9551413688373794
640,4,c1,0.9935961039278907
640,4,c0,0.9707522471418962
640,3,s1,0.9202728271484375
640,3,s0,0.865142822265625
640,3,e1,0.9994654231900948
640,3,e0,0.5039738149004885
640,3,c1,0.9992909893604721
640,3,c0,0.9704419972154664
640,2,s1,0.7557830810546875
640,2,s0,0.9546661376953125
640,2,e1,0.7737670940480982
640,2,e0,0.9892473693093344
640,2,c1,0.8760516704708959
640,2,c0,0.9902270088452249
640,25,s1,0.585968017578125
640,25,s0,0.4486541748046875
640,25,e1,0.6804452566617817
640,25,e0,0.561753931239676
640,25,c1,0.7713607741910983
640,25,c0,0.8194259320896896
640,24,s1,0.9829559326171875
640,24,s0,0.5001068115234375
640,24,e1,0.9952651768265535
640,24,e0,0.5667025851370846
640,24,c1,0.9955972824159912
640,24,c0,0.8499467806763323
640,23,s1,0.7360687255859375
640,23,s0,0.2296905517578125
640,23,e1,0.9866050325060884
640,23,e0,0.5361858861030648
640,23,c1,0.9885365479872076
640,23,c0,0.7655694406817511
640,22,s1,0.912384033203125
640,22,s0,0.773101806640625
640,22,e1,0.9756232974683205
640,22,e0,0.8641411221683657
640,22,c1,0.988039116421904
640,22,c0,0.9247206985421237
640,21,s1,0.99249267578125
640,21,s0,0.719207763671875
640,21,e1,0.9979380608760797
640,21,e0,0.7227226455137169
640,21,c1,0.9986271975317774
640,21,c0,0.9121948119638138
640,20,s1,0.986480712890625
640,20,s0,0.616302490234375
640,20,e1,0.9909121942316107
640,20,e0,0.44164215886553637
640,20,c1,0.993132203607112
640,20,c0,0.7651029000874285
640,1,s1,0.855438232421875
640,1,s0,0.7412567138671875
640,1,e1,0.9937225408893984
640,1,e0,0.7791586830165711
640,1,c1,0.9934920293730077
640,1,c0,0.8474471032232818
640,19,s1,0.947906494140625
640,19,s0,0.6265869140625
640,19,e1,0.9954942811736558
640,19,e0,0.6367168736115322
640,19,c1,0.9960705975674147
640,19,c0,0.8870496520198238
640,18,s1,0.926116943359375
640,18,s0,0.5579376220703125
640,18,e1,0.9957692063901784
640,18,e0,0.9678337496668441
640,18,c1,0.9967058110831027
640,18,c0,0.9707413962252163
640,17,s1,0.6618194580078125
640,17,s0,0.717041015625
640,17,e1,0.7254260768095234
640,17,e0,0.9809079710748125
640,17,c1,0.8759972629439965
640,17,c0,0.9892524211531425
640,16,s1,0.9505462646484375
640,16,s0,0.9430084228515625
640,16,e1,0.9565770894125536
640,16,e0,0.997464578558735
640,16,c1,0.9774715719235157
640,16,c0,0.9979668534380947
640,15,s1,0.8845367431640625
640,15,s0,0.8511505126953125
640,15,e1,0.9830157310681532
640,15,e0,0.4926713337767775
640,15,c1,0.9859894987764706
640,15,c0,0.9190797309340213
640,14,s1,0.9937896728515625
640,14,s0,0.4594879150390625
640,14,e1,0.9982740805851631
640,14,e0,0.9067239834831039
640,14,c1,0.9991929626561111
640,14,c0,0.9481313567579414
640,13,s1,0.98492431640625
640,13,s0,0.30767822265625
640,13,e1,0.996135773345542
640,13,e0,0.9472143584276416
640,13,c1,0.9969520621110002
640,13,c0,0.9630025283206144
640,12,s1,0.9898529052734375
640,12,s0,0.893035888671875
640,12,e1,0.9990072144958903
640,12,e0,0.7203399603038535
640,12,c1,0.9987966053056914
640,12,c0,0.8459921949649158
640,11,s1,0.980316162109375
640,11,s0,0.6128082275390625
640,11,e1,0.9874603554019369
640,11,e0,0.8163346817396963
640,11,c1,0.990808219711618
640,11,c0,0.8715819880306666
640,10,s1,0.9864349365234375
