aut,trial,propertyType,property
1,1,e0,0.34478625649220934
1,1,c0,0.19924362444791463
1,1,s0,0.12889239258967286
1,1,e1,0.35677187375149816
1,1,c1,0.15757814811850315
1,1,s1,0.11312573906188411
2,1,e0,0.4007191370355573
2,1,c0,0.058958652915597515
2,1,s0,0.1604256996452503
2,1,e1,0.41270475429484615
2,1,c1,0.37058131414836554
2,1,s1,0.21166732361056367
3,1,e0,0.3767479025169796
3,1,c0,0.10201805301802341
3,1,s0,0.12495072920772567
3,1,e1,0.48062325209748297
3,1,c1,0.27350038720131026
3,1,s1,0.23531730390224678
4,1,e0,0.44067119456652015
4,1,c0,0.26659437077804615
4,1,s0,0.10918407567993693
4,1,e1,0.5205753096284459
4,1,c1,0.39631649813267855
4,1,s1,0.3023255813953489
5,1,e0,0.4326807830603276
5,1,c0,0.2453667168230301
5,1,s0,0.22349231375640521
5,1,e1,0.7922493008389933
5,1,c1,0.7968429830574543
5,1,s1,0.6491919590067008
6,1,e0,0.8921294446664003
6,1,c0,0.8682317469716146
6,1,s0,0.759558533701222
6,1,e1,0.8721534159009189
6,1,c1,0.893295538154528
6,1,s1,0.8817500985415846
7,1,e0,0.5405513383939273
7,1,c0,0.5340694975126028
7,1,s0,0.28655892786756015
7,1,e1,0.9880143827407112
7,1,c1,0.9728314197540282
7,1,s1,0.9763500197083169
8,1,e0,0.5525369556532161
8,1,c0,0.2972795939509287
8,1,s0,0.24714229404808832
8,1,e1,0.676388333999201
8,1,c1,0.7233257751145946
8,1,s1,0.36539219550650376
9,1,e0,0.5205753096284459
9,1,c0,0.2745142835678792
9,1,s0,0.11312573906188411
9,1,e1,0.9960047942469037
9,1,c1,0.9901620280084714
9,1,s1,0.9921166732361056
10,1,e0,0.7642828605673192
10,1,c0,0.7767684502954478
10,1,s0,0.5821836815135987
10,1,e1,0.9880143827407112
10,1,c1,0.9728314197540282
10,1,s1,0.9921166732361056
11,1,e0,0.9800239712345186
11,1,c0,0.9826693917455568
11,1,s0,0.8778084351596374
11,1,e1,0.9800239712345186
11,1,c1,0.9760703394180555
11,1,s1,0.9014584154513204
12,1,e0,1.0
12,1,c0,1.0
12,1,s0,0.9921166732361056
12,1,e1,1.0
12,1,c1,1.0
12,1,s1,1.0
13,1,e0,0.888134238913304
