generation,trial,propertyType,property
50,-1,m,-1.0
1,1,e,0.06630984240261674
1,1,c,0.08133264674524517
1,1,s,0.20594562878936043
2,1,e,0.27445732976509074
2,1,c,0.21853827922135372
2,1,s,0.4210835126149032
3,1,e,0.16146297948260485
3,1,c,0.21603249738294922
3,1,s,0.4249951105026403
4,1,e,0.3339280404400833
4,1,c,0.3048849611069208
4,1,s,0.4797574809309603
5,1,e,0.40529289325007434
5,1,c,0.3699857887560384
5,1,s,0.6831605710932916
6,1,e,0.5182872435325603
6,1,c,0.5757554754174404
6,1,s,0.7731273225112458
7,1,e,0.791852512637526
7,1,c,0.8028672854666185
7,1,s,0.8943868570310972
8,1,e,0.8988997918525127
8,1,c,0.8959617043620354
8,1,s,0.91785644435752
9,1,e,0.9643175735950045
9,1,c,0.8697634047388337
9,1,s,0.9687072168981029
10,1,e,0.9881058578650015
10,1,c,0.9546652819066844
10,1,s,0.9921768042245257
11,1,e,1.0
11,1,c,1.0
11,1,s,0.9960884021122629
12,1,e,0.9940529289325007
12,1,c,1.0
12,1,s,0.9960884021122629
13,1,e,1.0
13,1,c,1.0
13,1,s,1.0
14,1,e,1.0
14,1,c,1.0
14,1,s,0.9765304126735772
15,1,e,0.9643175735950045
15,1,c,0.9110423790358801
15,1,s,0.9647956190103657
16,1,e,0.9821587867975022
16,1,c,0.9659989614300133
16,1,s,0.9765304126735772
17,1,e,0.9821587867975022
17,1,c,0.9573671887169104
17,1,s,0.9804420105613143
18,1,e,0.9881058578650015
18,1,c,1.0
18,1,s,0.9647956190103657
19,1,e,0.9583705025275052
19,1,c,0.9012021780111922
19,1,s,0.97261881478584
20,1,e,1.0
20,1,c,1.0
20,1,s,1.0
21,1,e,1.0
21,1,c,1.0
21,1,s,1.0
22,1,e,1.0
22,1,c,1.0
22,1,s,1.0
23,1,e,1.0
23,1,c,1.0
23,1,s,1.0
24,1,e,1.0
24,1,c,1.0
24,1,s,0.9960884021122629
25,1,e,0.9940529289325007
25,1,c,0.9659989614300133
25,1,s,0.9960884021122629
26,1,e,1.0
26,1,c,1.0
26,1,s,1.0
27,1,e,1.0
27,1,c,1.0
27,1,s,0.9921768042245257
28,1,e,0.9881058578650015
28,1,c,1.0
28,1,s,0.9921768042245257
29,1,e,1.0
29,1,c,1.0
29,1,s,1.0
30,1,e,1.0
30,1,c,1.0
30,1,s,0.9921768042245257
31,1,e,0.9881058578650015
31,1,c,0.9773326409533423
31,1,s,0.9804420105613143
32,1,e,0.9821587867975022
32,1,c,0.9346998296702526
32,1,s,0.9882652063367886
33,1,e,0.9940529289325007
33,1,c,1.0
33,1,s,0.9960884021122629
34,1,e,1.0
34,1,c,1.0
34,1,s,0.9960884021122629
35,1,e,0.9940529289325007
35,1,c,0.9886663204766711
35,1,s,0.9960884021122629
36,1,e,1.0
36,1,c,1.0
36,1,s,0.9843536084490514
37,1,e,0.976211715730003
37,1,c,0.9886663204766711
37,1,s,0.9804420105613143
38,1,e,0.9940529289325007
38,1,c,1.0
38,1,s,0.9960884021122629
39,1,e,1.0
39,1,c,1.0
39,1,s,0.9765304126735772
40,1,e,0.9643175735950045
40,1,c,0.9068281709417992
40,1,s,0.97261881478584
41,1,e,0.9940529289325007
41,1,c,0.9886663204766711
41,1,s,0.9921768042245257
42,1,e,0.9940529289325007
42,1,c,0.9773326409533423
42,1,s,0.9843536084490514
43,1,e,0.9821587867975022
43,1,c,0.9724322142438163
43,1,s,0.9413260316839429
44,1,e,0.928635147190009
44,1,c,0.8730123582711566
44,1,s,0.9569724232348914
45,1,e,0.9821587867975022
45,1,c,0.9573671887169104
45,1,s,0.9843536084490514
46,1,e,0.9940529289325007
46,1,c,0.9886663204766711
46,1,s,0.9921768042245257
47,1,e,0.9940529289325007
47,1,c,0.9773326409533423
47,1,s,0.9921768042245257
48,1,e,0.9940529289325007
48,1,c,0.9773326409533423
48,1,s,0.9960884021122629
49,1,e,1.0
49,1,c,1.0
49,1,s,0.9960884021122629
50,1,e,0.9940529289325007
50,1,c,0.9773326409533423
50,1,s,0.9921768042245257
1,2,e,0.042521558132619715
1,2,c,-0.09990773950958615
1,2,s,0.23723841189125758
2,2,e,0.2387749033600952
2,2,c,-0.04688238823791
2,2,s,0.3624095442988461
3,2,e,0.21498661909009814
3,2,c,-0.0449258028885915
3,2,s,0.4249951105026403
4,2,e,0.2090395480225989
4,2,c,0.05392470954605929
4,2,s,0.34676315274789754
5,2,e,0.3160868272375855
5,2,c,0.037104086664246375
5,2,s,0.39370232740074323
6,2,e,0.3160868272375855
6,2,c,0.2531748488894589
6,2,s,0.38587913162526893
7,2,e,0.35176925364258105
7,2,c,0.16435593331344267
7,2,s,0.46802268726774887
8,2,e,0.48855188819506395
8,2,c,0.29668411431612574
8,2,s,0.44064150205358893
9,2,e,0.48855188819506395
9,2,c,0.2454767482572402
9,2,s,0.5110502640328575
10,2,e,0.5539696699375558
10,2,c,0.224058963610035
10,2,s,0.3350283590846861
11,2,e,0.3696104668450788
11,2,c,0.39282808285411674
11,2,s,0.4562878936045375
12,2,e,0.48855188819506395
12,2,c,0.24838874532166214
12,2,s,0.4484646978290632
13,2,e,0.4409753196550699
13,2,c,0.28022176005764776
13,2,s,0.4758458830432232
14,2,e,0.4469223907225692
14,2,c,0.4501404581538662
14,2,s,0.6753373753178173
15,2,e,0.40529289325007434
15,2,c,0.7439271763638704
15,2,s,0.7809505182867201
16,2,e,0.28635147190008925
16,2,c,0.8305155447678093
16,2,s,0.8591824760414629
17,2,e,0.40529289325007434
17,2,c,0.8412835956918789
17,2,s,0.8670056718169372
18,2,e,0.26256318763009223
18,2,c,0.839152691090733
18,2,s,0.8787404654801486
19,2,e,0.2685102586975915
19,2,c,0.8097736776801768
19,2,s,0.8865636612556229
20,2,e,0.36366339577757956
20,2,c,0.8280848897485785
20,2,s,0.8318012908273029
21,2,e,0.3458221825750818
21,2,c,0.8379993837846639
21,2,s,0.9022100528065715
22,2,e,0.40529289325007434
22,2,c,0.8264613378168442
22,2,s,0.8435360844905144
23,2,e,0.35176925364258105
23,2,c,0.8444373980701818
23,2,s,0.8474476823782515
24,2,e,0.39339875111507583
24,2,c,0.8508361449812094
24,2,s,0.8552708781537258
25,2,e,0.2685102586975915
25,2,c,0.829146338045315
25,2,s,0.8591824760414629
26,2,e,0.35176925364258105
26,2,c,0.8403724187762449
26,2,s,0.8630940739292001
27,2,e,0.27445732976509074
27,2,c,0.8299976918538715
27,2,s,0.8670056718169372
28,2,e,0.31013975617008627
28,2,c,0.839152691090733
28,2,s,0.8474476823782515
29,2,e,0.43502824858757067
29,2,c,0.8649265269590595
29,2,s,0.8200664971640915
30,2,e,0.6669640202200416
30,2,c,0.8504807664298558
30,2,s,0.8552708781537258
31,2,e,0.6907523044900387
31,2,c,0.7777986621403503
31,2,s,0.8318012908273029
32,2,e,0.7859054415700267
32,2,c,0.8380885899936791
32,2,s,0.8552708781537258
33,2,e,0.8215878679750223
33,2,c,0.8552427038404363
33,2,s,0.8787404654801486
34,2,e,0.9881058578650015
34,2,c,0.9659989614300133
34,2,s,0.9921768042245257
35,2,e,1.0
35,2,c,1.0
35,2,s,0.9960884021122629
36,2,e,0.9940529289325007
