bottle,trial,propertyType,property
1,1,e0,0.08602150537634412
1,1,c0,0.03631323390207155
1,1,s0,0.03415783274440518
1,1,e1,0.3906810035842294
1,1,c1,-0.09699763385485752
1,1,s1,0.038084020416175896
2,1,e0,0.2592592592592593
2,1,c0,0.016387334721498663
2,1,s0,0.1126815861798194
2,1,e1,0.42652329749103945
2,1,c1,-0.15387608163095873
2,1,s1,0.10090302316450726
3,1,e0,0.8327359617682198
3,1,c0,0.78822855811532
3,1,s0,0.7526501766784452
3,1,e1,0.4802867383512545
3,1,c1,0.10566118616823039
3,1,s1,0.3050647820965842
4,1,e0,0.98805256869773
4,1,c0,0.9876679645817854
4,1,s0,0.9921476246564586
4,1,e1,0.994026284348865
4,1,c1,0.9753359291635709
4,1,s1,0.9960738123282293
5,1,e0,0.49820788530465954
5,1,c0,0.8149706234093469
5,1,s0,0.850804868472713
5,1,e1,0.994026284348865
5,1,c1,0.9753359291635709
5,1,s1,0.9960738123282293
6,1,e0,0.3847072879330944
6,1,c0,0.822545811574691
6,1,s0,0.8272477424420888
6,1,e1,0.97610513739546
6,1,c1,0.9700038359433728
6,1,s1,0.9842952493129171
7,1,e0,0.970131421744325
7,1,c0,0.9400076718867459
7,1,s0,0.9764428739693757
7,1,e1,1.0
7,1,c1,1.0
7,1,s1,0.9921476246564586
8,1,e0,0.34886499402628435
8,1,c0,0.32481449397540924
8,1,s0,0.8193953670985473
8,1,e1,0.3847072879330944
8,1,c1,0.8129413114088043
8,1,s1,0.9293286219081272
9,1,e0,0.23536439665471925
9,1,c0,0.8130401777844553
9,1,s0,0.9607381232822929
9,1,e1,1.0
9,1,c1,1.0
9,1,s1,0.9960738123282293
10,1,e0,0.42652329749103945
10,1,c0,0.7351531897644766
10,1,s0,0.823321554770318
10,1,e1,1.0
10,1,c1,1.0
10,1,s1,0.9921476246564586
11,1,e0,0.2771804062126643
11,1,c0,0.8129413114088043
11,1,s0,0.8468786808009423
11,1,e1,1.0
11,1,c1,1.0
11,1,s1,1.0
12,1,e0,0.31899641577060933
12,1,c0,0.8155860768377997
12,1,s0,0.8822143698468786
12,1,e1,0.3608124253285544
12,1,c1,0.8145260846763215
12,1,s1,0.9214762465645858
13,1,e0,0.2891278375149343
13,1,c0,0.7224092234355496
13,1,s0,0.7879858657243816
13,1,e1,0.4444444444444445
13,1,c1,0.8530282376369085
13,1,s1,0.9096976835492736
14,1,e0,0.2771804062126643
14,1,c0,0.8129413114088043
14,1,s0,0.823321554770318
14,1,e1,0.4802867383512545
14,1,c1,0.8214333783766821
14,1,s1,0.8822143698468786
15,1,e0,0.3548387096774194
15,1,c0,0.8140962600698294
15,1,s0,0.8351001177856301
15,1,e1,0.5161290322580645
15,1,c1,0.823729148788096
15,1,s1,0.8586572438162544
1,2,e0,0.10394265232974914
1,2,c0,0.10119539864247039
1,2,s0,0.0420102080879466
1,2,e1,0.2532855436081243
1,2,c1,0.0019029339779089028
1,2,s1,0.0420102080879466
2,2,e0,0.30704898446833934
2,2,c0,-0.21769706691796484
2,2,s0,0.18727915194346292
2,2,e1,0.3428912783751494
2,2,c1,-0.06818422338086273
2,2,s1,0.2775814683941893
3,2,e0,0.994026284348865
3,2,c0,0.9630038937453563
3,2,s0,0.9803690616411465
3,2,e1,0.994026284348865
3,2,c1,0.9876679645817854
3,2,s1,0.9882214369846879
4,2,e0,1.0
4,2,c0,1.0
4,2,s0,1.0
4,2,e1,0.982078853046595
4,2,c1,0.9412797340306274
4,2,s1,0.9803690616411465
5,2,e0,1.0
5,2,c0,1.0
5,2,s0,0.9607381232822929
5,2,e1,0.96415770609319
5,2,c1,0.9630038937453563
5,2,s1,0.9685904986258344
6,2,e0,0.22939068100358426
6,2,c0,0.6883677772185036
6,2,s0,0.7133882999607382
6,2,e1,0.98805256869773
6,2,c1,1.0
6,2,s1,0.9882214369846879
7,2,e0,0.4802867383512545
7,2,c0,0.8132050087781534
7,2,s0,0.8547310561444837
7,2,e1,0.994026284348865
7,2,c1,0.9753359291635709
7,2,s1,0.9921476246564586
8,2,e0,0.24731182795698928
8,2,c0,0.8145260846763215
8,2,s0,0.878288182175108
8,2,e1,0.982078853046595
8,2,c1,0.9442196451523277
8,2,s1,0.917550058892815
9,2,e0,0.7132616487455197
9,2,c0,0.872891262515715
9,2,s0,0.8468786808009423
9,2,e1,1.0
9,2,c1,1.0
9,2,s1,0.9960738123282293
10,2,e0,0.42652329749103945
10,2,c0,0.8123357326450033
10,2,s0,0.9411071849234394
10,2,e1,1.0
10,2,c1,1.0
10,2,s1,1.0
11,2,e0,0.24133811230585428
11,2,c0,0.5374272077659628
11,2,s0,0.7644287396937574
11,2,e1,1.0
11,2,c1,1.0
11,2,s1,0.9921476246564586
12,2,e0,-0.10513739545997607
12,2,c0,0.6263771965157393
12,2,s0,0.9764428739693757
12,2,e1,0.2831541218637993
12,2,c1,0.8150226075370345
12,2,s1,0.9528857479387515
13,2,e0,0.23536439665471925
13,2,c0,0.8129083613156266
13,2,s0,1.0
13,2,e1,0.23536439665471925
13,2,c1,0.8129083613156266
13,2,s1,1.0
14,2,e0,0.26523297491039427
14,2,c0,0.8130401777844553
14,2,s0,0.9371809972516686
14,2,e1,0.24731182795698928
14,2,c1,0.7406169478773358
14,2,s1,0.9803690616411465
15,2,e0,0.5161290322580645
15,2,c0,0.8249840480921795
15,2,s0,0.9018453082057323
15,2,e1,0.7789725209080048
15,2,c1,0.8697445073810354
15,2,s1,0.9018453082057323
1,3,e0,0.2891278375149343
1,3,c0,-0.06860175976039458
1,3,s0,0.053788771103258734
1,3,e1,0.30704898446833934
1,3,c1,-0.16103202501467465
1,3,s1,0.0420102080879466
2,3,e0,0.24731182795698928
2,3,c0,0.15098884144772756
2,3,s0,0.22654102866117
2,3,e1,0.31899641577060933
2,3,c1,0.1414634835569668
2,3,s1,0.22261484098939932
3,3,e0,0.3608124253285544
3,3,c0,0.19853151733816077
3,3,s0,0.2775814683941893
3,3,e1,0.5698924731182796
3,3,c1,0.40992097779480646
3,3,s1,0.6584216725559482
4,3,e0,0.3010752688172043
4,3,c0,0.1689802194852866
4,3,s0,0.430702787593247
4,3,e1,0.994026284348865
4,3,c1,0.9876679645817854
4,3,s1,0.9842952493129171
5,3,e0,0.7311827956989247
5,3,c0,0.8215023227079049
5,3,s0,0.6819787985865724
5,3,e1,1.0
5,3,c1,1.0
5,3,s1,1.0
6,3,e0,0.43847072879330945
6,3,c0,0.8070867971016947
6,3,s0,0.8822143698468786
6,3,e1,0.98805256869773
6,3,c1,0.9630038937453563
6,3,s1,0.972516686297605
7,3,e0,0.8446833930704899
7,3,c0,0.8778196476844841
7,3,s0,0.8468786808009423
7,3,e1,1.0
7,3,c1,1.0
7,3,s1,1.0
8,3,e0,0.5161290322580645
8,3,c0,0.7692545874759215
