generation,trial,propertyType,property
80,-1,m,-1.0
1,1,e,-0.009552538964303662
1,1,c,-0.025641025641025647
1,1,s,0.0
2,1,e,0.15535444947209653
2,1,c,0.6389420821155594
2,1,s,0.6235294117647059
3,1,e,0.23579688285570638
3,1,c,0.4179258518199349
3,1,s,0.43137254901960786
4,1,e,0.30015082956259426
4,1,c,0.43396027118019886
4,1,s,0.3137254901960784
5,1,e,0.3283056812468577
5,1,c,0.14691159146967944
5,1,s,0.25098039215686274
6,1,e,0.34841628959276016
6,1,c,0.25230568157865413
6,1,s,0.18823529411764706
7,1,e,0.4409250879839115
7,1,c,0.29375818223020805
7,1,s,0.2
8,1,e,0.38461538461538464
8,1,c,0.3278301555714704
8,1,s,0.1803921568627451
9,1,e,0.452991452991453
9,1,c,0.2637840969705382
9,1,s,0.1568627450980392
10,1,e,0.4489693313222725
10,1,c,0.40794642704959105
10,1,s,0.1568627450980392
11,1,e,0.6259426847662142
11,1,c,0.6117615035384822
11,1,s,0.27058823529411763
12,1,e,0.5736551030668677
12,1,c,0.557132133729146
12,1,s,0.3568627450980392
13,1,e,0.6540975364504776
13,1,c,0.6619544774733633
13,1,s,0.36470588235294116
14,1,e,0.7023629964806435
14,1,c,0.7691282999870664
14,1,s,0.4980392156862745
15,1,e,0.8592257415786827
15,1,c,0.8795013525257931
15,1,s,0.6509803921568628
16,1,e,0.9477124183006536
16,1,c,0.9554737635659666
16,1,s,0.8627450980392157
17,1,e,0.9557566616390146
17,1,c,0.9563158149519735
17,1,s,0.9215686274509803
18,1,e,0.9557566616390146
18,1,c,0.953591589799636
18,1,s,0.9450980392156862
19,1,e,0.9798893916540975
19,1,c,0.9903422106456788
19,1,s,0.9450980392156862
20,1,e,0.9557566616390146
20,1,c,0.9710266319370366
20,1,s,0.9411764705882353
21,1,e,0.9115133232780291
21,1,c,0.8901479016891635
21,1,s,0.8784313725490196
22,1,e,0.9034690799396682
22,1,c,0.9126505302902282
22,1,s,0.8823529411764706
23,1,e,0.9195575666163901
23,1,c,0.9083864607731248
23,1,s,0.9019607843137255
24,1,e,0.7747611865258924
24,1,c,0.8622845494232371
24,1,s,0.796078431372549
25,1,e,0.8109602815485168
25,1,c,0.8840520922288313
25,1,s,0.7686274509803922
26,1,e,0.9195575666163901
26,1,c,0.9268550921382652
26,1,s,0.8352941176470589
27,1,e,0.9597787833081951
27,1,c,0.9903422106456788
27,1,s,0.9137254901960784
28,1,e,0.9638009049773756
28,1,c,0.9498376243887121
28,1,s,0.9333333333333333
29,1,e,0.975867269984917
29,1,c,0.9733290127988261
29,1,s,0.9725490196078431
30,1,e,0.8511814982403217
30,1,c,0.8132529956258271
30,1,s,0.8274509803921568
31,1,e,0.698340874811463
31,1,c,0.6504410513098073
31,1,s,0.6549019607843137
32,1,e,0.9276018099547512
32,1,c,0.9007049890360106
32,1,s,0.6862745098039216
33,1,e,0.951734539969834
33,1,c,0.9443556447358628
33,1,s,0.8941176470588236
34,1,e,0.9879336349924586
34,1,c,0.9733290127988261
34,1,s,0.9411764705882353
35,1,e,0.8994469582704877
35,1,c,0.9004178344081972
35,1,s,0.8941176470588236
36,1,e,0.8833584715937657
36,1,c,0.8967984710540258
36,1,s,0.8117647058823529
37,1,e,0.7828054298642534
37,1,c,0.8266607831817496
37,1,s,0.7372549019607844
38,1,e,0.8833584715937657
38,1,c,0.8530666958183661
38,1,s,0.6941176470588235
39,1,e,0.7948717948717948
39,1,c,0.8437065629802488
39,1,s,0.7764705882352941
40,1,e,0.8592257415786827
40,1,c,0.8366769429939271
40,1,s,0.7843137254901961
41,1,e,0.9155354449472096
41,1,c,0.9227227128337345
41,1,s,0.8156862745098039
42,1,e,0.9436902966314731
42,1,c,0.9269206025984622
42,1,s,0.8627450980392157
43,1,e,0.9959778783308195
43,1,c,0.9903422106456788
43,1,s,0.9372549019607843
44,1,e,1.0
44,1,c,1.0
44,1,s,0.996078431372549
45,1,e,0.991955756661639
45,1,c,0.9903422106456788
45,1,s,0.9921568627450981
46,1,e,0.9718451483157365
46,1,c,0.9733290127988261
46,1,s,0.9647058823529412
47,1,e,0.9718451483157365
47,1,c,1.0
47,1,s,0.9607843137254902
48,1,e,0.9718451483157365
48,1,c,0.9659736043062946
48,1,s,0.9607843137254902
49,1,e,0.9115133232780291
49,1,c,0.8652049287299151
49,1,s,0.9058823529411765
50,1,e,0.8471593765711413
50,1,c,0.8839698278352931
50,1,s,0.796078431372549
51,1,e,0.975867269984917
51,1,c,0.9594954137430333
51,1,s,0.8352941176470589
52,1,e,0.975867269984917
52,1,c,0.9765086115898859
52,1,s,0.9529411764705882
53,1,e,0.9798893916540975
53,1,c,0.9806844212913578
53,1,s,0.9568627450980393
54,1,e,0.9879336349924586
54,1,c,0.9806844212913578
54,1,s,0.9686274509803922
55,1,e,0.8873805932629462
55,1,c,0.9433594338254507
55,1,s,0.8784313725490196
56,1,e,0.9195575666163901
56,1,c,0.9540134340901839
56,1,s,0.8313725490196079
57,1,e,0.975867269984917
57,1,c,0.9829868021531474
57,1,s,0.9176470588235294
58,1,e,1.0
58,1,c,1.0
58,1,s,0.9764705882352941
59,1,e,0.9879336349924586
59,1,c,1.0
59,1,s,0.9882352941176471
60,1,e,1.0
60,1,c,1.0
60,1,s,0.9882352941176471
61,1,e,1.0
61,1,c,1.0
61,1,s,1.0
62,1,e,0.9959778783308195
62,1,c,0.9903422106456788
62,1,s,0.996078431372549
63,1,e,0.983911513323278
63,1,c,0.9613688425827156
63,1,s,0.9803921568627451
64,1,e,0.9396681749622926
64,1,c,0.9471133992363746
64,1,s,0.9333333333333333
65,1,e,0.951734539969834
65,1,c,0.9365783919527833
65,1,s,0.9254901960784314
66,1,e,0.8753142282554047
66,1,c,0.8610365701298061
66,1,s,0.8588235294117647
67,1,e,0.9879336349924586
67,1,c,0.9765086115898859
67,1,s,0.8627450980392157
68,1,e,0.9557566616390146
68,1,c,0.916420761858134
68,1,s,0.9450980392156862
69,1,e,0.983911513323278
69,1,c,0.9829868021531474
69,1,s,0.9411764705882353
70,1,e,0.8753142282554047
70,1,c,0.826790863089411
70,1,s,0.8666666666666667
71,1,e,0.9316239316239316
71,1,c,0.9439338004453148
71,1,s,0.8352941176470589
72,1,e,0.9879336349924586
72,1,c,0.9765086115898859
72,1,s,0.9215686274509803
73,1,e,0.8873805932629462
73,1,c,0.9135466375405527
73,1,s,0.8784313725490196
74,1,e,0.8431372549019608
74,1,c,0.7984066261159121
74,1,s,0.8117647058823529
75,1,e,0.9155354449472096
75,1,c,0.89292937344802
75,1,s,0.8196078431372549
76,1,e,0.9798893916540975
76,1,c,0.9571930328812437
76,1,s,0.9137254901960784
77,1,e,0.9678230266465561
77,1,c,0.9554737635659666
77,1,s,0.9568627450980393
78,1,e,0.9396681749622926
78,1,c,0.930100201389522
78,1,s,0.9176470588235294
79,1,e,0.8350930115635998
79,1,c,0.8149557098706863
79,1,s,0.7803921568627451
80,1,e,0.8833584715937657
80,1,c,0.8171932929015934
80,1,s,0.796078431372549
1,2,e,0.006535947712418308
1,2,c,0.12087912087912087
1,2,s,0.00392156862745098
2,2,e,0.167420814479638
2,2,c,0.48729465257782556
2,2,s,0.6078431372549019
3,2,e,0.25188536953242835
3,2,c,0.52501017435482
3,2,s,0.3764705882352941
4,2,e,0.2197083961789844
4,2,c,0.30556780316532817
4,2,s,0.3137254901960784
5,2,e,0.3202614379084967
5,2,c,0.20860992275557547
5,2,s,0.3137254901960784
6,2,e,0.39668174962292607
6,2,c,0.2044860965556695
6,2,s,0.2
7,2,e,0.4167923579688286
7,2,c,0.11543123921733017
7,2,s,0.17647058823529413
8,2,e,0.39668174962292607
