generation,trial,propertyType,property
80,-1,m,-1.0
1,1,e,0.0029031935128641492
1,1,c,-0.03321033210332104
1,1,s,0.00390625
2,1,e,0.17509260186204825
2,1,c,0.24485386342365026
2,1,s,0.5546875
3,1,e,0.2752027229952948
3,1,c,0.3579293251610451
3,1,s,0.3359375
4,1,e,0.4634097507257984
4,1,c,0.29297543472867194
4,1,s,0.24609375
5,1,e,0.4393833216538192
5,1,c,0.22859879878342873
5,1,s,0.23828125
6,1,e,0.5194714185604165
6,1,c,0.3403081338780659
6,1,s,0.27734375
7,1,e,0.4594053458804685
7,1,c,-0.04293939665582903
7,1,s,0.1875
8,1,e,0.563519871859045
8,1,c,0.4382362953528939
8,1,s,0.41015625
9,1,e,0.6035639203123435
9,1,c,0.4402464655002702
9,1,s,0.46484375
10,1,e,0.651616778456302
10,1,c,0.49276729660919955
10,1,s,0.3828125
11,1,e,0.651616778456302
11,1,c,0.518820154368987
11,1,s,0.546875
12,1,e,0.619581539693663
12,1,c,0.5597104308280437
12,1,s,0.4296875
13,1,e,0.6075683251576735
13,1,c,0.6087587078772716
13,1,s,0.46484375
14,1,e,0.7517268995895485
14,1,c,0.5500541503499246
14,1,s,0.52734375
15,1,e,0.7517268995895485
15,1,c,0.6246412908905649
15,1,s,0.515625
16,1,e,0.739713685053559
16,1,c,0.6879384538080475
16,1,s,0.7265625
17,1,e,0.8718590449494444
17,1,c,0.6724109062198941
17,1,s,0.76171875
18,1,e,0.8077885674241666
18,1,c,0.7047198908226202
18,1,s,0.828125
19,1,e,0.8638502352587847
19,1,c,0.8203853819186541
19,1,s,0.85546875
20,1,e,0.9279207127840625
20,1,c,0.9300969472727995
20,1,s,0.8125
21,1,e,1.0
21,1,c,1.0
21,1,s,0.92578125
22,1,e,1.0
22,1,c,1.0
22,1,s,1.0
23,1,e,1.0
23,1,c,1.0
23,1,s,1.0
24,1,e,1.0
24,1,c,1.0
24,1,s,1.0
25,1,e,1.0
25,1,c,1.0
25,1,s,1.0
26,1,e,1.0
26,1,c,1.0
26,1,s,1.0
27,1,e,1.0
27,1,c,1.0
27,1,s,1.0
28,1,e,1.0
28,1,c,1.0
28,1,s,1.0
29,1,e,1.0
29,1,c,1.0
29,1,s,1.0
30,1,e,1.0
30,1,c,1.0
30,1,s,1.0
31,1,e,1.0
31,1,c,1.0
31,1,s,1.0
32,1,e,1.0
32,1,c,1.0
32,1,s,1.0
33,1,e,1.0
33,1,c,1.0
33,1,s,1.0
34,1,e,1.0
34,1,c,1.0
34,1,s,1.0
35,1,e,1.0
35,1,c,1.0
35,1,s,1.0
36,1,e,1.0
36,1,c,1.0
36,1,s,1.0
37,1,e,0.9959955951546702
37,1,c,0.990270935447492
37,1,s,0.99609375
38,1,e,1.0
38,1,c,1.0
38,1,s,0.99609375
39,1,e,1.0
39,1,c,1.0
39,1,s,1.0
40,1,e,1.0
40,1,c,1.0
40,1,s,1.0
41,1,e,1.0
41,1,c,1.0
41,1,s,1.0
42,1,e,0.9519471418560417
42,1,c,0.9548361810016478
42,1,s,0.953125
43,1,e,1.0
43,1,c,1.0
43,1,s,0.953125
44,1,e,1.0
44,1,c,1.0
44,1,s,1.0
45,1,e,1.0
45,1,c,1.0
45,1,s,1.0
46,1,e,1.0
46,1,c,1.0
46,1,s,1.0
47,1,e,1.0
47,1,c,1.0
47,1,s,1.0
48,1,e,1.0
48,1,c,1.0
48,1,s,1.0
49,1,e,1.0
49,1,c,1.0
49,1,s,1.0
50,1,e,0.9919911903093402
50,1,c,0.990270935447492
50,1,s,0.9921875
51,1,e,1.0
51,1,c,1.0
51,1,s,0.9921875
52,1,e,1.0
52,1,c,1.0
52,1,s,1.0
53,1,e,1.0
53,1,c,1.0
53,1,s,1.0
54,1,e,0.9559515467013715
54,1,c,0.9369940276671608
54,1,s,0.95703125
55,1,e,0.9919911903093402
55,1,c,1.0
55,1,s,0.94921875
56,1,e,1.0
56,1,c,1.0
56,1,s,0.9921875
57,1,e,1.0
57,1,c,1.0
57,1,s,1.0
58,1,e,1.0
58,1,c,1.0
58,1,s,1.0
59,1,e,1.0
59,1,c,1.0
59,1,s,1.0
60,1,e,1.0
60,1,c,1.0
60,1,s,1.0
61,1,e,1.0
61,1,c,1.0
61,1,s,1.0
62,1,e,1.0
62,1,c,1.0
62,1,s,1.0
63,1,e,1.0
63,1,c,1.0
63,1,s,1.0
64,1,e,1.0
64,1,c,1.0
64,1,s,1.0
65,1,e,1.0
65,1,c,1.0
65,1,s,1.0
66,1,e,1.0
66,1,c,1.0
66,1,s,1.0
67,1,e,1.0
67,1,c,1.0
67,1,s,1.0
68,1,e,1.0
68,1,c,1.0
68,1,s,1.0
69,1,e,1.0
69,1,c,1.0
69,1,s,1.0
70,1,e,1.0
70,1,c,1.0
70,1,s,1.0
71,1,e,1.0
71,1,c,1.0
71,1,s,1.0
72,1,e,1.0
72,1,c,1.0
72,1,s,1.0
73,1,e,1.0
73,1,c,1.0
73,1,s,1.0
74,1,e,1.0
74,1,c,1.0
74,1,s,1.0
75,1,e,1.0
75,1,c,1.0
75,1,s,1.0
76,1,e,1.0
76,1,c,1.0
76,1,s,1.0
77,1,e,1.0
77,1,c,1.0
77,1,s,1.0
78,1,e,1.0
78,1,c,1.0
78,1,s,1.0
79,1,e,1.0
79,1,c,1.0
79,1,s,1.0
80,1,e,1.0
80,1,c,1.0
80,1,s,1.0
1,2,e,0.0029031935128641492
1,2,c,-0.03321033210332104
1,2,s,0.00390625
2,2,e,0.25117629392331564
2,2,c,0.3427967834432781
2,2,s,0.40234375
3,2,e,0.33526879567524276
3,2,c,0.04306954475047919
3,2,s,0.24609375
4,2,e,0.4513965361898088
4,2,c,0.4483150365386058
4,2,s,0.20703125
5,2,e,0.6396035639203124
5,2,c,0.6075426117690829
5,2,s,0.26953125
6,2,e,0.7156872559815798
6,2,c,0.7341584513369707
6,2,s,0.46484375
7,2,e,0.7997797577335068
7,2,c,0.8002551475163104
7,2,s,0.71484375
8,2,e,0.9199119030934028
8,2,c,0.9064922571549057
8,2,s,0.71875
9,2,e,0.9959955951546702
9,2,c,0.990270935447492
9,2,s,0.90625
10,2,e,1.0
10,2,c,1.0
10,2,s,0.99609375
11,2,e,1.0
11,2,c,1.0
11,2,s,1.0
12,2,e,1.0
12,2,c,1.0
12,2,s,1.0
13,2,e,1.0
13,2,c,1.0
13,2,s,1.0
14,2,e,1.0
14,2,c,1.0
14,2,s,1.0
15,2,e,1.0
15,2,c,1.0
15,2,s,1.0
16,2,e,1.0
16,2,c,1.0
16,2,s,1.0
17,2,e,1.0
17,2,c,1.0
17,2,s,1.0
18,2,e,1.0
18,2,c,1.0
18,2,s,1.0
19,2,e,1.0
19,2,c,1.0
19,2,s,1.0
20,2,e,1.0
20,2,c,1.0
20,2,s,1.0
21,2,e,1.0
21,2,c,1.0
21,2,s,1.0
22,2,e,1.0
22,2,c,1.0
22,2,s,1.0
23,2,e,1.0
23,2,c,1.0
23,2,s,1.0
24,2,e,1.0
24,2,c,1.0
24,2,s,1.0
25,2,e,1.0
25,2,c,1.0
25,2,s,1.0
26,2,e,1.0
26,2,c,1.0
26,2,s,1.0
27,2,e,1.0
27,2,c,1.0
27,2,s,1.0
28,2,e,1.0
28,2,c,1.0
28,2,s,1.0
29,2,e,1.0
29,2,c,1.0
29,2,s,1.0
30,2,e,1.0
30,2,c,1.0
30,2,s,1.0
31,2,e,1.0
31,2,c,1.0
31,2,s,1.0
32,2,e,1.0
32,2,c,1.0
32,2,s,1.0
33,2,e,1.0
33,2,c,1.0
33,2,s,1.0
34,2,e,1.0
34,2,c,1.0
34,2,s,1.0
35,2,e,1.0
35,2,c,1.0
35,2,s,1.0
36,2,e,0.9959955951546702
36,2,c,0.990270935447492
36,2,s,0.99609375
37,2,e,1.0
37,2,c,1.0
37,2,s,0.99609375
38,2,e,1.0
38,2,c,1.0
38,2,s,1.0
39,2,e,1.0
39,2,c,1.0
39,2,s,1.0
40,2,e,1.0
40,2,c,1.0
40,2,s,1.0
41,2,e,1.0
41,2,c,1.0
41,2,s,1.0
42,2,e,1.0
42,2,c,1.0
42,2,s,1.0
43,2,e,1.0
43,2,c,1.0
43,2,s,1.0
44,2,e,1.0
44,2,c,1.0
44,2,s,1.0
45,2,e,1.0
45,2,c,1.0
45,2,s,1.0
46,2,e,1.0
46,2,c,1.0
46,2,s,1.0
47,2,e,1.0
47,2,c,1.0
47,2,s,1.0
48,2,e,1.0
48,2,c,1.0
48,2,s,1.0
49,2,e,1.0
49,2,c,1.0
49,2,s,1.0
50,2,e,1.0
50,2,c,1.0
50,2,s,1.0
51,2,e,1.0
51,2,c,1.0
51,2,s,1.0
52,2,e,1.0
52,2,c,1.0
52,2,s,1.0
53,2,e,1.0
53,2,c,1.0
53,2,s,1.0
54,2,e,1.0
54,2,c,1.0
54,2,s,1.0
55,2,e,1.0
55,2,c,1.0
55,2,s,1.0
56,2,e,1.0
56,2,c,1.0
56,2,s,1.0
57,2,e,1.0
57,2,c,1.0
57,2,s,1.0
58,2,e,1.0
58,2,c,1.0
58,2,s,1.0
59,2,e,1.0
59,2,c,1.0
59,2,s,1.0
60,2,e,1.0
60,2,c,1.0
60,2,s,1.0
61,2,e,1.0
61,2,c,1.0
61,2,s,1.0
62,2,e,1.0
62,2,c,1.0
62,2,s,1.0
63,2,e,1.0
63,2,c,1.0
63,2,s,1.0
64,2,e,1.0
64,2,c,1.0
64,2,s,1.0
65,2,e,1.0
65,2,c,1.0
65,2,s,1.0
66,2,e,1.0
66,2,c,1.0
66,2,s,1.0
67,2,e,1.0
67,2,c,1.0
67,2,s,1.0
68,2,e,1.0
68,2,c,1.0
68,2,s,1.0
69,2,e,1.0
69,2,c,1.0
69,2,s,1.0
70,2,e,1.0
70,2,c,1.0
70,2,s,1.0
71,2,e,1.0
71,2,c,1.0
71,2,s,1.0
72,2,e,1.0
72,2,c,1.0
72,2,s,1.0
73,2,e,1.0
73,2,c,1.0
73,2,s,1.0
74,2,e,1.0
74,2,c,1.0
74,2,s,1.0
75,2,e,1.0
75,2,c,1.0
75,2,s,1.0
