generation,trial,propertyType,property
120,-1,m,-1.0
1,10,e,-0.00012910830422037254
1,10,c,-0.01198402130492676
1,10,s,9.5367431640625e-7
2,10,e,0.02844164845978849
2,10,c,0.24627208508136433
2,10,s,0.3029661178588867
3,10,e,0.048594372089369654
3,10,c,0.4125044781503394
3,10,s,0.21437454223632812
4,10,e,0.06431820871122869
4,10,c,0.3874015880645579
4,10,s,0.2520275115966797
5,10,e,0.0655553972636766
5,10,c,0.21459456576219452
5,10,s,0.22911643981933594
6,10,e,0.07946589892932633
6,10,c,0.33277564802459525
6,10,s,0.2471628189086914
7,10,e,0.08297237936016556
7,10,c,0.37761902065533903
7,10,s,0.2760915756225586
8,10,e,0.07702967721540811
8,10,c,0.25533387284698644
8,10,s,0.3118705749511719
9,10,e,0.07452954522160245
9,10,c,0.3393940011172239
9,10,s,0.3688535690307617
10,10,e,0.0824963908577203
10,10,c,0.3682263363877714
10,10,s,0.36316490173339844
11,10,e,0.08891698927447189
11,10,c,0.40452180939532645
11,10,s,0.3656883239746094
12,10,e,0.0882511777019132
12,10,c,0.34345318331729624
12,10,s,0.33281421661376953
13,10,e,0.0906311202141395
13,10,c,0.2627578928564936
13,10,s,0.31484317779541016
14,10,e,0.09736554672168164
14,10,c,0.33476052673119194
14,10,s,0.30711936950683594
15,10,e,0.10069937400834734
15,10,c,0.2328834525423234
15,10,s,0.28833580017089844
16,10,e,0.09178913633030893
16,10,c,0.24515985125232412
16,10,s,0.2906770706176758
17,10,e,0.09838811119988068
17,10,c,0.41539536342462424
17,10,s,0.35929107666015625
18,10,e,0.0884257386156356
18,10,c,0.2751157204884986
18,10,s,0.3812541961669922
19,10,e,0.09195702005061025
19,10,c,0.33347752329290625
19,10,s,0.40047740936279297
20,10,e,0.08666868286111823
20,10,c,0.19518670965777798
20,10,s,0.4288921356201172
21,10,e,0.0886289160725912
21,10,c,0.28276375948697463
21,10,s,0.43044185638427734
22,10,e,0.09242346970531112
22,10,c,0.3272100465728067
22,10,s,0.3979330062866211
23,10,e,0.09823739740551926
23,10,c,0.23256402719133568
23,10,s,0.39121532440185547
24,10,e,0.09535189596284008
24,10,c,0.36275582271810913
24,10,s,0.3957977294921875
25,10,e,0.08019943632087023
25,10,c,0.23625325517464463
25,10,s,0.3999347686767578
26,10,e,0.08346744555809961
26,10,c,0.3829295716662061
26,10,s,0.4158287048339844
27,10,e,0.08992333771150546
27,10,c,0.2724458614192093
27,10,s,0.44278621673583984
28,10,e,0.10329680224914582
28,10,c,0.3136173728404586
28,10,s,0.3796195983886719
29,10,e,0.09413855452975316
29,10,c,0.3552091926546544
29,10,s,0.37100791931152344
30,10,e,0.08284646656993956
30,10,c,0.2482228756752753
30,10,s,0.3739290237426758
31,10,e,0.09135988818181119
31,10,c,0.29351567076016954
31,10,s,0.39663124084472656
32,10,e,0.07872759211391024
32,10,c,0.20050637045338165
32,10,s,0.3968315124511719
33,10,e,0.09546922379009612
33,10,c,0.24771969687333184
33,10,s,0.30495738983154297
34,10,e,0.11337173323677475
34,10,c,0.294671995987913
34,10,s,0.2679872512817383
35,10,e,0.09806855980044347
35,10,c,0.33099082994088047
35,10,s,0.26627159118652344
36,10,e,0.10127647429688318
36,10,c,0.4540172589554693
36,10,s,0.3266029357910156
37,10,e,0.09426637508952804
37,10,c,0.27595081972438235
37,10,s,0.3609504699707031
38,10,e,0.09151250974572149
38,10,c,0.1726461180027766
38,10,s,0.3645601272583008
39,10,e,0.10403320129501303
39,10,c,0.2577704116431518
39,10,s,0.3586759567260742
40,10,e,0.09092396283989239
40,10,c,0.37148152733990986
40,10,s,0.3414640426635742
41,10,e,0.10066408027169309
41,10,c,0.2560451956604796
41,10,s,0.38745594024658203
42,10,e,0.09297290733538821
42,10,c,0.3824333638157969
42,10,s,0.3635082244873047
43,10,e,0.09374173846358637
43,10,c,0.28734820679883044
43,10,s,0.3570890426635742
44,10,e,0.093621548982007
44,10,c,0.34085880751516046
44,10,s,0.35880374908447266
45,10,e,0.09340787879253258
45,10,c,0.33826417833942196
45,10,s,0.33791351318359375
46,10,e,0.09477574955907868
46,10,c,0.29710282664371207
46,10,s,0.3208436965942383
47,10,e,0.09429022220888902
47,10,c,0.2731055879849047
47,10,s,0.2935295104980469
48,10,e,0.09644504791434763
48,10,c,0.258906808889631
48,10,s,0.33428478240966797
49,10,e,0.10690916388994783
49,10,c,0.2818428951597306
49,10,s,0.3566255569458008
50,10,e,0.09130933228876591
50,10,c,0.2605009335030657
50,10,s,0.3779754638671875
51,10,e,0.09044892822222157
51,10,c,0.3227381458349606
51,10,s,0.39543914794921875
52,10,e,0.09868476936473133
52,10,c,0.26463042526421554
52,10,s,0.3092222213745117
53,10,e,0.10176390941662171
53,10,c,0.21795343760903718
53,10,s,0.25956153869628906
54,10,e,0.09741801038427582
54,10,c,0.2704473607752378
54,10,s,0.30547046661376953
55,10,e,0.09678558477882249
55,10,c,0.22232241226127675
55,10,s,0.31166648864746094
56,10,e,0.09144383004196185
56,10,c,0.25790005630971014
56,10,s,0.31262969970703125
57,10,e,0.09820878086228607
57,10,c,0.2322091581971116
57,10,s,0.3311023712158203
58,10,e,0.09683137124799558
58,10,c,0.252090783210133
58,10,s,0.33481884002685547
59,10,e,0.10081002464218232
59,10,c,0.25655431695971603
59,10,s,0.3350067138671875
60,10,e,0.0954253450904719
60,10,c,0.20469617850501373
60,10,s,0.3396949768066406
61,10,e,0.08878916871469701
61,10,c,0.10870989009909776
61,10,s,0.3462257385253906
62,10,e,0.08431067969870404
62,10,c,0.3188311211075658
62,10,s,0.3857860565185547
63,10,e,0.09075607911959105
63,10,c,0.23694042426429443
63,10,s,0.43586254119873047
64,10,e,0.1026596072198203
64,10,c,0.25115074204681564
64,10,s,0.44866943359375
65,10,e,0.09602820026791761
65,10,c,0.27809913775772355
65,10,s,0.40117835998535156
66,10,e,0.10397310655422336
66,10,c,0.26635969069804993
66,10,s,0.37244510650634766
67,10,e,0.09187117042091071
67,10,c,0.3652452793088328
67,10,s,0.36362361907958984
68,10,e,0.10102655648598005
68,10,c,0.2654898064361207
68,10,s,0.4262571334838867
69,10,e,0.07928847636128061
69,10,c,0.24163891936110105
69,10,s,0.4712638854980469
70,10,e,0.09660053113258124
70,10,c,0.32485144416431266
70,10,s,0.467742919921875
71,10,e,0.09173285712861699
71,10,c,0.276053783271574
71,10,s,0.4730491638183594
72,10,e,0.09318657752486265
72,10,c,0.22401536811996947
72,10,s,0.47247886657714844
73,10,e,0.09039741844440184
73,10,c,0.29740912267597674
73,10,s,0.4105367660522461
74,10,e,0.0937159835746765
74,10,c,0.18108795492632898
74,10,s,0.3645296096801758
75,10,e,0.08834084287071049
75,10,c,0.24143279111730911
75,10,s,0.37525081634521484
76,10,e,0.09371407580512763
76,10,c,0.2335623050934304
76,10,s,0.3715047836303711
77,10,e,0.09082762047767401
77,10,c,0.22854924588642112
77,10,s,0.3712482452392578
78,10,e,0.09134271825587129
78,10,c,0.46986923742046044
78,10,s,0.3867988586425781
79,10,e,0.08659618761826084
79,10,c,0.18668129495750443
79,10,s,0.3202695846557617
80,10,e,0.09766602042563005
80,10,c,0.31612532448953845
80,10,s,0.23367786407470703
81,10,e,0.09744853469705787
81,10,c,0.182185676402649
81,10,s,0.19898128509521484
82,10,e,0.1034026834591086
82,10,c,0.2985789513095895
82,10,s,0.2307281494140625
83,10,e,0.09363871890794692
83,10,c,0.24850679510386678
83,10,s,0.3260002136230469
84,10,e,0.09452773951772443
84,10,c,0.3917036975745259
84,10,s,0.3667583465576172
85,10,e,0.0919408040094448
85,10,c,0.3338630026986375
85,10,s,0.32833194732666016
86,10,e,0.0885926684511625
86,10,c,0.23870667332401088
86,10,s,0.3117351531982422
87,10,e,0.09109566209929149
87,10,c,0.299112080246761
87,10,s,0.2979097366333008
88,10,e,0.10254704881643646
88,10,c,0.22937626953791573
88,10,s,0.31650257110595703
89,10,e,0.09503139067862844
89,10,c,0.34341864195858635
89,10,s,0.2861824035644531
90,10,e,0.09535094207806563
90,10,c,0.32630293423020706
90,10,s,0.28646087646484375
91,10,e,0.08927183441056336
91,10,c,0.2301167185903904
91,10,s,0.33701038360595703
92,10,e,0.09213921204252819
92,10,c,0.22866586235795303
92,10,s,0.35925769805908203
93,10,e,0.08664674351130612
93,10,c,0.1626366778953738
93,10,s,0.32990169525146484
94,10,e,0.08177525396824412
94,10,c,0.16564623339537243
94,10,s,0.2729816436767578
95,10,e,0.0967035506882207
95,10,c,0.19619817405760992
95,10,s,0.20526790618896484
96,10,e,0.08613546127220661
96,10,c,0.21043863983940805
96,10,s,0.214569091796875
97,10,e,0.10514638482678382
97,10,c,0.2309035867523893
97,10,s,0.19416332244873047
98,10,e,0.08731350896863926
98,10,c,0.19059250889732268
98,10,s,0.24864768981933594
99,10,e,0.1064293598484048
99,10,c,0.4012978602801752
99,10,s,0.2738456726074219
100,10,e,0.0961951301034445
100,10,c,0.30735340048714166
100,10,s,0.20672225952148438
101,10,e,0.10462174820084215
101,10,c,0.33401211446330825
101,10,s,0.21497726440429688
102,10,e,0.10253941773824095
102,10,c,0.2907237870213804
102,10,s,0.19594669342041016
103,10,e,0.10940261869033241
103,10,c,0.28121068824979256
103,10,s,0.1838817596435547
104,10,e,0.11192373614917574
104,10,c,0.280904217792311
104,10,s,0.1663494110107422
105,10,e,0.12018819383491869
105,10,c,0.3699339043456431
105,10,s,0.1345987319946289
106,10,e,0.11766898414562424
106,10,c,0.3003090532980175
106,10,s,0.15505027770996094
107,10,e,0.11632877603753689
107,10,c,0.4036756282859773
107,10,s,0.14714431762695312
108,10,e,0.12460563422534754
108,10,c,0.3856804758883351
108,10,s,0.12487983703613281
109,10,e,0.12842975828607509
