generation,trial,propertyType,property
120,-1,m,-1.0
1,24,e,-0.00015821333501356502
1,24,c,-0.02013422818791945
1,24,s,1.9073486328125e-6
2,24,e,0.023963477283937322
2,24,c,0.43717825855106346
2,24,s,0.4800071716308594
3,24,e,0.038779342861843126
3,24,c,0.3136735725961934
3,24,s,0.46845436096191406
4,24,e,0.05953357449618211
4,24,c,0.32319316025227246
4,24,s,0.3632478713989258
5,24,e,0.07000131598007628
5,24,c,0.34614479297052503
5,24,s,0.3619527816772461
6,24,e,0.0696092407271937
6,24,c,0.5041058096828935
6,24,s,0.34626007080078125
7,24,e,0.06966552403600165
7,24,c,0.4908838530694565
7,24,s,0.3170328140258789
8,24,e,0.069871578183502
8,24,c,0.3800631279487977
8,24,s,0.2971220016479492
9,24,e,0.07311025332592619
9,24,c,0.2543210499863857
9,24,s,0.25762081146240234
10,24,e,0.09323678297389841
10,24,c,0.10283248419634956
10,24,s,0.22518634796142578
11,24,e,0.09890899575647699
11,24,c,0.24945574579419738
11,24,s,0.21298789978027344
12,24,e,0.1097039435949666
12,24,c,0.22996107409074357
12,24,s,0.18066024780273438
13,24,e,0.09650121488476016
13,24,c,0.22386888878370004
13,24,s,0.1468658447265625
14,24,e,0.08698170406112214
14,24,c,0.22596728777289168
14,24,s,0.1454601287841797
15,24,e,0.10135493480365686
15,24,c,0.2972293440451991
15,24,s,0.127899169921875
16,24,e,0.11052243645864848
16,24,c,0.26895026053161963
16,24,s,0.08586692810058594
17,24,e,0.11423618088558733
17,24,c,0.2514701900262497
17,24,s,0.09472179412841797
18,24,e,0.13111258793849645
18,24,c,0.31969103748290484
18,24,s,0.09447669982910156
19,24,e,0.11454049233490494
19,24,c,0.402103354674691
19,24,s,0.09788131713867188
20,24,e,0.1178201875159519
20,24,c,0.5131679246388441
20,24,s,0.114654541015625
21,24,e,0.1090628862471878
21,24,c,0.35162899542078874
21,24,s,0.09678268432617188
22,24,e,0.12219406837840108
22,24,c,0.29459543373372066
22,24,s,0.1004180908203125
23,24,e,0.14281951617055236
23,24,c,0.3404223565532878
23,24,s,0.08520698547363281
24,24,e,0.14042890647779385
24,24,c,0.2920184309230922
24,24,s,0.06029987335205078
25,24,e,0.16415852184386218
25,24,c,0.3351769857619136
25,24,s,0.07499122619628906
26,24,e,0.16535287273585483
26,24,c,0.39214331716379297
26,24,s,0.08558368682861328
27,24,e,0.18397787817935707
27,24,c,0.4375657296499781
27,24,s,0.067840576171875
28,24,e,0.19115924680149826
28,24,c,0.3917953187509974
28,24,s,0.06110191345214844
29,24,e,0.18862554395075343
29,24,c,0.416911920733779
29,24,s,0.06035137176513672
30,24,e,0.22014896665514447
30,24,c,0.5056379547730118
30,24,s,0.07123565673828125
31,24,e,0.24412374829856273
31,24,c,0.48495024986234453
31,24,s,0.07126331329345703
32,24,e,0.2707343059120894
32,24,c,0.47743403960189634
32,24,s,0.09528446197509766
33,24,e,0.3512060821460616
33,24,c,0.46637514443398465
33,24,s,0.12395286560058594
34,24,e,0.4078146893998449
34,24,c,0.5270761890945272
34,24,s,0.19822120666503906
35,24,e,0.4311522295130306
35,24,c,0.48963388588668544
35,24,s,0.23841190338134766
36,24,e,0.4315423968571401
36,24,c,0.5260812617427773
36,24,s,0.31152915954589844
37,24,e,0.44018617755390166
37,24,c,0.5141352869842348
37,24,s,0.3436765670776367
38,24,e,0.4053267763596557
38,24,c,0.5085765641370581
38,24,s,0.2803153991699219
39,24,e,0.39605815553968704
39,24,c,0.44634722397434506
39,24,s,0.32285404205322266
40,24,e,0.45175573635429067
