bottle,trial,propertyType,property
90,9,s1,0.90032566860752
90,9,s0,0.9763150103621829
90,9,e1,0.9042684431285467
90,9,e0,0.99506538366642
90,9,c1,0.8838573887648097
90,9,c0,0.9917642053761168
90,8,s1,0.984210006908122
90,8,s0,0.9447350241784269
90,8,e1,0.9930915371329879
90,8,e0,0.9861830742659758
90,8,c1,0.994088209391625
90,8,c0,0.9802418809851963
90,7,s1,0.9674331392480016
90,7,s0,0.17892035922234287
90,7,e1,0.9703923019985197
90,7,e0,0.49272144090796943
90,7,c1,0.967385287846858
90,7,c0,0.5961020529334603
90,6,s1,0.955590644429093
90,6,s0,0.11082601401361887
90,6,e1,0.9703923019985197
90,6,e0,0.46015297310634096
90,6,c1,0.9742824654470602
90,6,c0,0.351813501429701
90,5,s1,0.9546037698608507
90,5,s0,0.8618375604460673
90,5,e1,0.9881569207994079
90,5,e0,0.9624969158647915
90,5,c1,0.9871161973451001
90,5,c0,0.9628474570874506
90,4,s1,0.9812493832033948
90,4,s0,0.939800651337215
90,4,e1,0.9871699975326919
90,4,e0,0.9743399950653837
90,4,c1,0.9869475460991552
90,4,c0,0.9700353123776585
90,3,s1,0.9822362577716373
90,3,s0,0.05358728905556104
90,3,e1,0.9871699975326919
90,3,e0,0.36540833950160373
90,3,c1,0.9860559759069505
90,3,c0,0.23624013555294818
90,2,s1,0.9496693970196388
90,2,s0,0.30425342938912464
90,2,e1,0.9832223044658278
90,2,e0,0.6555637799161115
90,2,c1,0.9833597595062883
90,2,c0,0.6856982529523057
90,25,s1,0.9368400276324879
90,25,s0,0.26971281950064147
90,25,e1,0.9684184554650875
90,25,e0,0.5746360720453985
90,25,c1,0.9626287350846457
90,25,c0,0.6068587779028246
90,24,s1,0.8845356755156419
90,24,s0,0.05556103819204579
90,24,e1,0.919072292129287
90,24,e0,0.39797680730323215
90,24,c1,0.9305233142812611
90,24,c0,0.25356736999945684
90,23,s1,0.8174282048751603
90,23,s0,0.9851968814763643
90,23,e1,0.9121638292622749
90,23,e0,0.9881569207994079
90,23,c1,0.8949584394986485
90,23,c0,0.9833597595062883
90,22,s1,0.9269712819500642
90,22,s0,0.25885719924997536
90,22,e1,0.9388107574636072
90,22,e0,0.5864791512459906
90,22,c1,0.938622689208316
90,22,c0,0.6972626335207907
90,21,s1,0.9674331392480016
90,21,s0,0.6318957860455936
90,21,e1,0.9832223044658278
90,21,e0,0.9279546015297311
90,21,c1,0.9788231904822551
90,21,c0,0.927637777779469
90,20,s1,0.9605250172703049
90,20,s0,0.27958156518306526
90,20,e1,0.9713792252652357
90,20,e0,0.68813224771774
90,20,c1,0.9750536759086174
90,20,c0,0.7020544304148265
90,1,s1,0.9585512681338202
90,1,s0,0.1177341359913155
90,1,e1,0.9773007648655317
90,1,e0,0.4473229706390328
90,1,c1,0.9669476508614996
90,1,c0,0.3237906991869323
90,19,s1,0.9111812888581862
90,19,s0,0.15523536958452583
90,19,e1,0.9694053787318037
90,19,e0,0.6368122378485073
90,19,c1,0.9674323176267813
90,19,c0,0.6648935377804428
90,18,s1,0.892430672061581
90,18,s0,0.1690516135399191
90,18,e1,0.9842092277325438
90,18,e0,0.4877868245743893
90,18,c1,0.9855163740112256
90,18,c0,0.4706488459139987
90,17,s1,0.8993387940392776
90,17,s0,0.3437284121188197
90,17,e1,0.917098445595855
90,17,e0,0.5983222304465827
90,17,c1,0.8889591332390789
90,17,c0,0.6907079991353157
90,16,s1,0.9111812888581862
90,16,s0,0.15720911872101057
90,16,e1,0.9832223044658278
90,16,e0,0.5055514433752776
90,16,c1,0.9779178769696882
90,16,c0,0.47123126735370696
90,15,s1,0.9654593901115168
90,15,s0,0.9319056547912761
90,15,e1,0.9940784603997039
90,15,e0,0.9664446089316555
90,15,c1,0.9917642053761168
90,15,c0,0.9645110435165001
90,14,s1,0.8450606927859469
90,14,s0,0.10983913944537649
90,14,e1,0.8746607451270664
90,14,e0,0.4058721934369603
90,14,c1,0.8439600707096353
90,14,c0,0.4445394420939752
90,13,s1,0.9378269022007303
90,13,s0,0.15326162044804106
90,13,e1,0.9901307673328399
90,13,e0,0.5164075993091537
90,13,c1,0.9820059527866605
90,13,c0,0.4506502115181596
90,12,s1,0.9368400276324879
90,12,s0,0.536168952926083
90,12,e1,0.9792746113989638
90,12,e0,0.8578830495928942
90,12,c1,0.9869475460991552
90,12,c0,0.8925686280689108
90,11,s1,0.9664462646797592
90,11,s0,0.9861837560446067
90,11,e1,0.9773007648655317
90,11,e0,0.9940784603997039
90,11,c1,0.975123964882405
90,11,c0,0.9930279879534754
90,10,s1,0.9348662784960031
90,10,s0,0.12365538340076976
90,10,e1,0.9516407599309153
90,10,e0,0.48186528497409326
90,10,c1,0.9409100892850204
90,10,c0,0.3721512604819012
75,9,s1,0.8720703125
75,9,s0,0.076171875
75,9,e1,0.9506793913836896
75,9,e0,0.40716628443194985
75,9,c1,0.9515776613952455
75,9,c0,0.23252575650335924
75,8,s1,0.3115234375
75,8,s0,0.0634765625
75,8,e1,0.5087667381815492
75,8,e0,0.3953293383640354
75,8,c1,0.4666954983259574
75,8,c0,0.15090012009390605
75,7,s1,0.8798828125
75,7,s0,0.060546875
75,7,e1,0.9674483983132351
75,7,e0,0.40124781139799265
75,7,c1,0.9586508997091815
75,7,c0,0.32464145226178026
75,6,s1,0.9755859375
75,6,s0,0.88671875
75,6,e1,0.9871766417597593
75,6,e0,0.9704076348302138
75,6,c1,0.98355243524597
75,6,c0,0.9569973532923218
75,5,s1,0.9296875
75,5,s0,0.103515625
75,5,e1,0.9812581687258021
75,5,e0,0.4081526966042761
75,5,c1,0.9795524424562995
75,5,c0,0.3443619671160484
75,4,s1,0.953125
75,4,s0,0.146484375
75,4,e1,0.9723804591748663
75,4,e0,0.4377450617740623
75,4,c1,0.9755095283436963
75,4,c0,0.4035069028970131
75,3,s1,0.822265625
75,3,s0,0.1328125
75,3,e1,0.842174052427807
75,3,e0,0.4190032304998644
75,3,c1,0.8297779601864498
75,3,c0,0.48204079719862336
75,2,s1,0.783203125
75,2,s0,0.0830078125
75,2,e1,0.9053044314566842
75,2,e0,0.35587285147098713
75,2,c1,0.9038391771742718
75,2,c0,0.4240064642223713
75,25,s1,0.857421875
75,25,s0,0.1083984375
75,25,e1,0.9625163374516041
75,25,e0,0.4180168183275382
75,25,c1,0.9527631398589954
75,25,c0,0.4599188651715982
75,24,s1,0.0859375
75,24,s0,0.060546875
75,24,e1,0.34699514192005126
75,24,e0,0.32332124978422233
75,24,c1,0.3261227406188347
75,24,c0,0.11897571753746099
75,23,s1,0.8837890625
75,23,s0,0.1259765625
75,23,e1,0.9447609183497324
75,23,e0,0.4130847574659071
75,23,c1,0.9347684611537972
75,23,c0,0.343259045798266
75,22,s1,0.8515625
75,22,s0,0.0771484375
75,22,e1,0.9358832087987966
75,22,e0,0.37165544622820645
75,22,c1,0.9395643773733563
75,22,c0,0.20122403362723423
75,21,s1,0.8115234375
75,21,s0,0.3291015625
75,21,e1,0.9210870262139035
75,21,e0,0.7405735986782077
75,21,c1,0.9061430452604222
75,21,c0,0.7456435958701845
75,20,s1,0.0966796875
75,20,s0,0.080078125
75,20,e1,0.4456363591526719
75,20,e0,0.3844788044684471
75,20,c1,0.44188923788545265
75,20,c0,0.37278329221423545
75,1,s1,0.8623046875
75,1,s0,0.08203125
75,1,e1,0.9220734383862297
75,1,e0,0.31542995240561267
75,1,c1,0.9231427354274117
75,1,c0,0.11825765219469118
75,19,s1,0.2646484375
75,19,s0,0.1259765625
75,19,e1,0.5038346773199182
75,19,e0,0.3963157505363616
75,19,c1,0.5274232086461557
75,19,c0,0.4283460442213216
75,18,s1,0.7041015625
75,18,s0,0.068359375
75,18,e1,0.9102364923183152
75,18,e0,0.3825059801237947
75,18,c1,0.8860574239663512
75,18,c0,0.19887375554879802
75,17,s1,0.1376953125
75,17,s0,0.1181640625
75,17,e1,0.4564868930482602
75,17,e0,0.4160439939828857
75,17,c1,0.4454296352974016
75,17,c0,0.2537800744783764
75,16,s1,0.9248046875
75,16,s0,0.0830078125
75,16,e1,0.9782989322088235
75,16,e0,0.3923701018470568
75,16,c1,0.9753418326288896
75,16,c0,0.24872411301532857
75,15,s1,0.791015625
75,15,s0,0.234375
75,15,e1,0.904318019284358
75,15,e0,0.4397178861187147
75,15,c1,0.9133602392953079
75,15,c0,0.4800152528792247
75,14,s1,0.2119140625
75,14,s0,0.09765625
75,14,e1,0.46635101477152224
75,14,e0,0.3657369731942492
75,14,c1,0.5762009806304335
75,14,c0,0.1414375841570687
75,13,s1,0.853515625
75,13,s0,0.09375
75,13,e1,0.909250080145989
75,13,e0,0.3963157505363616
75,13,c1,0.914580356036473
75,13,c0,0.36058288027496355
75,12,s1,0.908203125
75,12,s0,0.0634765625
75,12,e1,0.9743532835195187
75,12,e0,0.3973021627086878
75,12,c1,0.9694957321058901
75,12,c0,0.24448643374332132
75,11,s1,0.6669921875
75,11,s0,0.060546875
75,11,e1,0.9398288574881014
75,11,e0,0.4091391087766023
75,11,c1,0.9619396942612085
75,11,c0,0.20386356996174615
75,10,s1,0.109375
75,10,s0,0.0888671875
75,10,e1,0.4209760548445168
75,10,e0,0.3903972775024044
75,10,c1,0.36279079897207656
75,10,c0,0.1638564794405481
60,9,s1,0.0966796875
60,9,s0,0.0693359375
60,9,e1,0.3453791469194313
60,9,e0,0.3404423380726698
60,9,c1,0.3439291240168686
60,9,c0,0.14058646486923201
60,8,s1,0.0595703125
60,8,s0,0.103515625
60,8,e1,0.32365718799368093
60,8,e0,0.34932859399684046
60,8,c1,0.06375941066153493
60,8,c0,0.26490970579516016
60,7,s1,0.0498046875
60,7,s0,0.029296875
60,7,e1,0.3424170616113744
60,7,e0,0.3127962085308057
60,7,c1,0.04949783371179118
60,7,c0,0.05814531327135279
60,6,s1,0.0556640625
60,6,s0,0.0517578125
60,6,e1,0.3542654028436019
60,6,e0,0.2950236966824645
60,6,c1,0.20674155716129278
60,6,c0,0.17437416278632145
60,5,s1,0.1025390625
60,5,s0,0.052734375
60,5,e1,0.3878357030015798
60,5,e0,0.34735387045813587
60,5,c1,0.3316819338032862
60,5,c0,0.07633375944156195
60,4,s1,0.0751953125
60,4,s0,0.05859375
60,4,e1,0.32958135860979465
60,4,e0,0.36512638230647715
60,4,c1,0.1845502864288152
60,4,c0,0.21738531871451885
60,3,s1,0.0869140625
60,3,s0,0.08203125
60,3,e1,0.4065955766192733
60,3,e0,0.35031595576619273
60,3,c1,0.20921610709599472
60,3,c0,0.22558201089353744
60,2,s1,0.06640625
60,2,s0,0.08203125
60,2,e1,0.3108214849921011
60,2,e0,0.3404423380726698
60,2,c1,0.06896028373626517
60,2,c0,0.3217552233206004
60,25,s1,0.0419921875
60,25,s0,0.05859375
60,25,e1,0.30983412322274884
60,25,e0,0.3364928909952607
60,25,c1,0.040324086539999957
60,25,c0,0.17425421313290074
60,24,s1,0.048828125
60,24,s0,0.0595703125
60,24,e1,0.32958135860979465
60,24,e0,0.3700631911532386
60,24,c1,0.13321321110342002
60,24,c0,0.26778903320225167
60,23,s1,0.0458984375
60,23,s0,0.0400390625
60,23,e1,0.31773301737756715
60,23,e0,0.2782385466034755
60,23,c1,0.04211849813390557
60,23,c0,0.07377727913368988
60,22,s1,0.03515625
60,22,s0,0.0556640625
60,22,e1,0.3048973143759874
60,22,e0,0.3266192733017378
60,22,c1,0.11560482487982811
60,22,c0,0.028447156542221484
60,21,s1,0.0322265625
60,21,s0,0.0693359375
60,21,e1,0.3345181674565561
60,21,e0,0.32958135860979465
60,21,c1,0.0940111593670757
60,21,c0,0.1773907060715851
60,20,s1,0.0205078125
60,20,s0,0.0732421875
60,20,e1,0.35920221169036337
60,20,e0,0.38388625592417064
60,20,c1,0.07457606445852194
60,20,c0,0.25413289375863585
60,1,s1,0.0419921875
60,1,s0,0.0419921875
60,1,e1,0.33748025276461296
60,1,e0,0.34932859399684046
60,1,c1,0.1338915334858965
60,1,c0,0.015327241756138709
60,19,s1,0.107421875
60,19,s0,0.0498046875
60,19,e1,0.344391785150079
60,19,e0,0.27330173775671407
60,19,c1,0.3775983573642366
60,19,c0,0.17372479861225423
60,18,s1,0.03125
60,18,s0,0.0693359375
60,18,e1,0.2950236966824645
60,18,e0,0.3404423380726698
60,18,c1,0.08746269842779716
60,18,c0,0.1269690736113999
60,17,s1,0.0361328125
60,17,s0,0.0517578125
60,17,e1,0.33550552922590837
60,17,e0,0.32563191153238547
60,17,c1,0.22042876167972617
60,17,c0,0.2196168346576079
60,16,s1,0.126953125
60,16,s0,0.04296875
60,16,e1,0.4184439178515008
60,16,e0,0.35327804107424965
60,16,c1,0.413711361726274
60,16,c0,0.10825044502878282
60,15,s1,0.0390625
60,15,s0,0.103515625
60,15,e1,0.32760663507109006
60,15,e0,0.368088467614534
60,15,c1,0.11813302983338157
60,15,c0,0.31963183905899345
60,14,s1,0.0380859375
60,14,s0,0.1142578125
60,14,e1,0.33155608214849924
60,14,e0,0.26540284360189575
60,14,c1,0.16125423384136792
60,14,c0,0.12213967665691138
60,13,s1,0.107421875
60,13,s0,0.0546875
60,13,e1,0.32958135860979465
60,13,e0,0.34932859399684046
60,13,c1,0.1419964302516914
60,13,c0,0.17719261912384884
60,12,s1,0.083984375
60,12,s0,0.0576171875
60,12,e1,0.2930489731437599
60,12,e0,0.3108214849921011
60,12,c1,0.15597771435240826
60,12,c0,0.17915528661508395
60,11,s1,0.0625
60,11,s0,0.0390625
60,11,e1,0.3424170616113744
60,11,e0,0.34340442338072674
60,11,c1,0.09503098089872805
60,11,c0,0.04967344437576889
60,10,s1,0.0380859375
60,10,s0,0.0537109375
60,10,e1,0.3661137440758294
60,10,e0,0.32168246445497634
60,10,c1,0.09554783846135084
60,10,c0,0.12721692805122461
45,9,s1,0.037427929248509725
45,9,s0,0.06772207563764292
45,9,e1,0.31607036963826846
45,9,e0,0.28642024115437836
45,9,c1,0.11264533616818292
45,9,c0,0.05081245467642124
45,8,s1,0.061858692465552624
45,8,s0,0.04524577347796345
45,8,e1,0.3170587072543981
45,8,e0,0.2518284245898399
45,8,c1,0.10867152333133845
45,8,c0,0.07075714418944809
45,7,s1,0.05110915665005375
45,7,s0,0.04133685136323659
45,7,e1,0.28642024115437836
45,7,e0,0.24392172366080256
45,7,c1,0.07310651708446163
45,7,c0,0.037184215389026096
45,6,s1,0.029610085019055998
45,6,s0,0.0423140818919183
45,6,e1,0.272583514528563
45,6,e0,0.23700336034789488
45,6,c1,0.06036601999598106
45,6,c0,0.10898125112472402
45,5,s1,0.032541776605101144
45,5,s0,0.05306361770741718
45,5,e1,0.35560387428345525
45,5,e0,0.2676418264479146
45,5,c1,0.06364110961310197
45,5,c0,0.13825150340670034
45,4,s1,0.0237467018469657
45,4,s0,0.034496237662464575
45,4,e1,0.272583514528563
45,4,e0,0.2795018778414707
45,4,c1,0.027462333777556233
45,4,c0,0.0970429003030803
45,3,s1,0.034496237662464575
45,3,s0,0.0423140818919183
45,3,e1,0.30322198062858274
45,3,e0,0.33583712196086185
45,3,c1,0.15027709043673276
45,3,c0,0.03657596663498686
45,2,s1,0.04622300400664517
45,2,s0,0.05306361770741718
45,2,e1,0.2617118007511366
45,2,e0,0.2982802925479344
45,2,c1,0.03733485114052496
45,2,c0,0.18227853265196003
45,25,s1,0.05501807876478061
45,25,s0,0.04426854294928174
45,25,e1,0.34572049812215855
45,25,e0,0.32891875864795417
45,25,c1,0.13516529012724182
45,25,c0,0.03536009288518612
45,24,s1,0.020815010260920554
45,24,s0,0.04915469559269031
45,24,e1,0.2795018778414707
45,24,e0,0.3071753310931014
45,24,c1,0.02893849298666356
45,24,c0,0.05747025545498024
45,23,s1,0.037427929248509725
45,23,s0,0.05110915665005375
45,23,e1,0.31607036963826846
45,23,e0,0.2953152796995454
45,23,c1,0.06272873221502248
45,23,c0,0.11800791628813444
45,22,s1,0.04035962083455487
45,22,s0,0.05013192612137203
45,22,e1,0.3407788100415102
45,22,e0,0.25380509982209926
45,22,c1,0.0267759348044379
45,22,c0,0.21802979429718772
45,21,s1,0.039382390305873156
45,21,s0,0.005179321802013095
45,21,e1,0.29630361731567506
45,21,e0,0.29333860446728605
45,21,c1,0.04202013089624808
45,21,c0,0.07932958885164472
45,20,s1,0.034496237662464575
45,20,s0,0.05013192612137203
45,20,e1,0.3397904724253805
45,20,e0,0.27653686499308167
45,20,c1,0.12028196152081647
45,20,c0,0.09363938150214267
45,1,s1,0.04426854294928174
45,1,s0,0.04329131242060002
45,1,e1,0.2883969163866377
45,1,e0,0.2745601897608223
45,1,c1,0.1344295446980633
45,1,c0,0.03567720111947087
45,19,s1,0.04035962083455487
45,19,s0,0.04915469559269031
45,19,e1,0.28147855307373
45,19,e0,0.3091520063253608
45,19,c1,0.17749394270465452
45,19,c0,0.12615896710833732
45,18,s1,0.09019837779732238
45,18,s0,0.05404084823609889
45,18,e1,0.31310535678987944
45,18,e0,0.2943269420834157
45,18,c1,0.16272763493557696
45,18,c0,0.19790986584664055
45,17,s1,0.07456268933841494
45,17,s0,0.05501807876478061
45,17,e1,0.3091520063253608
45,17,e0,0.2824668906898597
45,17,c1,0.08791778216623938
45,17,c0,0.028490621125547465
45,16,s1,0.037427929248509725
45,16,s0,0.05013192612137203
45,16,e1,0.2992686301640641
45,16,e0,0.3121170191737498
45,16,c1,0.07508629362988663
45,16,c0,0.10811494107796424
45,15,s1,0.028632854490374282
45,15,s0,0.07749438092446008
45,15,e1,0.32298873295117614
45,15,e0,0.28147855307373
45,15,c1,0.02675637032008054
45,15,c0,0.19042070829319532
45,14,s1,0.04133685136323659
45,14,s0,0.032541776605101144
45,14,e1,0.23799169796402453
45,14,e0,0.3279304210318245
45,14,c1,0.04661280939958608
45,14,c0,0.09477330338511432
45,13,s1,0.04035962083455487
45,13,s0,0.04133685136323659
45,13,e1,0.24392172366080256
45,13,e0,0.25380509982209926
45,13,c1,0.187835030131425
45,13,c0,0.18519364586694814
45,12,s1,0.04133685136323659
45,12,s0,0.04035962083455487
45,12,e1,0.275548527376952
45,12,e0,0.2953152796995454
45,12,c1,0.06082877872132395
45,12,c0,0.07793036827412754
45,11,s1,0.037427929248509725
45,11,s0,0.03840515977719144
45,11,e1,0.3121170191737498
45,11,e0,0.3516505238189366
45,11,c1,0.20574000219091715
45,11,c0,0.043595702375365766
45,10,s1,0.034496237662464575
45,10,s0,0.05110915665005375
45,10,e1,0.2656651512156553
45,10,e0,0.3417671476576399
45,10,c1,0.047832977193043864
45,10,c0,0.0953509031900491
30,9,s1,0.0576171875
30,9,s0,0.03125
30,9,e1,0.2761970682026055
30,9,e0,0.21390255358069857
30,9,c1,0.06428494606257043
30,9,c0,0.12186921358060834
30,8,s1,0.015625
30,8,s0,0.0341796875
30,8,e1,0.24752181544014037
30,8,e0,0.21686895903888462
30,8,c1,0.013713059940383339
30,8,c0,0.08542857914860237
30,7,s1,0.0458984375
30,7,s0,0.05859375
30,7,e1,0.22379057177465203
30,7,e0,0.20698094084493113
30,7,c1,-0.018116192580953705
30,7,c0,0.1405386734491795
30,6,s1,0.0341796875
30,6,s0,0.0341796875
30,6,e1,0.220824166316466
30,6,e0,0.21983536449707064
30,6,c1,0.2586896163262433
30,6,c0,0.11453557385908683
30,5,s1,0.03515625
30,5,s0,0.0244140625
30,5,e1,0.22972338269102413
30,5,e0,0.22576817541344274
30,5,c1,0.13830728384020016
30,5,c0,0.12611126754405777
30,4,s1,0.0166015625
30,4,s0,0.029296875
30,4,e1,0.2317009863298148
30,4,e0,0.2554322299953032
30,4,c1,0.2057346261146794
30,4,c0,0.10534485082625766
30,3,s1,0.009765625
30,3,s0,0.029296875
30,3,e1,0.27125305910562875
30,3,e0,0.2544434281759078
30,3,c1,0.13169987589849658
30,3,c0,0.05582912782878185
30,2,s1,0.044921875
30,2,s0,0.0341796875
30,2,e1,0.198081724470373
30,2,e0,0.21785776085827996
30,2,c1,0.12462479264433271
30,2,c0,0.08858307948605793
30,25,s1,0.0302734375
30,25,s0,0.033203125
30,25,e1,0.1773168862630707
30,25,e0,0.2148913554000939
30,25,c1,-0.06028960372639216
30,25,c0,-0.04487919730664812
30,24,s1,0.046875
30,24,s0,0.0380859375
30,24,e1,0.29795070822930314
30,24,e0,0.198081724470373
30,24,c1,0.05750870284005932
30,24,c0,-0.017302487707304724
30,23,s1,0.0244140625
30,23,s0,0.0341796875
30,23,e1,0.22181296813586135
30,23,e0,0.23367858996860552
30,23,c1,0.03921338859439965
30,23,c0,0.09452053857224686
30,22,s1,0.017578125
30,22,s0,0.0283203125
30,22,e1,0.22972338269102413
30,22,e0,0.20895854448372184
30,22,c1,0.11587261771481336
30,22,c0,0.1550171494484704
30,21,s1,0.03125
30,21,s0,0.021484375
30,21,e1,0.2228017699552567
30,21,e0,0.18918250809581488
30,21,c1,0.09829727103895158
30,21,c0,0.03959320213257145
30,20,s1,0.0234375
30,20,s0,0.0322265625
