bottle,trial,propertyType,property
105,1,e0,1.0
105,1,c0,1.0
105,1,s0,1.0
105,1,e1,1.0
105,1,c1,1.0
105,1,s1,1.0
105,2,e0,1.0
105,2,c0,1.0
105,2,s0,1.0
105,2,e1,1.0
105,2,c1,1.0
105,2,s1,1.0
105,3,e0,0.5022590919191171
105,3,c0,0.9459048305310366
105,3,s0,0.5633486372960829
105,3,e1,1.0
105,3,c1,1.0
105,3,s1,1.0
105,4,e0,0.5773152605979804
105,4,c0,0.6632263141163864
105,4,s0,0.4324509133535215
105,4,e1,1.0
105,4,c1,1.0
105,4,s1,1.0
105,5,e0,0.46966891341382117
105,5,c0,0.4715781865010062
105,5,s0,0.5848393083911302
105,5,e1,0.9980248376663458
105,5,c1,0.9957857707138432
105,5,s1,0.998046302627723
105,6,e0,0.6444707799422266
105,6,c0,0.5932989892234021
105,6,s0,0.37774738692976456
105,6,e1,1.0
105,6,c1,1.0
105,6,s1,1.0
105,7,e0,0.6395328741080908
105,7,c0,0.6479677501896937
105,7,s0,0.599492038683208
105,7,e1,0.9723477273288399
105,7,c1,0.9838710321339722
105,7,s1,0.9716713881019831
105,8,e0,0.4894205367503641
105,8,c0,0.5017404437740408
105,8,s0,0.4891081371495555
105,8,e1,0.49830876725180845
105,8,c1,0.6438725628223121
105,8,s1,0.7929080785386343
105,9,e0,1.0
105,9,c0,1.0
105,9,s0,1.0
105,9,e1,1.0
105,9,c1,1.0
105,9,s1,1.0
105,10,e0,0.4854702120830555
105,10,c0,0.3860001886514461
105,10,s0,0.7030379994138908
105,10,e1,0.9446954546576797
105,10,c1,0.945671401076259
105,10,s1,0.945296473576243
105,11,e0,0.46374342641285826
105,11,c0,0.3857815414617879
105,11,s0,0.6835010256911205
105,11,e1,1.0
105,11,c1,1.0
105,11,s1,1.0
105,12,e0,0.9980248376663458
105,12,c0,1.0
105,12,s0,0.9306437432841653
105,12,e1,1.0
105,12,c1,1.0
105,12,s1,1.0
105,13,e0,0.9753104708293213
105,13,c0,1.0
105,13,s0,0.6639640519683501
105,13,e1,1.0
105,13,c1,1.0
105,13,s1,1.0
105,14,e0,0.9881490259980742
105,14,c0,0.988085261420129
105,14,s0,0.9882778157663378
105,14,e1,1.0
105,14,c1,1.0
105,14,s1,0.9931620591970304
105,15,e0,1.0
105,15,c0,1.0
105,15,s0,1.0
105,15,e1,1.0
105,15,c1,1.0
105,15,s1,1.0
105,16,e0,0.6454583611090536
105,16,c0,0.8405071056019778
105,16,s0,0.5721402754713295
105,16,e1,1.0
105,16,c1,1.0
105,16,s1,0.9169678616782261
105,17,e0,0.4992963484186356
105,17,c0,0.7937110907916224
105,17,s0,0.6336817426980561
105,17,e1,1.0
105,17,c1,1.0
105,17,s1,1.0
105,18,e0,0.4973211860849813
105,18,c0,0.558809623192105
105,18,s0,0.6532187164208264
105,18,e1,0.9990124188331728
105,18,c1,1.0
105,18,s1,0.9990231513138614
105,19,e0,1.0
105,19,c0,1.0
105,19,s0,0.9990231513138614
105,19,e1,1.0
105,19,c1,1.0
105,19,s1,0.9540881117514897
105,20,e0,1.0
105,20,c0,1.0
105,20,s0,1.0
105,20,e1,1.0
105,20,c1,1.0
105,20,s1,1.0
105,21,e0,0.987161444831247
105,21,c0,0.6888874472934015
105,21,s0,0.9814398749633682
105,21,e1,1.0
105,21,c1,1.0
105,21,s1,1.0
105,22,e0,1.0
105,22,c0,1.0
105,22,s0,1.0
105,22,e1,1.0
105,22,c1,1.0
105,22,s1,0.9990231513138614
105,23,e0,1.0
105,23,c0,1.0
105,23,s0,0.9247826511673342
105,23,e1,1.0
105,23,c1,1.0
105,23,s1,1.0
105,24,e0,0.4874453744167098
105,24,c0,0.7714285714285715
105,24,s0,0.6659177493406272
105,24,e1,0.488432955583537
105,24,c1,0.7532350133462692
105,24,s1,0.6356354400703331
105,25,e0,0.9832111201639385
105,25,c0,0.9852733876334074
105,25,s0,0.9814398749633682
105,25,e1,1.0
105,25,c1,1.0
105,25,s1,1.0
