reflection,trial,propertyType,property
50,1,e0,0.3825059801237947
50,1,c0,0.3443933616253347
50,1,s0,0.08096493798222483
50,1,e1,0.3617913245049444
50,1,c1,0.11735693066882484
50,1,s1,0.06533841195429242
50,2,e0,0.34798155409237747
50,2,c0,0.07932816717676126
50,2,s0,0.06533841195429242
50,2,e1,0.4180168183275382
50,2,c1,0.26866499646606473
50,2,s1,0.1229612266822932
50,3,e0,0.29767453330374094
50,3,c0,0.06486572734067488
50,3,s0,0.033108702021681806
50,3,e1,0.3016201819930458
50,3,c1,0.08145081160752521
50,3,s1,0.05557183318683465
50,4,e0,0.3302261349905058
50,4,c0,0.0713154123963213
50,4,s0,0.03603867565191913
50,4,e1,0.29175606026978373
50,4,c1,0.11475892817752878
50,4,s1,0.06533841195429242
50,5,e0,0.26906858030628095
50,5,c0,0.06824627976165032
50,5,s0,0.04385193866588534
50,5,e1,0.32726689847352713
50,5,c1,0.10858015435314468
50,5,s1,0.04971188592635999
50,6,e0,0.34304949323074646
50,6,c0,0.2760095851547268
50,6,s0,0.06729172770778397
50,6,e1,0.32430766195654853
50,6,c1,0.09931624764845208
50,6,s1,0.033108702021681806
50,7,e0,0.34699514192005126
50,7,c0,-0.011820944154169582
50,7,s0,0.04580525441937689
50,7,e1,0.32332124978422233
50,7,c1,0.15140622705158044
50,7,s1,0.04580525441937689
50,8,e0,0.31740277675026507
50,8,c0,0.28887576184690583
50,8,s0,0.08487156948920793
50,8,e1,0.2749870533402382
50,8,c1,0.1312923724666221
50,8,s1,0.05850180681707198
50,9,e0,0.2897832359251313
50,9,c0,0.1063546844714346
50,9,s0,0.04775857017286844
50,9,e1,0.2601908707553451
50,9,c1,0.18094593334957465
50,9,s1,0.04873522804961422
50,10,e0,0.3055658306823506
50,10,c0,0.2250474381885695
50,10,s0,0.06436175407754664
50,10,e1,0.3686962097112278
50,10,c1,0.02189189056814749
50,10,s1,0.04287528078913956
50,11,e0,0.32036201326724373
50,11,c0,0.06561644454070836
50,11,s0,0.06729172770778397
50,11,e1,0.3341717836798106
50,11,c1,0.07694004802995054
50,11,s1,0.04385193866588534
50,12,e0,0.31049789154398166
50,12,c0,0.06425774746425364
50,12,s0,0.04678191229612267
50,12,e1,0.3894108653300782
50,12,c1,0.18903109913258961
50,12,s1,0.04092196503564801
50,13,e0,0.34403590540307266
50,13,c0,0.1914973921326992
50,13,s0,0.056548491063580425
50,13,e1,0.3095114793716554
50,13,c1,0.15554526239326097
50,13,s1,0.05264185955659732
50,14,e0,0.3341717836798106
50,14,c0,0.024220117858044437
50,14,s0,0.04678191229612267
50,14,e1,0.34502231757539886
50,14,c1,0.10222675239605691
50,14,s1,0.06826838558452974
50,15,e0,0.3065522428546768
50,15,c0,0.15225777875135513
50,15,s0,0.04775857017286844
50,15,e1,0.35784567581563953
50,15,c1,0.041866741940605356
50,15,s1,0.017482175993749387
50,16,e0,0.31740277675026507
50,16,c0,0.16909982905813492
50,16,s0,0.05557183318683465
50,16,e1,0.3302261349905058
50,16,c1,0.05840198309586512
50,16,s1,0.08877820099619105
50,17,e0,0.32332124978422233
50,17,c0,0.22017626670677998
50,17,s0,0.06533841195429242
50,17,e1,0.34107666888609406
50,17,c1,0.11153723562625197
50,17,s1,0.0536185174333431
50,18,e0,0.2858375872358265
50,18,c0,0.20814457359637628
50,18,s0,0.08389491161246217
50,18,e1,0.3045794185100244
50,18,c1,0.04796176217420307
50,18,s1,0.07217501709151285
50,19,e0,0.3055658306823506
50,19,c0,0.28431689372090296
50,19,s0,0.06729172770778397
50,19,e1,0.31838918892259127
50,19,c1,0.13698826634082478
50,19,s1,0.04971188592635999
50,20,e0,0.32332124978422233
50,20,c0,0.092789391852543
50,20,s0,0.07119835921476707
50,20,e1,0.34206308105842026
50,20,c1,0.0393948972753377
50,20,s1,0.03408535989842758
50,21,e0,0.3321989593351582
50,21,c0,0.11872075630575529
50,21,s0,0.05264185955659732
50,21,e1,0.32923972281817954
50,21,c1,0.09944863917645518
50,21,s1,0.05166520167985155
50,22,e0,0.3637641488495968
50,22,c0,0.1182841414036235
50,22,s0,0.05850180681707198
50,22,e1,0.3391038445414416
50,22,c1,0.1630285405782401
50,22,s1,0.0702217013380213
50,23,e0,0.3095114793716554
50,23,c0,0.19236438786503934
50,23,s0,0.07705830647524173
50,23,e1,0.2897832359251313
50,23,c1,0.19299684730750286
50,23,s1,0.061431780447309306
50,24,e0,0.3381174323691154
50,24,c0,0.06734545731132147
50,24,s0,0.0536185174333431
50,24,e1,0.35883208798796573
50,24,c1,0.14410323816846624
50,24,s1,0.03603867565191913
50,25,e0,0.34206308105842026
50,25,c0,0.1868891550069711
50,25,s0,0.057525148940326204
50,25,e1,0.336144608024463
50,25,c1,0.1590388791452424
50,25,s1,0.07510499072175018
