bottle,trial,propertyType,property
100,1,e0,0.5639950678175093
100,1,c0,0.5624777533514265
100,1,s0,0.4912109375
100,1,e1,0.7790382244143034
100,1,c1,0.8243754346025615
100,1,s1,0.6484375
100,2,e0,0.8658446362515413
100,2,c0,0.8618086348955108
100,2,s0,0.7607421875
100,2,e1,0.6902589395807645
100,2,c1,0.7861013882311353
100,2,s1,0.5595703125
100,3,e0,0.963501849568434
100,3,c0,0.985321615941696
100,3,s0,0.8583984375
100,3,e1,0.9043156596794082
100,3,c1,0.8984682760015628
100,3,s1,0.8544921875
100,4,e0,0.9122071516646116
100,4,c0,0.9144292808090503
100,4,s0,0.783203125
100,4,e1,0.9200986436498151
100,4,c1,0.8847552947930324
100,4,s1,0.8828125
100,5,e0,0.835265104808878
100,5,c0,0.8686042669093436
100,5,s0,0.7783203125
100,5,e1,0.6872996300863132
100,5,c1,0.7255860027048059
100,5,s1,0.365234375
100,6,e0,0.7563501849568434
100,6,c0,0.7537453420549782
100,6,s0,0.5693359375
100,6,e1,0.7721331689272503
100,6,c1,0.8178475680841962
100,6,s1,0.646484375
100,7,e0,0.61134401972873
100,7,c0,0.7118077548861372
100,7,s0,0.5546875
100,7,e1,0.9053020961775585
100,7,c1,0.9578643809641549
100,7,s1,0.6416015625
100,8,e0,0.8392108508014796
100,8,c0,0.8567844994278858
100,8,s0,0.7353515625
100,8,e1,0.8332922318125771
100,8,c1,0.8777315902887899
100,8,s1,0.78125
100,9,e0,0.5294697903822442
100,9,c0,0.533447853235717
100,9,s0,0.3603515625
100,9,e1,0.8579531442663378
100,9,c1,0.9114153885209519
100,9,s1,0.779296875
100,10,e0,0.9447595561035759
100,10,c0,0.9602058319912017
100,10,s0,0.8310546875
100,10,e1,0.8717632552404438
100,10,c1,0.8628955219253748
100,10,s1,0.732421875
100,11,e0,0.9112207151664612
100,11,c0,0.913280084744374
100,11,s0,0.8466796875
100,11,e1,0.5699136868064119
100,11,c1,0.6819119226077816
100,11,s1,0.4619140625
100,12,e0,0.9102342786683107
100,12,c0,0.9417866253791731
100,12,s0,0.69921875
100,12,e1,0.9871763255240444
100,12,c1,0.985321615941696
100,12,s1,0.984375
100,13,e0,0.8303329223181257
100,13,c0,0.8626395404537822
100,13,s0,0.576171875
100,13,e1,0.878668310727497
100,13,c1,0.9286904299066974
100,13,s1,0.8642578125
100,14,e0,0.7977805178791615
100,14,c0,0.8009754173188495
100,14,s0,0.6279296875
100,14,e1,0.8905055487053021
100,14,c1,0.8956900444384707
100,14,s1,0.8564453125
100,15,e0,0.8392108508014796
100,15,c0,0.8228777721200322
100,15,s0,0.703125
100,15,e1,0.8500616522811344
100,15,c1,0.8754228327753591
100,15,s1,0.3349609375
100,16,e0,0.7563501849568434
100,16,c0,0.8311901071403927
100,16,s0,0.603515625
100,16,e1,0.8974106041923551
100,16,c1,0.8919815622022784
100,16,s1,0.83203125
100,17,e0,0.8293464858199754
100,17,c0,0.8204300121503945
100,17,s0,0.7998046875
100,17,e1,0.9625154130702837
100,17,c1,0.9655259075052479
100,17,s1,0.8740234375
100,18,e0,0.9664611590628853
100,18,c0,0.9648289548237036
100,18,s0,0.8076171875
100,18,e1,0.8747225647348952
100,18,c1,0.9041486437913705
100,18,s1,0.84765625
100,19,e0,0.9378545006165228
100,19,c0,0.9311665849230859
100,19,s0,0.80859375
100,19,e1,0.9921085080147966
100,19,c1,0.9925309447769698
100,19,s1,0.935546875
100,20,e0,0.8914919852034525
100,20,c0,0.8532466012900253
100,20,s0,0.724609375
100,20,e1,0.8806411837237977
100,20,c1,0.8912147271072501
100,20,s1,0.6533203125
100,21,e0,0.5906288532675709
100,21,c0,0.8316867386431886
100,21,s0,0.4873046875
100,21,e1,0.8155363748458693
100,21,c1,0.7729781032789285
100,21,s1,0.6630859375
100,22,e0,0.7780517879161529
100,22,c0,0.8105780931154264
100,22,s0,0.6455078125
100,22,e1,0.9210850801479655
100,22,c1,0.9421587503507429
100,22,s1,0.916015625
100,23,e0,0.8382244143033292
100,23,c0,0.8676739519069666
100,23,s0,0.6650390625
100,23,e1,0.6379778051787917
100,23,c1,0.7535079365097198
100,23,s1,0.4736328125
100,24,e0,0.9674475955610358
100,24,c0,0.977159020527289
100,24,s0,0.8046875
100,24,e1,0.5087546239210851
100,24,c1,0.598201962697175
100,24,s1,0.283203125
100,25,e0,0.7652281134401973
100,25,c0,0.8024422295258101
100,25,s0,0.6240234375
100,25,e1,0.8076448828606658
100,25,c1,0.8203925489376106
100,25,s1,0.6806640625
10,1,e0,0.005972064557524307
10,1,c0,-0.03746397694524493
10,1,s0,0.2970432739377325
10,1,e1,0.00893341888356942
10,1,c1,-0.03746397694524493
10,1,s1,0.16780888975915412
10,2,e0,0.0316371353832486
10,2,c0,0.07780979827089338
10,2,s0,0.0708831016252203
10,2,e1,0.009920536992251122
10,2,c1,-0.03746397694524493
10,2,s1,0.1707460348541218
10,3,e0,0.0039978283401609
10,3,c0,-0.03746397694524493
10,3,s0,0.21480321127863716
10,3,e1,0.01189477320961453
10,3,c1,0.19308357348703178
10,3,s1,0.18053651850401412
10,4,e0,0.004984946448842603
10,4,c0,-0.03746397694524493
10,4,s0,0.23927942040336794
10,4,e1,0.009920536992251122
10,4,c1,-0.03746397694524493
10,4,s1,0.07284119835519876
10,5,e0,0.01189477320961453
10,5,c0,-0.03746397694524493
10,5,s0,0.1227726649696495
10,5,e1,0.02275307240511327
10,5,c1,-0.03746397694524493
10,5,s1,0.1257098100646172
10,6,e0,0.016830363753023048
10,6,c0,0.07780979827089338
10,6,s0,0.12766790679459566
10,6,e1,0.005972064557524307
10,6,c1,-0.03746397694524493
10,6,s1,0.12473076169962798
10,7,e0,0.0010364740141157879
10,7,c0,-0.03746397694524493
10,7,s0,0.1159193264147249
10,7,e1,0.013869009426977937
10,7,c1,-0.03746397694524493
10,7,s1,0.055218327785392596
10,8,e0,0.006959182666206011
10,8,c0,-0.03746397694524493
10,8,s0,0.1257098100646172
10,8,e1,0.014856127535659642
10,8,c1,-0.03746397694524493
10,8,s1,0.12766790679459566
10,9,e0,0.004984946448842603
10,9,c0,-0.03746397694524493
10,9,s0,0.26669277462306634
10,9,e1,0.012881891318296234
10,9,c1,-0.03746397694524493
10,9,s1,0.07871548854513413
10,10,e0,0.007946300774887715
10,10,c0,-0.03746397694524493
10,10,s0,0.19424319561386333
10,10,e1,0.013869009426977937
10,10,c1,0.07780979827089338
10,10,s1,0.12766790679459566
10,11,e0,0.0039978283401609
10,11,c0,-0.03746397694524493
10,11,s0,0.1511650675543372
10,11,e1,0.005972064557524307
10,11,c1,-0.03746397694524493
10,11,s1,0.11689837477971413
10,12,e0,0.017817481861704752
10,12,c0,-0.03746397694524493
10,12,s0,0.18543176032896025
10,12,e1,0.01189477320961453
10,12,c1,0.19308357348703178
10,12,s1,0.14235363226943412
10,13,e0,0.014856127535659642
10,13,c0,-0.03746397694524493
10,13,s0,0.14529077736440182
10,13,e1,0.012881891318296234
10,13,c1,-0.03746397694524493
10,13,s1,0.1864108086939495
10,14,e0,0.006959182666206011
10,14,c0,0.19308357348703178
10,14,s0,0.10906598785980028
10,14,e1,0.02275307240511327
10,14,c1,0.07780979827089338
10,14,s1,0.1707460348541218
10,15,e0,0.015843245644341343
10,15,c0,-0.03746397694524493
10,15,s0,0.08948502056001567
10,15,e1,0.007946300774887715
10,15,c1,-0.03746397694524493
10,15,s1,0.15312316428431566
10,16,e0,0.0020235921227974916
10,16,c0,-0.03746397694524493
10,16,s0,0.21969845310358332
10,16,e1,0.023740190513794973
10,16,c1,-0.03746397694524493
10,16,s1,0.18543176032896025
10,17,e0,0.006959182666206011
10,17,c0,-0.03746397694524493
10,17,s0,0.1991384374388095
10,17,e1,0.005972064557524307
10,17,c1,0.07780979827089338
10,17,s1,0.21480321127863716
10,18,e0,0.0039978283401609
10,18,c0,-0.03746397694524493
10,18,s0,0.19815938907382025
10,18,e1,0.014856127535659642
10,18,c1,-0.03746397694524493
10,18,s1,0.21774035637360487
10,19,e0,0.017817481861704752
10,19,c0,-0.03746397694524493
10,19,s0,0.20990796945369103
10,19,e1,0.018804599970386453
