bottle,trial,propertyType,property
200,1,e0,1.0
200,1,c0,1.0
200,1,s0,1.0
200,1,e1,1.0
200,1,c1,1.0
200,1,s1,1.0
200,2,e0,1.0
200,2,c0,1.0
200,2,s0,1.0
200,2,e1,1.0
200,2,c1,1.0
200,2,s1,1.0
200,3,e0,1.0
200,3,c0,1.0
200,3,s0,1.0
200,3,e1,1.0
200,3,c1,1.0
200,3,s1,1.0
200,4,e0,0.9604713788077179
200,4,c0,1.0
200,4,s0,0.9140625
200,4,e1,1.0
200,4,c1,1.0
200,4,s1,1.0
200,5,e0,1.0
200,5,c0,1.0
200,5,s0,1.0
200,5,e1,1.0
200,5,c1,1.0
200,5,s1,1.0
200,6,e0,1.0
200,6,c0,1.0
200,6,s0,1.0
200,6,e1,1.0
200,6,c1,1.0
200,6,s1,1.0
200,7,e0,1.0
200,7,c0,1.0
200,7,s0,1.0
200,7,e1,1.0
200,7,c1,1.0
200,7,s1,1.0
200,8,e0,1.0
200,8,c0,1.0
200,8,s0,1.0
200,8,e1,1.0
200,8,c1,1.0
200,8,s1,1.0
200,9,e0,1.0
200,9,c0,1.0
200,9,s0,1.0
200,9,e1,1.0
200,9,c1,1.0
200,9,s1,1.0
200,10,e0,1.0
200,10,c0,1.0
200,10,s0,1.0
200,10,e1,1.0
200,10,c1,1.0
200,10,s1,1.0
200,11,e0,0.2973787583071868
200,11,c0,0.07514450867052021
200,11,s0,0.2666015625
200,11,e1,1.0
200,11,c1,1.0
200,11,s1,1.0
200,12,e0,1.0
200,12,c0,1.0
200,12,s0,1.0
200,12,e1,1.0
200,12,c1,1.0
200,12,s1,1.0
200,13,e0,1.0
200,13,c0,1.0
200,13,s0,1.0
200,13,e1,1.0
200,13,c1,1.0
200,13,s1,1.0
200,14,e0,1.0
200,14,c0,1.0
200,14,s0,0.990234375
200,14,e1,1.0
200,14,c1,1.0
200,14,s1,1.0
200,15,e0,1.0
200,15,c0,1.0
200,15,s0,1.0
200,15,e1,1.0
200,15,c1,1.0
200,15,s1,1.0
200,16,e0,1.0
200,16,c0,1.0
200,16,s0,1.0
200,16,e1,1.0
200,16,c1,1.0
200,16,s1,1.0
200,17,e0,1.0
200,17,c0,1.0
200,17,s0,1.0
200,17,e1,1.0
200,17,c1,1.0
200,17,s1,1.0
200,18,e0,1.0
200,18,c0,1.0
200,18,s0,1.0
200,18,e1,1.0
200,18,c1,1.0
200,18,s1,1.0
200,19,e0,1.0
200,19,c0,1.0
200,19,s0,1.0
200,19,e1,1.0
200,19,c1,1.0
200,19,s1,0.9990234375
200,20,e0,1.0
200,20,c0,1.0
200,20,s0,1.0
200,20,e1,1.0
200,20,c1,1.0
200,20,s1,1.0
200,21,e0,1.0
200,21,c0,1.0
200,21,s0,1.0
200,21,e1,1.0
200,21,c1,1.0
200,21,s1,1.0
200,22,e0,1.0
200,22,c0,1.0
200,22,s0,1.0
200,22,e1,1.0
200,22,c1,1.0
200,22,s1,1.0
200,23,e0,1.0
200,23,c0,1.0
200,23,s0,1.0
200,23,e1,1.0
200,23,c1,1.0
200,23,s1,1.0
200,24,e0,0.9772710428144378
200,24,c0,0.9669195722649206
200,24,s0,0.720703125
200,24,e1,1.0
200,24,c1,1.0
200,24,s1,1.0
200,25,e0,1.0
200,25,c0,1.0
200,25,s0,1.0
200,25,e1,1.0
200,25,c1,1.0
200,25,s1,1.0
