bottle,trial,propertyType,property
200,1,e0,0.9792792126100792
200,1,c0,1.0
200,1,s0,0.9013671875
200,1,e1,1.0
200,1,c1,1.0
200,1,s1,1.0
200,2,e0,0.8677816423690767
200,2,c0,0.7222215895374539
200,2,s0,0.8310546875
200,2,e1,1.0
200,2,c1,1.0
200,2,s1,1.0
200,3,e0,0.9881595500629023
200,3,c0,1.0
200,3,s0,0.9794921875
200,3,e1,1.0
200,3,c1,1.0
200,3,s1,1.0
200,4,e0,1.0
200,4,c0,1.0
200,4,s0,0.9794921875
200,4,e1,0.9970398875157256
200,4,c1,1.0
200,4,s1,0.9296875
200,5,e0,0.7602308887737734
200,5,c0,0.8429612143518782
200,5,s0,0.861328125
200,5,e1,1.0
200,5,c1,1.0
200,5,s1,1.0
200,6,e0,0.747403734675251
200,6,c0,1.0
200,6,s0,0.7646484375
200,6,e1,1.0
200,6,c1,1.0
200,6,s1,1.0
200,7,e0,0.7395101013838526
200,7,c0,0.5959021144218036
200,7,s0,0.6923828125
200,7,e1,1.0
200,7,c1,1.0
200,7,s1,1.0
200,8,e0,0.5017143984804756
200,8,c0,0.8294501515116609
200,8,s0,0.107421875
200,8,e1,1.0
200,8,c1,1.0
200,8,s1,1.0
200,9,e0,0.9930930708700264
200,9,c0,1.0
200,9,s0,0.8466796875
200,9,e1,1.0
200,9,c1,1.0
200,9,s1,1.0
200,10,e0,0.9072498088260688
200,10,c0,0.9560179033402468
200,10,s0,0.740234375
200,10,e1,1.0
200,10,c1,1.0
200,10,s1,0.998046875
200,11,e0,0.5530230148745653
200,11,c0,0.9739227288205793
200,11,s0,0.47265625
200,11,e1,0.9072498088260688
200,11,c1,0.9568940161701263
200,11,s1,0.962890625
200,12,e0,0.8954093588889711
200,12,c0,0.6583408983906314
200,12,s0,0.814453125
200,12,e1,1.0
200,12,c1,1.0
200,12,s1,1.0
200,13,e0,0.6457732060484965
200,13,c0,0.7505541745668134
200,13,s0,0.7626953125
200,13,e1,1.0
200,13,c1,1.0
200,13,s1,1.0
200,14,e0,0.9161301462788919
200,14,c0,0.9189732038759955
200,14,s0,0.90234375
200,14,e1,1.0
200,14,c1,1.0
200,14,s1,1.0
200,15,e0,0.5480894940674412
200,15,c0,0.7138421846953683
200,15,s0,0.48828125
200,15,e1,1.0
200,15,c1,1.0
200,15,s1,0.998046875
200,16,e0,0.9536249044130344
200,16,c0,0.980653254399448
200,16,s0,0.7265625
200,16,e1,1.0
200,16,c1,1.0
200,16,s1,1.0
200,17,e0,0.9378376378302375
200,17,c0,0.6946743223741043
200,17,s0,0.8642578125
200,17,e1,1.0
200,17,c1,1.0
200,17,s1,1.0
200,18,e0,0.8381805175263327
200,18,c0,0.7036913109924166
200,18,s0,0.869140625
200,18,e1,1.0
200,18,c1,1.0
200,18,s1,1.0
200,19,e0,0.7612175929351982
200,19,c0,0.8872495397740502
200,19,s0,0.9052734375
200,19,e1,1.0
200,19,c1,1.0
200,19,s1,1.0
200,20,e0,0.494807469350502
200,20,c0,0.09604519774011294
200,20,s0,0.9736328125
200,20,e1,1.0
200,20,c1,1.0
200,20,s1,1.0
200,21,e0,0.9891462542243272
200,21,c0,0.9882198912345908
200,21,s0,0.8701171875
200,21,e1,1.0
200,21,c1,1.0
200,21,s1,1.0
200,22,e0,0.9723722834801056
200,22,c0,0.7148325910253095
200,22,s0,0.9384765625
200,22,e1,1.0
200,22,c1,1.0
200,22,s1,1.0
200,23,e0,1.0
200,23,c0,1.0
200,23,s0,0.8662109375
200,23,e1,1.0
200,23,c1,1.0
200,23,s1,1.0
200,24,e0,0.7030020474111349
200,24,c0,0.8461290535599807
200,24,s0,0.4541015625
200,24,e1,1.0
200,24,c1,1.0
200,24,s1,1.0
200,25,e0,0.8677816423690767
200,25,c0,0.9355520275308014
200,25,s0,0.59375
200,25,e1,1.0
200,25,c1,1.0
200,25,s1,1.0
