generation,trial,propertyType,property
50,-1,m,-1.0
1,24,e,0.012098790120987898
1,24,c,-0.037037037037037035
1,24,s,-0.011302795954788817
2,24,e,0.26407359264073593
2,24,c,0.3490853954743621
2,24,s,0.032322030537378546
3,24,e,0.37606239376062395
3,24,c,0.2906722478952934
3,24,s,0.1433670434265318
4,24,e,0.628037196280372
4,24,c,0.2925385802563255
4,24,s,0.09974221693436446
5,24,e,0.64003599640036
5,24,c,0.6267542649892788
5,24,s,0.1433670434265318
6,24,e,0.84001599840016
6,24,c,0.8027392257032631
6,24,s,0.6391037081102519
7,24,e,0.896010398960104
7,24,c,0.8572380163275111
7,24,s,0.8413642673012096
8,24,e,0.912008799120088
8,24,c,0.8930614301278372
8,24,s,0.9206821336506048
9,24,e,0.952004799520048
9,24,c,0.9414018064508922
9,24,s,0.9206821336506048
10,24,e,0.968003199680032
10,24,c,0.9500311012419239
10,24,s,0.968272853460242
11,24,e,0.928007199280072
11,24,c,0.8952450307225875
11,24,s,0.9603410668253024
12,24,e,0.932006799320068
12,24,c,0.9558304351181065
12,24,s,0.8611937338885584
13,24,e,0.928007199280072
13,24,c,0.9492802646596978
13,24,s,0.9048185603807257
14,24,e,1.0
14,24,c,1.0
14,24,s,0.9246480269680746
15,24,e,0.96000399960004
15,24,c,0.9605130760509695
15,24,s,0.9603410668253024
16,24,e,0.796020397960204
16,24,c,0.8424240917018501
16,24,s,0.7501487209994051
17,24,e,0.944005599440056
17,24,c,0.9647441257305132
17,24,s,0.7779099742216934
18,24,e,0.948005199480052
18,24,c,0.9197231533361014
18,24,s,0.900852667063256
19,24,e,0.98000199980002
19,24,c,0.9707047056252259
19,24,s,0.9365457069204839
20,24,e,0.992000799920008
20,24,c,0.9827977666215156
20,24,s,0.9801705334126511
21,24,e,0.94000599940006
21,24,c,0.9339722759968921
21,24,s,0.9325798136030141
22,24,e,1.0
22,24,c,1.0
22,24,s,0.9405116002379535
23,24,e,1.0
23,24,c,1.0
23,24,s,1.0
24,24,e,1.0
24,24,c,1.0
24,24,s,1.0
25,24,e,0.976002399760024
25,24,c,0.9827977666215156
25,24,s,0.9762046400951815
26,24,e,0.968003199680032
26,24,c,0.9804698037501507
26,24,s,0.9524092801903629
27,24,e,0.984001599840016
27,24,c,0.9827977666215156
27,24,s,0.9524092801903629
28,24,e,0.952004799520048
28,24,c,0.9329649960763644
28,24,s,0.9365457069204839
29,24,e,0.956004399560044
29,24,c,0.9423576395231349
29,24,s,0.916716240333135
30,24,e,0.952004799520048
30,24,c,0.9227733665021078
30,24,s,0.9286139202855443
31,24,e,0.98000199980002
31,24,c,0.9762475961631069
31,24,s,0.9325798136030141
32,24,e,0.988001199880012
32,24,c,0.9827977666215156
32,24,s,0.9920682133650605
33,24,e,1.0
33,24,c,1.0
33,24,s,0.9881023200475907
34,24,e,0.984001599840016
34,24,c,0.9730326684965909
34,24,s,0.9841364267301209
35,24,e,0.992000799920008
35,24,c,0.9804698037501507
35,24,s,0.9762046400951815
36,24,e,1.0
36,24,c,1.0
36,24,s,0.9920682133650605
37,24,e,0.92000799920008
37,24,c,0.912635813699029
37,24,s,0.9206821336506048
38,24,e,0.968003199680032
38,24,c,0.9427300942012891
38,24,s,0.9087844536981955
39,24,e,0.996000399960004
39,24,c,1.0
39,24,s,0.9603410668253024
40,24,e,1.0
40,24,c,1.0
40,24,s,0.9960341066825302
41,24,e,0.976002399760024
41,24,c,0.9595598729016194
41,24,s,0.9762046400951815
42,24,e,0.816018398160184
42,24,c,0.7949589472901034
42,24,s,0.801705334126512
43,24,e,0.788021197880212
43,24,c,0.8586389236274377
43,24,s,0.6549672813801308
44,24,e,0.908009199080092
44,24,c,0.9241995730724079
44,24,s,0.7541146143168749
45,24,e,0.808019198080192
45,24,c,0.8205804071288886
45,24,s,0.718421574459647
46,24,e,0.824017598240176
46,24,c,0.8427869230746162
46,24,s,0.6668649613325401
47,24,e,0.892010798920108
47,24,c,0.9030622074624972
47,24,s,0.7342851477295261
48,24,e,0.8000199980002
48,24,c,0.8224156711049041
48,24,s,0.7144556811421773
49,24,e,0.98000199980002
49,24,c,0.9827977666215156
49,24,s,0.7858417608566329
50,24,e,0.996000399960004
50,24,c,0.9902349018750753
50,24,s,0.9762046400951815
