generation,trial,propertyType,property
50,-1,m,-1.0
1,10,e,-0.010282519716481973
1,10,c,-0.007194244604316586
1,10,s,-0.031634092282893406
2,10,e,0.38903863432165314
2,10,c,0.2469554666665053
2,10,s,-0.0155148095909732
3,10,e,0.500848557452331
3,10,c,0.3037131341618314
3,10,s,0.08120088656054805
4,10,e,0.5886992113407208
4,10,c,0.4024570955308869
4,10,s,0.2625428168446504
5,10,e,0.3930318458620345
5,10,c,0.2514545420121446
5,10,s,0.0932903485794882
6,10,e,0.4529300189677548
6,10,c,0.3927925931192699
6,10,s,0.07314124521458794
7,10,e,0.4050114804831786
7,10,c,0.6173862883802148
7,10,s,0.12955873463630868
8,10,e,0.5807127882599581
8,10,c,0.7165210616713493
8,10,s,0.40761636107193233
9,10,e,0.5128281920734751
9,10,c,0.7298520655296098
9,10,s,0.4841829538585533
10,10,e,0.6685634421483478
10,10,c,0.8182619466097835
10,10,s,0.46403385049365303
11,10,e,0.772386942198263
11,10,c,0.7759138499159921
11,10,s,0.532540801934314
12,10,e,0.9041629230308476
12,10,c,0.8628736356695601
12,10,s,0.7380616562562966
13,10,e,0.9680543076769492
13,10,c,0.9616493904092149
13,10,s,0.8791053798105984
14,10,e,0.9241289807327543
14,10,c,0.9435167084160334
14,10,s,0.8911948418295386
15,10,e,0.6965159229310173
15,10,c,0.7359053560198547
15,10,s,0.6453757807777554
16,10,e,0.8642308076270341
16,10,c,0.850993176491902
16,10,s,0.6332863187588152
17,10,e,0.9480882499750425
17,10,c,0.9232987808184299
17,10,s,0.8589562764456982
18,10,e,0.9520814615154238
18,10,c,0.9521653023022737
18,10,s,0.9153737658674189
19,10,e,0.9281221922731356
19,10,c,0.9507398253889153
19,10,s,0.9073141245214588
20,10,e,1.0
20,10,c,1.0
20,10,s,0.923433407213379
21,10,e,1.0
21,10,c,1.0
21,10,s,1.0
22,10,e,0.9720475192173306
22,10,c,0.9490514781836251
22,10,s,0.9717912552891397
23,10,e,1.0
23,10,c,1.0
23,10,s,0.9717912552891397
24,10,e,0.9840271538384746
24,10,c,0.9810318237861175
24,10,s,0.9838807173080798
25,10,e,0.9520814615154238
25,10,c,0.9435167084160334
25,10,s,0.9355228692323192
26,10,e,0.9960067884596187
26,10,c,0.9905159118930588
26,10,s,0.9476123312512593
27,10,e,1.0
27,10,c,1.0
27,10,s,0.9959701793270199
28,10,e,1.0
28,10,c,1.0
28,10,s,1.0
29,10,e,1.0
29,10,c,1.0
29,10,s,1.0
30,10,e,0.9161425576519916
30,10,c,0.9435167084160334
30,10,s,0.9153737658674189
31,10,e,0.8562443845462714
31,10,c,0.7882557202961169
31,10,s,0.8105984283699376
32,10,e,0.9840271538384746
32,10,c,0.9711334785161562
32,10,s,0.8549264557727181
33,10,e,1.0
33,10,c,1.0
33,10,s,0.9838807173080798
34,10,e,1.0
34,10,c,1.0
34,10,s,1.0
35,10,e,0.9840271538384746
35,10,c,0.9905159118930588
35,10,s,0.9838807173080798
36,10,e,0.9560746730558052
36,10,c,0.9476174136264717
36,10,s,0.9395526899052992
37,10,e,0.988020365378856
37,10,c,0.9905159118930588
37,10,s,0.9597017932701994
38,10,e,0.9680543076769492
38,10,c,0.944942185329392
38,10,s,0.9597017932701994
39,10,e,0.9920135769192373
39,10,c,0.9810318237861175
39,10,s,0.9556719725972195
40,10,e,0.9161425576519916
40,10,c,0.9138232803552836
40,10,s,0.9032843038484788
41,10,e,0.9800339422980933
41,10,c,0.9616493904092149
41,10,s,0.8992544831754987
42,10,e,0.9560746730558052
42,10,c,0.9376547361420003
42,10,s,0.9435825105782792
43,10,e,0.8921832884097035
43,10,c,0.8710311131291308
43,10,s,0.8670159177916583
44,10,e,0.932115403813517
44,10,c,0.9354580972224508
44,10,s,0.846866814426758
45,10,e,0.9001697114904662
45,10,c,0.9226025336791758
45,10,s,0.8347773524078178
46,10,e,0.9800339422980933
46,10,c,0.965758683263448
46,10,s,0.9153737658674189
47,10,e,0.9760407307577119
47,10,c,0.9544262734363332
47,10,s,0.9717912552891397
48,10,e,1.0
48,10,c,1.0
48,10,s,0.9758210759621196
49,10,e,1.0
49,10,c,1.0
49,10,s,1.0
50,10,e,1.0
50,10,c,1.0
50,10,s,1.0
50,-1,m,-1.0
1,11,e,-0.0035985605757696934
1,11,c,-0.029411764705882346
1,11,s,-0.062057476051645154
2,11,e,0.3922431027588964
2,11,c,0.3481330799598277
2,11,s,0.0004164931278633888
3,11,e,0.612155137944822
3,11,c,0.6464310944684342
3,11,s,0.07538525614327364
4,11,e,0.804078368652539
4,11,c,0.8082400574859397
4,11,s,0.4252394835485214
5,11,e,0.9560175929628149
5,11,c,0.9469189632041554
5,11,s,0.7584339858392336
6,11,e,0.9400239904038384
6,11,c,0.8987298991655058
6,11,s,0.8958767180341525
7,11,e,0.9640143942423031
7,11,c,0.9382343177989635
7,11,s,0.9125364431486881
8,11,e,0.9800079968012795
8,11,c,0.9806134081343407
8,11,s,0.9416909620991254
9,11,e,0.9760095961615354
9,11,c,0.9806134081343407
9,11,s,0.9541857559350271
10,11,e,0.9880047980807677
10,11,c,0.9732309576988218
10,11,s,0.9625156184922948
11,11,e,0.9200319872051179
11,11,c,0.885153281003119
11,11,s,0.9167013744273219
12,11,e,0.8800479808076769
12,11,c,0.9258067811801481
12,11,s,0.8125780924614744
13,11,e,0.9200319872051179
13,11,c,0.9359234723016526
13,11,s,0.8334027488546439
14,11,e,0.9480207916833266
14,11,c,0.9407052236823155
14,11,s,0.8833819241982507
15,11,e,1.0
15,11,c,1.0
15,11,s,0.9458558933777592
16,11,e,1.0
16,11,c,1.0
16,11,s,1.0
17,11,e,0.9440223910435825
17,11,c,0.9764222461913193
17,11,s,0.9375260308204915
18,11,e,0.8760495801679328
18,11,c,0.8718231401491578
18,11,s,0.8084131611828405
19,11,e,0.8880447820871651
19,11,c,0.8956695628591509
19,11,s,0.7667638483965015
20,11,e,0.884046381447421
20,11,c,0.9764222461913193
20,11,s,0.7750937109537692
21,11,e,0.9920031987205118
21,11,c,1.0
21,11,s,0.8875468554768846
22,11,e,0.9840063974410236
22,11,c,0.9764222461913193
22,11,s,0.9750104123281966
23,11,e,1.0
23,11,c,1.0
23,11,s,0.9833402748854644
24,11,e,1.0
24,11,c,1.0
24,11,s,1.0
25,11,e,0.960015993602559
25,11,c,0.9593464998229709
25,11,s,0.958350687213661
26,11,e,0.8360655737704918
26,11,c,0.8354367491174934
26,11,s,0.8209079550187421
27,11,e,0.7800879648140744
27,11,c,0.8045104917187262
27,11,s,0.6376509787588505
28,11,e,0.8360655737704918
28,11,c,0.8481443392009748
28,11,s,0.6751353602665556
29,11,e,0.9320271891243502
29,11,c,0.9903067040671704
29,11,s,0.7917534360683048
30,11,e,0.4802079168332667
30,11,c,0.5069902106566054
30,11,s,0.27946688879633486
31,11,e,0.8000799680127949
31,11,c,0.8279165819668048
31,11,s,0.3627655143690129
32,11,e,0.9440223910435825
32,11,c,0.9339905163642603
32,11,s,0.7917534360683048
33,11,e,0.9760095961615354
33,11,c,0.9553100641673121
33,11,s,0.9250312369845898
34,11,e,0.9960015993602559
34,11,c,0.9903067040671704
34,11,s,0.9708454810495627
