generation,trial,propertyType,property
50,-1,m,-1.0
1,9,e,-0.00022077061932652
1,9,c,0.05245346869712353
1,9,s,1.52587890625e-5
2,9,e,0.26727071748923453
2,9,c,0.4932955486463177
2,9,s,0.00103759765625
3,9,e,0.6707232949671175
3,9,c,0.8248322040452128
3,9,s,0.039093017578125
4,9,e,0.9419732309894725
4,9,c,0.9641135875596056
4,9,s,0.4788818359375
5,9,e,0.9763798354685952
5,9,c,0.9863092230805183
5,9,s,0.9181060791015625
6,9,e,0.9935067464903965
6,9,c,0.99484900605872
6,9,s,0.9700927734375
7,9,e,0.997998550094687
7,9,c,0.9985919068299112
7,9,s,0.9915924072265625
8,9,e,0.9859440159321524
8,9,c,0.9875256741243796
8,9,s,0.9839019775390625
9,9,e,0.6505865699655705
9,9,c,0.8972206558710762
9,9,s,0.59112548828125
10,9,e,0.7153204878954296
10,9,c,0.9042077391900666
10,9,s,0.43878173828125
11,9,e,0.9554639200458959
11,9,c,0.9733922870639578
11,9,s,0.652984619140625
12,9,e,0.931645138348315
12,9,c,0.9639388906568056
12,9,s,0.8870849609375
13,9,e,0.9313701299643787
13,9,c,0.9604428467960479
13,9,s,0.8625335693359375
14,9,e,0.9958595959974057
14,9,c,0.9953896382955425
14,9,s,0.92724609375
15,9,e,0.9963637780346221
15,9,c,0.9976294023756159
15,9,s,0.9922943115234375
16,9,e,0.9828730889781987
16,9,c,0.9868634486744116
16,9,s,0.9793701171875
17,9,e,0.9719491448385128
17,9,c,0.9857786048104571
17,9,s,0.954925537109375
18,9,e,0.9599098889195302
18,9,c,0.9890494684820267
18,9,s,0.931793212890625
19,9,e,0.9893357860006983
19,9,c,0.9927935053709268
19,9,s,0.9504852294921875
20,9,e,0.9939498155534047
20,9,c,0.9958450778388781
20,9,s,0.9830780029296875
21,9,e,0.9768687392622595
21,9,c,0.9811130414866991
21,9,s,0.97076416015625
22,9,e,0.9881899177342975
22,9,c,0.9912500398229038
22,9,s,0.964874267578125
23,9,e,0.9873648925824892
23,9,c,0.9924556730119226
23,9,s,0.9756011962890625
24,9,e,0.9829953149266147
24,9,c,0.9932766138438033
24,9,s,0.97015380859375
25,9,e,0.9727436135032173
25,9,c,0.9792527605158633
25,9,s,0.9557647705078125
26,9,e,0.9810396997519577
26,9,c,0.9902436110330609
26,9,s,0.9541473388671875
27,9,e,0.9767159568267394
27,9,c,0.9864307713027162
27,9,s,0.95843505859375
28,9,e,0.9777701556318279
28,9,c,0.9848780501730041
28,9,s,0.9542999267578125
29,9,e,0.7954243188386091
29,9,c,0.9012418870191607
29,9,s,0.7630462646484375
30,9,e,0.9306214960303304
30,9,c,0.9585463991753798
30,9,s,0.7258453369140625
31,9,e,0.9858981812014963
31,9,c,0.9859944394171524
31,9,s,0.9150238037109375
32,9,e,0.968557374769967
32,9,c,0.9750818481214752
32,9,s,0.954376220703125
33,9,e,0.9753103584199546
33,9,c,0.9808158806740096
33,9,s,0.9434967041015625
34,9,e,0.9868301540581689
34,9,c,0.9914463168162485
34,9,s,0.961700439453125
35,9,e,0.9869523800065849
35,9,c,0.9937154030616643
35,9,s,0.974090576171875
36,9,e,0.9842022961672234
36,9,c,0.9918775966946128
36,9,s,0.971435546875
37,9,e,0.6924795137851772
37,9,c,0.8712373104743537
37,9,s,0.65869140625
38,9,e,0.9563653364154643
38,9,c,0.9716966459856708
38,9,s,0.6437225341796875
39,9,e,0.9272297259617845
39,9,c,0.9606398964508882
39,9,s,0.884552001953125
40,9,e,0.9725755528241451
40,9,c,0.9808726291699473
40,9,s,0.9002685546875
41,9,e,0.9750506282795705
41,9,c,0.9876128387148422
41,9,s,0.9473876953125
42,9,e,0.9837897835913192
42,9,c,0.9895718060692702
42,9,s,0.9588470458984375
43,9,e,0.9783201723997003
43,9,c,0.9894188641547501
43,9,s,0.96234130859375
44,9,e,0.9687865484232471
44,9,c,0.9808595044581793
44,9,s,0.948822021484375
45,9,e,0.8664375948683436
45,9,c,0.9303738275443952
45,9,s,0.824462890625
46,9,e,0.9643558577931647
46,9,c,0.9714304798469545
46,9,s,0.8221282958984375
47,9,e,0.9868759887888249
47,9,c,0.9883456607985187
47,9,s,0.951385498046875
48,9,e,0.9730950131049134
48,9,c,0.9821402199126781
48,9,s,0.96051025390625
49,9,e,0.9859440159321524
49,9,c,0.9912578432008674
49,9,s,0.958953857421875
50,9,e,0.953981930421351
50,9,c,0.9724960692482995
50,9,s,0.939483642578125
