generation,trial,propertyType,property
250,-1,m,-1.0
1,7,e,-0.0006220095145691123
1,7,c,-0.01010101010101011
1,7,s,3.0517578125e-5
2,7,e,0.08985765566179482
2,7,c,0.21729562372775202
2,7,s,0.005950927734375
3,7,e,0.15441834855519293
3,7,c,0.11898936213622198
3,7,s,0.003143310546875
4,7,e,0.18036786765287058
4,7,c,0.30118133450969037
4,7,s,0.0035858154296875
5,7,e,0.19318225642447243
5,7,c,0.29639077228455685
5,7,s,0.004119873046875
6,7,e,0.23750568457130025
6,7,c,0.23318887721163958
6,7,s,0.00567626953125
7,7,e,0.22434000743051266
7,7,c,0.22715847468413708
7,7,s,0.0097503662109375
8,7,e,0.20320161164994419
8,7,c,0.21142395178541573
8,7,s,0.0069732666015625
9,7,e,0.2297926138565697
9,7,c,0.22653285388024907
9,7,s,0.0042572021484375
10,7,e,0.19503033871453657
10,7,c,0.28136723132336344
10,7,s,0.0044708251953125
11,7,e,0.23982724248939738
11,7,c,0.3343727085202598
11,7,s,0.00885009765625
12,7,e,0.2754295550360052
12,7,c,0.43703309911561483
12,7,s,0.01422119140625
13,7,e,0.297133066888742
13,7,c,0.45115253935337934
13,7,s,0.0233917236328125
14,7,e,0.3887124173947309
14,7,c,0.5136216023392364
14,7,s,0.0312957763671875
15,7,e,0.4853778125502352
15,7,c,0.6875313229790455
15,7,s,0.0903778076171875
16,7,e,0.5448524607941179
16,7,c,0.7531848719293894
16,7,s,0.1861419677734375
17,7,e,0.4267279283035712
17,7,c,0.6204327704877864
17,7,s,0.1356964111328125
18,7,e,0.5761323990590054
18,7,c,0.7459501168271196
18,7,s,0.1671295166015625
19,7,e,0.6400210620287438
19,7,c,0.7374295341360431
19,7,s,0.3215789794921875
20,7,e,0.3879487470269358
20,7,c,0.6086100984207445
20,7,s,0.1373138427734375
21,7,e,0.4837893781852214
21,7,c,0.681023823672312
21,7,s,0.127044677734375
22,7,e,0.6359736090794298
22,7,c,0.7849452451171863
22,7,s,0.236785888671875
23,7,e,0.6696972925212615
23,7,c,0.8210266047749214
23,7,s,0.3929443359375
24,7,e,0.6308264708004907
24,7,c,0.7454381999126742
24,7,s,0.381927490234375
25,7,e,0.6091229589477539
25,7,c,0.7649571140935847
25,7,s,0.36175537109375
26,7,e,0.5880609302039649
26,7,c,0.7310620576660934
26,7,s,0.324310302734375
27,7,e,0.7283166299532138
27,7,c,0.8304123893787976
27,7,s,0.39404296875
28,7,e,0.7205424656090595
28,7,c,0.8234099887103652
28,7,s,0.5079193115234375
29,7,e,0.6750277116884714
29,7,c,0.8016429806989223
29,7,s,0.45867919921875
30,7,e,0.668689247635772
30,7,c,0.7941803118683003
30,7,s,0.4170684814453125
31,7,e,0.5217437954646381
31,7,c,0.6664925892720883
31,7,s,0.282012939453125
32,7,e,0.7235818736728841
32,7,c,0.8378148580672194
32,7,s,0.3341217041015625
33,7,e,0.7152120464418498
33,7,c,0.8424500834350368
33,7,s,0.501678466796875
34,7,e,0.7112104137146034
34,7,c,0.8051690868932827
34,7,s,0.4733734130859375
35,7,e,0.7399244195436994
35,7,c,0.850026061094447
35,7,s,0.4964141845703125
36,7,e,0.6124220149366287
36,7,c,0.7367801228010779
36,7,s,0.41766357421875
37,7,e,0.593360802556463
37,7,c,0.7399154192008219
