generation,trial,propertyType,property
50,-1,m,-1.0
1,24,e,-0.00011501084161395099
1,24,c,0.04127829560585878
1,24,s,1.9073486328125e-6
2,24,e,0.3089410353508225
2,24,c,0.36358079370640406
2,24,s,9.5367431640625e-7
3,24,e,0.6841477502288831
3,24,c,0.8500201002304612
3,24,s,0.004351615905761719
4,24,e,0.9310078028286372
4,24,c,0.9581964080735641
4,24,s,0.5888595581054688
5,24,e,0.9854623243869938
5,24,c,0.9910598702049043
5,24,s,0.9194917678833008
6,24,e,0.9984032498539352
6,24,c,0.9986876664979552
6,24,s,0.9839630126953125
7,24,e,0.9990833471383702
7,24,c,0.99906551699161
7,24,s,0.9975004196166992
8,24,e,0.9994486728886348
8,24,c,0.9994426015669854
8,24,s,0.9985322952270508
9,24,e,0.9995927047118461
9,24,c,0.999595023637405
9,24,s,0.9990415573120117
10,24,e,0.9998197217577024
10,24,c,0.9998537245828499
10,24,s,0.9994125366210938
11,24,e,0.9994400882104301
11,24,c,0.9993826620882204
11,24,s,0.9992599487304688
12,24,e,0.9988725455957894
12,24,c,0.9993604128910089
12,24,s,0.9983272552490234
13,24,e,0.9995822123273738
13,24,c,0.99959221596808
13,24,s,0.9984550476074219
14,24,e,0.9994753807763825
14,24,c,0.9994786633921567
14,24,s,0.9990577697753906
15,24,e,0.9992216558427784
15,24,c,0.9992566901250712
15,24,s,0.9987106323242188
16,24,e,0.9995621814115629
16,24,c,0.9995197878786133
16,24,s,0.998784065246582
17,24,e,0.999649935899877
17,24,c,0.9997422023082748
17,24,s,0.9992122650146484
18,24,e,0.9989335921963558
18,24,c,0.9987302113517724
18,24,s,0.9985876083374023
19,24,e,0.9996289511309324
19,24,c,0.9996934990618366
19,24,s,0.9985618591308594
20,24,e,0.999751998185199
20,24,c,0.9997120395140311
20,24,s,0.9993810653686523
21,24,e,0.9994925501327918
21,24,c,0.9995187747789638
21,24,s,0.9992446899414062
22,24,e,0.9995621814115629
22,24,c,0.9995477597601641
22,24,s,0.9990549087524414
23,24,e,0.9996957208503019
23,24,c,0.999733744356943
23,24,s,0.9992580413818359
24,24,e,0.9997930138699546
24,24,c,0.9997756702388298
24,24,s,0.9994888305664062
25,24,e,0.9995841200336415
25,24,c,0.9995393668115011
25,24,s,0.9993772506713867
26,24,e,0.9997720291010099
26,24,c,0.9998116593350915
26,24,s,0.9993562698364258
27,24,e,0.9994524883011702
27,24,c,0.9996128047420764
27,24,s,0.9992246627807617
28,24,e,0.9996737822282233
28,24,c,0.9996768882891204
28,24,s,0.9991302490234375
29,24,e,0.9997033516753727
29,24,c,0.9996979861385344
29,24,s,0.9993772506713867
30,24,e,0.9994353189447609
30,24,c,0.9995266364400966
30,24,s,0.9991388320922852
31,24,e,0.999561227558429
31,24,c,0.9996542683352729
31,24,s,0.998997688293457
32,24,e,0.9994591652731071
32,24,c,0.9994623491457492
32,24,s,0.9990215301513672
33,24,e,0.9996966747034357
33,24,c,0.9996366976488691
33,24,s,0.9991569519042969
34,24,e,0.9985778049774298
34,24,c,0.9993183282032344
34,24,s,0.9982786178588867
35,24,e,0.9993752261973283
35,24,c,0.9995176721285494
35,24,s,0.997955322265625
36,24,e,0.9995068579297997
36,24,c,0.9994163981504722
36,24,s,0.9988822937011719
37,24,e,0.999567904530366
37,24,c,0.9995291736132265
37,24,s,0.9990749359130859
38,24,e,0.999567904530366
38,24,c,0.999511379052875
38,24,s,0.9991378784179688
39,24,e,0.9994906424265242
39,24,c,0.999611336012397
39,24,s,0.9990577697753906
40,24,e,0.9993866724349345
40,24,c,0.9994268068965648
40,24,s,0.9988765716552734
41,24,e,0.9997338749756559
41,24,c,0.9997139521075089
41,24,s,0.9991207122802734
42,24,e,0.9996384896622709
42,24,c,0.9996088359127585
42,24,s,0.9993724822998047
43,24,e,0.9989202382524819
43,24,c,0.9988938317019883
43,24,s,0.9985589981079102
44,24,e,0.9994257804134223
44,24,c,0.9994795673321453
44,24,s,0.998347282409668
45,24,e,0.9994734730701148
45,24,c,0.9993958697815081
45,24,s,0.9988994598388672
46,24,e,0.9994954116921934
46,24,c,0.9994238422739886
46,24,s,0.9989690780639648
47,24,e,0.999631812690334
47,24,c,0.9996868879541381
47,24,s,0.9991283416748047
48,24,e,0.9994591652731071
48,24,c,0.9993403716284661
48,24,s,0.9990911483764648
49,24,e,0.9995555044396259
49,24,c,0.9996327477666977
49,24,s,0.9990167617797852
50,24,e,0.9994114726164146
50,24,c,0.9995269831411949
50,24,s,0.998967170715332
