generation,trial,p,propertyType,property
9,9,1.0,s,0.84765625
9,9,1.0,e,0.9615517326366638
9,9,1.0,c,0.9442667106447511
9,9,1.0,b,0.0
9,9,1.0,a,0.9619140625
9,9,0.9,s,0.9951081107523726
9,9,0.9,e,0.9950558686838722
9,9,0.9,c,0.9915715414276863
9,9,0.9,b,9.783778495254854e-5
9,9,0.9,a,0.9951081107523726
9,9,0.95,s,0.990234375
9,9,0.95,e,0.9911082569713735
9,9,0.95,c,0.9976217918092029
9,9,0.95,b,0.0
9,9,0.95,a,0.9912109375
9,9,0.8,s,0.995111936650699
9,9,0.8,e,0.997041128316402
9,9,0.8,c,0.9958333891238562
9,9,0.8,b,-0.0010753739368462214
9,9,0.8,a,0.9970671619904194
9,9,0.85,s,0.9228515625
9,9,0.85,e,0.9881516587677726
9,9,0.85,c,0.9958097151984237
9,9,0.85,b,0.0
9,9,0.85,a,0.98828125
9,9,0.7,s,0.9873046875
9,9,0.7,e,0.9881531209122096
9,9,0.7,c,0.987429145595271
9,9,0.7,b,0.0
9,9,0.7,a,0.9873046875
9,9,0.75,s,0.9784640986735843
9,9,0.75,e,0.9792320814893565
9,9,0.75,c,0.9776540246852238
9,9,0.75,b,0.004454015956145074
9,9,0.75,a,0.9794430032793304
9,9,0.6,s,1.0
9,9,0.6,e,1.0
9,9,0.6,c,1.0
9,9,0.6,b,0.0
9,9,0.6,a,1.0
9,9,0.65,s,0.9619140625
9,9,0.65,e,0.9633763084308727
9,9,0.65,c,0.952458887123393
9,9,0.65,b,0.0
9,9,0.65,a,0.9619140625
9,9,0.5,s,0.9901840490797545
9,9,0.5,e,0.9990119309339723
9,9,0.5,c,1.0
9,9,0.5,b,0.9990184049079754
9,9,0.5,a,-0.0051533742331288344
9,9,0.55,s,0.99609375
9,9,0.55,e,0.9990139768777578
9,9,0.55,c,1.0
9,9,0.55,b,0.0
9,9,0.55,a,0.125
9,8,1.0,s,0.798828125
9,8,1.0,e,0.8156454872578499
9,8,1.0,c,0.8577363883349101
9,8,1.0,b,0.0
9,8,1.0,a,0.80859375
9,8,0.9,s,1.0
9,8,0.9,e,1.0
9,8,0.9,c,1.0
9,8,0.9,b,0.0020545934840035217
9,8,0.9,a,1.0
9,8,0.95,s,1.0
9,8,0.95,e,1.0
9,8,0.95,c,1.0
9,8,0.95,b,0.0
9,8,0.95,a,1.0
9,8,0.8,s,0.9980447746602796
9,8,0.8,e,0.9980274188776014
9,8,0.8,c,0.9976956909337756
9,8,0.8,b,-0.0010753739368462214
9,8,0.8,a,0.9980447746602796
9,8,0.85,s,0.9677734375
9,8,0.85,e,0.9713665086887836
9,8,0.85,c,0.9652349516308988
9,8,0.85,b,0.0
9,8,0.85,a,0.9716796875
9,8,0.7,s,0.994140625
9,8,0.7,e,0.9980255201520349
9,8,0.7,c,0.9976825982686267
9,8,0.7,b,0.0
9,8,0.7,a,0.998046875
9,8,0.75,s,0.9158142039058293
9,8,0.75,e,0.9901105149949316
9,8,0.75,c,0.9902201079230224
9,8,0.75,b,-0.0023983162840781167
9,8,0.75,a,0.9902109539425383
9,8,0.6,s,0.9453125
9,8,0.6,e,0.945590344759361
9,8,0.6,c,0.9574870567718917
9,8,0.6,b,0.0
9,8,0.6,a,0.9453125
9,8,0.65,s,0.3125
9,8,0.65,e,0.6337630843087279
9,8,0.65,c,0.5745215654852245
9,8,0.65,b,0.0009765625
9,8,0.65,a,0.0126953125
9,8,0.5,s,0.9921472392638037
9,8,0.5,e,0.9950596546698615
9,8,0.5,c,0.9953519919689835
9,8,0.5,b,-0.0051533742331288344
9,8,0.5,a,0.12049079754601227
9,8,0.55,s,0.9951171875
9,8,0.55,e,0.9980279537555156
9,8,0.55,c,0.9977021819452299
9,8,0.55,b,0.0
9,8,0.55,a,0.998046875
9,7,1.0,s,0.9892578125
9,7,1.0,e,0.9930990289347859
9,7,1.0,c,0.9886969553934147
9,7,1.0,b,0.0
9,7,1.0,a,0.9931640625
